fråga;källa;år
Väger en fotboll mer eller mindre än en basketboll?;FIFA (fotboll 410-450 g) / FIBA (basketboll storlek 7 ~620 g);2024
Väger ett mjölkpaket mer eller mindre än en halvliters vattenflaska?;Förpackningsvikt 1 liter mjölk ~1030 g; 0,5 l vattenflaska ~500 g;2024
Väger en mobiltelefon mer eller mindre än en bok?;Tillverkarspecifikation smartphone ~180 g; typisk inbunden bok ~400 g;2024
Är en tvättmaskin högre eller lägre än ett kylskåp?;Tillverkarspecifikation (frontmatad tvättmaskin ~85 cm; kyl/frys ~180 cm);2024
Väger ett strykjärn mer eller mindre än en kaffekopp?;Tillverkarspecifikation (ångstrykjärn ~1,2 kg; porslinsmugg ~300 g);2024
Väger en sparkcykel mer eller mindre än en cykel?;Tillverkarspecifikation (sparkcykel ~4 kg; standardcykel ~14 kg);2024
Är ett kylskåp högre eller lägre än en köksstol?;Tillverkarspecifikation (kyl/frys ~180 cm; köksstol sitthöjd+rygg ~90 cm);2024
Väger en tegelsten mer eller mindre än ett mjölkpaket?;Standard murtegel ~3,5 kg; 1 liter mjölk ~1 kg;2024
Är en gitarr längre eller kortare än en tandborste?;Akustisk gitarr ~100 cm; vuxentandborste ~19 cm;2024
Väger en tvättmaskin mer eller mindre än en mikrovågsugn?;Tillverkarspecifikation (tvättmaskin ~70 kg; mikrovågsugn ~12 kg);2024
Väger en tallrik mer eller mindre än en stekpanna?;Tillverkarspecifikation (porslinstallrik ~250 g; stekpanna ~1 kg);2024
Väger en vattenmelon mer eller mindre än ett päron?;Vattenmelon ~7 kg; päron ~170 g (medel-stort, matfakta.nu);2024
Är en vante längre eller kortare än en halsduk?;Tillverkarspecifikation (vuxenvante ~25 cm; halsduk ~150 cm);2024
Är en lyktstolpe högre eller lägre än en dörr?;Gatubelysning typhöjd ~8 m; innerdörr standardhöjd ~2 m;2024
Väger en volleyboll mer eller mindre än ett bowlingklot?;FIVB volleyboll 260-280 g (~270 g) + bowlingklot ~6 kg;2024
Är en sparkcykel högre eller lägre än en lyktstolpe?;Sparkcykel styrhöjd ~90 cm; gatubelysning ~8 m;2024
Väger ett äpple mer eller mindre än en vattenflaska?;Äpple ~180 g; halvliters vattenflaska fylld ~530 g;2024
Väger en mikrovågsugn mer eller mindre än en mobiltelefon?;Mikrovågsugn ~12 kg; smartphone ~180 g;2024
Är en dörr högre eller lägre än en köksstol?;Innerdörr standardhöjd ~2 m; köksstol ~90 cm;2024
Väger en bok mer eller mindre än en tegelsten?;Inbunden bok ~400 g; murtegel ~3,5 kg;2024
Väger en resväska mer eller mindre än en necessär?;Tillverkarspecifikation (mellanstor resväska tomvikt ~3,5 kg; necessär ~300 g);2024
Väger ett kylskåp mer eller mindre än ett suddgummi?;Kyl/frys ~60 kg; litet suddgummi ~4 g;2024
Väger en cykel mer eller mindre än en gås?;Standardcykel ~14 kg; tamgås ~5 kg (sv.wikipedia.org/wiki/Tamgås, 3-10 kg);2024
