fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Får en chihuahua fler eller färre valpar i en genomsnittlig kull än en grand danois?;Chihuahua;Grand danois;3;8,5;valpar;Hur många valpar skiljer det i snittkull?
Får en pomeranian fler eller färre valpar i en genomsnittlig kull än en newfoundlandshund?;Pomeranian;Newfoundlandshund;2,5;8,5;valpar;Hur många valpar skiljer det i snittkull?
Får en mastiff fler eller färre valpar i en genomsnittlig kull än en maltese?;Mastiff;Maltese;8;3;valpar;Hur många valpar skiljer det i snittkull?
Får en dvärgspets fler eller färre valpar i en genomsnittlig kull än en bloodhound?;Dvärgspets;Bloodhound;2,5;8;valpar;Hur många valpar skiljer det i snittkull?
Får en pyrenéerhund fler eller färre valpar i en genomsnittlig kull än en papillon?;Pyrenéerhund;Papillon;8;3;valpar;Hur många valpar skiljer det i snittkull?
Får en cane corso fler eller färre valpar i en genomsnittlig kull än en shih tzu?;Cane corso;Shih tzu;7,5;3,5;valpar;Hur många valpar skiljer det i snittkull?
Får en pekingese fler eller färre valpar i en genomsnittlig kull än en samojed?;Pekingese;Samojed;3;6;valpar;Hur många valpar skiljer det i snittkull?
Får en siberian husky fler eller färre valpar i en genomsnittlig kull än en mops?;Siberian husky;Mops;6;4;valpar;Hur många valpar skiljer det i snittkull?
Får en cocker spaniel fler eller färre valpar i en genomsnittlig kull än en toypudel?;Cocker spaniel;Toypudel;6;3;valpar;Hur många valpar skiljer det i snittkull?
Får en gordonsetter fler eller färre valpar i en genomsnittlig kull än en dvärgtax?;Gordonsetter;Dvärgtax;7;3,5;valpar;Hur många valpar skiljer det i snittkull?
Får en bullmastiff fler eller färre valpar i en genomsnittlig kull än en whippet?;Bullmastiff;Whippet;8;5;valpar;Hur många valpar skiljer det i snittkull?
Får en bichon frisé fler eller färre valpar i en genomsnittlig kull än en briard?;Bichon frisé;Briard;4;8;valpar;Hur många valpar skiljer det i snittkull?
Får en dobermann fler eller färre valpar i en genomsnittlig kull än en basset hound?;Dobermann;Basset hound;7,5;6;valpar;Hur många valpar skiljer det i snittkull?
Får en pointer fler eller färre valpar i en genomsnittlig kull än en engelsk setter?;Pointer;Engelsk setter;7;7,5;valpar;Hur många valpar skiljer det i snittkull?
Får en vizsla fler eller färre valpar i en genomsnittlig kull än en flatcoated retriever?;Vizsla;Flatcoated retriever;6,5;7;valpar;Hur många valpar skiljer det i snittkull?
Får en komondor fler eller färre valpar i en genomsnittlig kull än en bordeauxdogg?;Komondor;Bordeauxdogg;6;8;valpar;Hur många valpar skiljer det i snittkull?
Får en bullterrier fler eller färre valpar i en genomsnittlig kull än en coton de tuléar?;Bullterrier;Coton de tuléar;5;3,5;valpar;Hur många valpar skiljer det i snittkull?
Får en boxer fler eller färre valpar i en genomsnittlig kull än en rysk vinthund?;Boxer;Rysk vinthund;6,5;7;valpar;Hur många valpar skiljer det i snittkull?
Får en alaskan malamute fler eller färre valpar i en genomsnittlig kull än en yorkshireterrier?;Alaskan malamute;Yorkshireterrier;6,5;3,5;valpar;Hur många valpar skiljer det i snittkull?
Får en tysk schäferhund fler eller färre valpar i en genomsnittlig kull än en fransk bulldogg?;Tysk schäferhund;Fransk bulldogg;8;3,5;valpar;Hur många valpar skiljer det i snittkull?
Får en labrador fler eller färre valpar i en genomsnittlig kull än en engelsk bulldogg?;Labrador;Engelsk bulldogg;7,5;4;valpar;Hur många valpar skiljer det i snittkull?
Får en irländsk röd setter fler eller färre valpar i en genomsnittlig kull än en beagle?;Irländsk röd setter;Beagle;9;6;valpar;Hur många valpar skiljer det i snittkull?
Får en dvärgpinscher fler eller färre valpar i en genomsnittlig kull än en rysk svart terrier?;Dvärgpinscher;Rysk svart terrier;3;9;valpar;Hur många valpar skiljer det i snittkull?
Får en affenpinscher fler eller färre valpar i en genomsnittlig kull än en weimaraner?;Affenpinscher;Weimaraner;3;7;valpar;Hur många valpar skiljer det i snittkull?
