fråga;källa;år
Är Pink Floyds album The Dark Side of the Moon längre eller kortare än Michael Jacksons Thriller?;Wikipedia: The Dark Side of the Moon (originalutgåva 42:49, alla utgåvor 42:49-42:56) + Thriller (album) (42:16);2024
Vann Prince fler eller färre Grammy-priser än Michael Jackson?;grammy.com artistsidor: Prince (7) + Michael Jackson (13);2024
Tar Wagners hela Nibelungens ring längre eller kortare tid att framföra än Puccinis Tosca?;Wikipedia: Der Ring des Nibelungen (ca 15 timmar) + Tosca (ca 1 tim 55 min);2024
Blev Aretha Franklin äldre eller yngre än Tina Turner?;Wikipedia: Aretha Franklin (död 76 år 2018) + Tina Turner (död 83 år 2023);2023
Har Mariah Carey haft fler eller färre listettor i USA än Madonna? (t.o.m. 2024);Billboard Hot 100: Mariah Carey 19 listettor + Madonna 12;2024
Är röret i ett valthorn längre eller kortare än röret i en bastuba?;Wikipedia: French horn (F-horn ca 3,7 m rör) + Tuba (BBb ca 5,5 m);2024
Fick Måns Zelmerlöws Heroes fler eller färre poäng i Eurovision 2015 än Charlotte Nilssons Take Me to Your Heaven fick 1999?;eurovision.tv resultat 2015 (365 p) + 1999 (163 p);2015
Finns det fler eller färre bevarade kyrkokantater av Bach än sånger av Schubert?;Wikipedia: Bach cantatas (ca 200 bevarade kyrkokantater) + Schubert (över 600 lieder);2024
Tävlade fler eller färre bidrag i Melodifestivalen 2024 än i Eurovisionfinalen 2024?;Wikipedia: Melodifestivalen 2024 (30 bidrag) + Eurovision Song Contest 2024 (25 i finalen);2024
Har en mandolin fler eller färre strängar än en fiol?;Wikipedia: Mandolin (8 strängar) + Violin (4);2024
Är Led Zeppelins Stairway to Heaven längre eller kortare än Eagles Hotel California?;Wikipedia: Stairway to Heaven (8:02) + Hotel California (6:30);2024
Skrev Beethoven fler eller färre stråkkvartetter än pianosonater?;Wikipedia: Beethovens stråkkvartetter (16) + pianosonater (32);2024
Är en piccolaflöjt längre eller kortare än en tvärflöjt?;Wikipedia: Piccolo (ca 32 cm) + Western concert flute (ca 67 cm);2024
Har Adele vunnit fler eller färre Grammy-priser än Beyoncé? (t.o.m. 2024);grammy.com: Adele (16) + Beyoncé (32 t.o.m. 2024);2024
Är Don McLeans American Pie längre eller kortare än Van Morrisons Brown Eyed Girl?;Wikipedia: American Pie (song) (8:36) + Brown Eyed Girl (singel, 3:05);2024
Har Iron Maiden gett ut fler eller färre studioalbum än Metallica? (t.o.m. 2024);Wikipedia: Iron Maiden discography (17) + Metallica discography (11);2024
Fick Storbritanniens bidrag Embers fler eller färre poäng i Eurovision 2021 än vinnaren Måneskins Zitti e buoni?;eurovision.tv resultat 2021: Embers 0 p + Zitti e buoni 524 p;2021
Är Wagners opera Rhenguldet längre eller kortare än hans Ragnarök (Götterdämmerung)?;Wikipedia: Das Rheingold (ca 2,5 tim) + Götterdämmerung (ca 4,5 tim);2024
Har Led Zeppelin gett ut fler eller färre studioalbum än Pink Floyd?;Wikipedia: Led Zeppelin discography (9 inkl. Coda) + Pink Floyd discography (15);2024
Är röret i en trumpet längre eller kortare än röret i en bastuba?;Wikipedia: Trumpet (Bb ca 1,48 m rör) + Tuba (BBb ca 5,5 m);2024
Vann Aretha Franklin fler eller färre Grammy-priser än Whitney Houston?;grammy.com: Aretha Franklin (18) + Whitney Houston (6);2024
Har Schuberts Ofullbordade symfoni fler eller färre satser än Vivaldis De fyra årstiderna?;Wikipedia: Symfoni nr 8 (Schubert) (2 satser) + De fyra årstiderna (4 konserter à 3 satser = 12);2024
Väger ett fullstort pianodragspel mer eller mindre än en fiol?;Tillverkarspec 120-bas pianodragspel (ca 12 kg) + Wikipedia: Violin (ca 0,4 kg);2024
Är Chuck Berrys Johnny B. Goode längre eller kortare än Led Zeppelins Stairway to Heaven?;Wikipedia/Spotify: Johnny B. Goode (originalsingel 1958, ca 2:40) + Stairway to Heaven (8:02);2024
