fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har en schäfer högre eller lägre mankhöjd än en rottweiler?;Schäfer;Rottweiler;63;64;cm;Hur många cm skiljer det i mankhöjd?
Har en border collie högre eller lägre mankhöjd än en eurasier?;Border collie;Eurasier;53;56;cm;Hur många cm skiljer det i mankhöjd?
Väger en golden retriever mer eller mindre än en labrador?;Golden retriever;Labrador;32;30;kg;Hur många kg skiljer det i vikt?
Väger en schnauzer mer eller mindre än en engelsk springer spaniel?;Schnauzer;Engelsk springer spaniel;18;22;kg;Hur många kg skiljer det i vikt?
Har en tax högre eller lägre mankhöjd än en cocker spaniel?;Tax;Cocker spaniel;22;39;cm;Hur många cm skiljer det i mankhöjd?
Har en beagle högre eller lägre mankhöjd än en jack russell-terrier?;Beagle;Jack russell-terrier;38;28;cm;Hur många cm skiljer det i mankhöjd?
Har en shetland sheepdog högre eller lägre mankhöjd än en weimaraner?;Shetland sheepdog;Weimaraner;37;64;cm;Hur många cm skiljer det i mankhöjd?
Har en welsh corgi högre eller lägre mankhöjd än en akita?;Welsh corgi;Akita;28;67;cm;Hur många cm skiljer det i mankhöjd?
Har en dobermann högre eller lägre mankhöjd än en pomeranian?;Dobermann;Pomeranian;68;22;cm;Hur många cm skiljer det i mankhöjd?
Har en border terrier högre eller lägre mankhöjd än en engelsk springer spaniel?;Border terrier;Engelsk springer spaniel;34;51;cm;Hur många cm skiljer det i mankhöjd?
Väger en schäfer mer eller mindre än en border collie?;Schäfer;Border collie;33;18;kg;Hur många kg skiljer det i vikt?
Väger en springer spaniel mer eller mindre än en riesenschnauzer?;Springer spaniel;Riesenschnauzer;20;35;kg;Hur många kg skiljer det i vikt?
Väger en welsh corgi mer eller mindre än en greyhound?;Welsh corgi;Greyhound;12;30;kg;Hur många kg skiljer det i vikt?
Väger en shiba inu mer eller mindre än en engelsk springer spaniel?;Shiba inu;Engelsk springer spaniel;10;22;kg;Hur många kg skiljer det i vikt?
Har en grand danois högre eller lägre mankhöjd än en chihuahua?;Grand danois;Chihuahua;80;18;cm;Hur många cm skiljer det i mankhöjd?
Har en irländsk varghund högre eller lägre mankhöjd än en mops?;Irländsk varghund;Mops;81;30;cm;Hur många cm skiljer det i mankhöjd?
Har en shih tzu högre eller lägre mankhöjd än en afghanhund?;Shih tzu;Afghanhund;25;70;cm;Hur många cm skiljer det i mankhöjd?
Väger en bernhardshund mer eller mindre än en beagle?;Bernhardshund;Beagle;75;12;kg;Hur många kg skiljer det i vikt?
Väger en boxer mer eller mindre än en mastiff?;Boxer;Mastiff;30;80;kg;Hur många kg skiljer det i vikt?
Väger en pekingese mer eller mindre än en greyhound?;Pekingese;Greyhound;5;30;kg;Hur många kg skiljer det i vikt?
Väger en akita mer eller mindre än en border terrier?;Akita;Border terrier;40;6;kg;Hur många kg skiljer det i vikt?
Väger en leonberger mer eller mindre än en papillon?;Leonberger;Papillon;60;4;kg;Hur många kg skiljer det i vikt?
Väger en yorkshireterrier mer eller mindre än en rottweiler?;Yorkshireterrier;Rottweiler;3;50;kg;Hur många kg skiljer det i vikt?
Väger en dvärgpinscher mer eller mindre än en alaskan malamute?;Dvärgpinscher;Alaskan malamute;5;38;kg;Hur många kg skiljer det i vikt?
Väger en newfoundlandshund mer eller mindre än en tax?;Newfoundlandshund;Tax;65;9;kg;Hur många kg skiljer det i vikt?
