fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Väger en blåval mer eller mindre än en afrikansk elefant?;Blåval;Afrikansk elefant;150000;6000;kilo;Hur många kilo skiljer det?
Väger en flodhäst mer eller mindre än en giraff?;Flodhäst;Giraff;1500;1200;kilo;Hur många kilo skiljer det?
Väger en isbjörn mer eller mindre än en flodhäst?;Isbjörn;Flodhäst;500;1500;kilo;Hur många kilo skiljer det?
Väger en rödräv mer eller mindre än en grävling?;Rödräv;Grävling;6;12;kilo;Hur många kilo skiljer det?
Väger en huskatt mer eller mindre än en rödräv?;Huskatt;Rödräv;4;6;kilo;Hur många kilo skiljer det?
Är en gepard snabbare eller långsammare än en pilgrimsfalk i störtdykning?;Gepard;Pilgrimsfalk;110;350;km/h;Hur många km/h skiljer det?
Springer en gaffelbock fortare eller långsammare än en gepard?;Gaffelbock;Gepard;88;110;km/h;Hur många km/h skiljer det?
Väger en blåvals tunga mer eller mindre än en människa?;Blåvalstunga;Människa;3600;70;kilo;Hur många kilo skiljer det?
Springer en greyhound fortare eller långsammare än en gaffelbock?;Greyhound;Gaffelbock;69;88;km/h;Hur många km/h skiljer det?
Lever en galapagossköldpadda längre eller kortare än en grönlandshaj?;Galapagossköldpadda;Grönlandshaj;180;390;år;Hur många år skiljer det?
Lever en elefant längre eller kortare än en grönlandsval?;Elefant;Grönlandsval;70;200;år;Hur många år skiljer det?
Lever en hund längre eller kortare än en huskatt?;Hund;Huskatt;13;16;år;Hur många år skiljer det?
Lever en galapagossköldpadda längre eller kortare än en grönlandsval?;Galapagossköldpadda;Grönlandsval;180;200;år;Hur många år skiljer det?
Är dräktighetstiden för en giraff längre eller kortare än för en afrikansk elefant?;Giraff;Afrikansk elefant;450;645;dygn;Hur många dygn skiljer det?
Är dräktighetstiden för en människa längre eller kortare än för en hund?;Människa;Hund;266;63;dygn;Hur många dygn skiljer det?
Väger ett strutsägg mer eller mindre än ett hönsägg?;Strutsägg;Hönsägg;1400;60;gram;Hur många gram skiljer det?
Är dräktighetstiden för en mus längre eller kortare än för en människa?;Mus;Människa;19;266;dygn;Hur många dygn skiljer det?
Är en valhaj längre eller kortare än en saltvattenskrokodil?;Valhaj;Saltvattenskrokodil;18;5;meter;Hur många meter skiljer det?
Är en valhaj längre eller kortare än en vithaj?;Valhaj;Vithaj;18;6;meter;Hur många meter skiljer det?
Är en vithaj längre eller kortare än en saltvattenskrokodil?;Vithaj;Saltvattenskrokodil;6;5;meter;Hur många meter skiljer det?
Har en vandringsalbatross större eller mindre vingspann än en andinsk kondor?;Vandringsalbatross;Andinsk kondor;3,6;3,2;meter;Hur många meter skiljer det?
Har en kungsörn större eller mindre vingspann än en vandringsalbatross?;Kungsörn;Vandringsalbatross;2,2;3,6;meter;Hur många meter skiljer det?
Väger ett emuägg mer eller mindre än ett strutsägg?;Emuägg;Strutsägg;550;1400;gram;Hur många gram skiljer det?
Väger en giraff mer eller mindre än en isbjörn?;Giraff;Isbjörn;1200;500;kilo;Hur många kilo skiljer det?
Springer en gepard fortare eller långsammare än en greyhound?;Gepard;Greyhound;110;69;km/h;Hur många km/h skiljer det?
Lever en grönlandshaj längre eller kortare än en grönlandsval?;Grönlandshaj;Grönlandsval;390;200;år;Hur många år skiljer det?
Är en blåval längre eller kortare än en valhaj?;Blåval;Valhaj;30;18;meter;Hur många meter skiljer det?
Väger en struts mer eller mindre än en kejsarpingvin?;Struts;Kejsarpingvin;130;35;kilo;Hur många kilo skiljer det?
Väger en grävling mer eller mindre än en huskatt?;Grävling;Huskatt;12;4;kilo;Hur många kilo skiljer det?
Väger en tiger mer eller mindre än ett lejon?;Tiger;Lejon;250;200;kilo;Hur många kilo skiljer det?
Väger en gorilla mer eller mindre än en schimpans?;Gorilla;Schimpans;160;50;kilo;Hur många kilo skiljer det?
Väger en älg mer eller mindre än en ren?;Älg;Ren;500;150;kilo;Hur många kilo skiljer det?
Väger en noshörning mer eller mindre än en afrikansk elefant?;Noshörning;Afrikansk elefant;2300;6000;kilo;Hur många kilo skiljer det?
Väger en brunbjörn mer eller mindre än en varg?;Brunbjörn;Varg;200;45;kilo;Hur många kilo skiljer det?
Är en kaskelot längre eller kortare än en blåval?;Kaskelot;Blåval;18;30;meter;Hur många meter skiljer det?
Är en nätpyton längre eller kortare än en kungskobra?;Nätpyton;Kungskobra;8;5,5;meter;Hur många meter skiljer det?
Är en jättebläckfisk längre eller kortare än en kolossbläckfisk?;Jättebläckfisk;Kolossbläckfisk;13;10;meter;Hur många meter skiljer det?
Springer ett lejon fortare eller långsammare än en gepard?;Lejon;Gepard;80;110;km/h;Hur många km/h skiljer det?
Springer en struts fortare eller långsammare än en emu?;Struts;Emu;70;50;km/h;Hur många km/h skiljer det?
Lever en ara längre eller kortare än en galapagossköldpadda?;Ara;Galapagossköldpadda;60;150;år;Hur många år skiljer det?
Lever en arbetsbi längre eller kortare än en bidrottning?;Arbetsbi;Bidrottning;35;1095;dygn;Hur många dygn skiljer det?
Lever en husfluga längre eller kortare än en dagslända som vuxen?;Husfluga;Dagslända;28;1;dygn;Hur många dygn skiljer det?
Väger en blåvals hjärta mer eller mindre än en människohjärna?;Blåvalshjärta;Människohjärna;180;1,4;kilo;Hur många kilo skiljer det?
Är dräktighetstiden för en afrikansk elefant längre eller kortare än för en blåval?;Afrikansk elefant;Blåval;645;340;dygn;Hur många dygn skiljer det?
Springer en huskatt fortare eller långsammare än en tamgris?;Huskatt;Tamgris;48;17;km/h;Hur många km/h skiljer det?
Väger en jaguar mer eller mindre än en leopard?;Jaguar;Leopard;90;60;kilo;Hur många kilo skiljer det?
Springer en kvarthäst fortare eller långsammare än en greyhound?;Kvarthäst;Greyhound;88;69;km/h;Hur många km/h skiljer det?
Är en giraff högre eller lägre än en afrikansk elefant?;Giraff;Afrikansk elefant;5,5;3,5;meter;Hur många meter skiljer det?
Väger en späckhuggare mer eller mindre än en vithaj?;Späckhuggare;Vithaj;5000;700;kilo;Hur många kilo skiljer det?
Väger en sjöelefant mer eller mindre än en valross?;Sjöelefant;Valross;4000;1500;kilo;Hur många kilo skiljer det?
Är dräktighetstiden för en kamel längre eller kortare än för en häst?;Kamel;Häst;390;335;dygn;Hur många dygn skiljer det?
Har en kungsörn större eller mindre vingspann än en havsörn?;Kungsörn;Havsörn;2,1;2;meter;Hur många meter skiljer det?
Väger en humla mer eller mindre än ett honungsbi?;Humla;Honungsbi;0,6;0,1;gram;Hur många gram skiljer det?
Väger en saltvattenskrokodil mer eller mindre än en komodovaran?;Saltvattenskrokodil;Komodovaran;1000;90;kilo;Hur många kilo skiljer det?
Väger en gråsparv mer eller mindre än en kolibri?;Gråsparv;Kolibri;30;4;gram;Hur många gram skiljer det?
Flyger en tornseglare fortare eller långsammare än en pilgrimsfalk i planflykt?;Tornseglare;Pilgrimsfalk;112;90;km/h;Hur många km/h skiljer det?
Väger en flasknosdelfin mer eller mindre än en tumlare?;Flasknosdelfin;Tumlare;200;60;kilo;Hur många kilo skiljer det?
Är silvertärnans årliga flyttsträcka längre eller kortare än myrspovens?;Silvertärna;Myrspov;70000;29000;km;Hur många km skiljer det?
Väger en giraffs hjärta mer eller mindre än en människas hjärta?;Giraffhjärta;Människohjärta;11;0,28;kilo;Hur många kilo skiljer det?
Är en människas vilopuls högre eller lägre än en elefants?;Människa;Elefant;70;30;slag per minut;Hur många slag per minut skiljer det?
Har en hund fler eller färre tänder än en människa?;Hund;Människa;42;32;tänder;Hur många tänder skiljer det?
Väger en leopard mer eller mindre än en gepard?;Leopard;Gepard;65;54;kilo;Hur många kilo skiljer det?
Simmar en segelfisk fortare eller långsammare än en marlin?;Segelfisk;Marlin;110;80;km/h;Hur många km/h skiljer det?
Väger en kapybara mer eller mindre än en bäver?;Kapybara;Bäver;55;25;kilo;Hur många kilo skiljer det?
Är en flamingo högre eller lägre än en gråhäger?;Flamingo;Gråhäger;130;95;centimeter;Hur många centimeter skiljer det?
Väger en isbjörn mer eller mindre än en brunbjörn?;Isbjörn;Brunbjörn;500;200;kilo;Hur många kilo skiljer det?
Lever en albatross längre eller kortare än en svan i det vilda?;Albatross;Svan;50;40;år;Hur många år skiljer det?
Väger en anakonda mer eller mindre än en nätpyton?;Anakonda;Nätpyton;200;90;kilo;Hur många kilo skiljer det?
Har en elefantsnabel fler eller färre muskler än hela människokroppen?;Elefantsnabel;Människokroppen;40000;600;muskler;Hur många muskler skiljer det?
Är en kejsarpingvin högre eller lägre än en kungspingvin?;Kejsarpingvin;Kungspingvin;115;95;centimeter;Hur många centimeter skiljer det?
Är en narvals bete längre eller kortare än en afrikansk elefants bete?;Narvalsbete;Elefantbete;2,5;3,3;meter;Hur många meter skiljer det?
Är en manta bredare eller smalare än en spjutrocka?;Manta;Spjutrocka;7;1,5;meter;Hur många meter skiljer det?
Väger en bison mer eller mindre än en tamko?;Bison;Tamko;900;750;kilo;Hur många kilo skiljer det?
Väger en orangutang mer eller mindre än en babian?;Orangutang;Babian;100;30;kilo;Hur många kilo skiljer det?
Väger en järv mer eller mindre än ett lodjur?;Järv;Lodjur;14;25;kilo;Hur många kilo skiljer det?
Lever en nilkrokodil längre eller kortare än en jättesköldpadda?;Nilkrokodil;Jättesköldpadda;100;200;år;Hur många år skiljer det?
Springer en afrikansk vildhund fortare eller långsammare än en hyena?;Afrikansk vildhund;Hyena;70;60;km/h;Hur många km/h skiljer det?
Har en berguv större eller mindre vingspann än en fjälluggla?;Berguv;Fjälluggla;1,8;1,5;meter;Hur många meter skiljer det?
Är en rens horn längre eller kortare än en kronhjorts?;Renshorn;Kronhjortshorn;120;90;centimeter;Hur många centimeter skiljer det?
Är dräktighetstiden för ett lejon längre eller kortare än för en gepard?;Lejon;Gepard;105;93;dygn;Hur många dygn skiljer det?
Lever en sengångare längre eller kortare än en koala i det vilda?;Sengångare;Koala;25;12;år;Hur många år skiljer det?
Väger en goliatbagge mer eller mindre än en ekoxe?;Goliatbagge;Ekoxe;50;20;gram;Hur många gram skiljer det?
Väger en flyghund mer eller mindre än en vampyrfladdermus?;Flyghund;Vampyrfladdermus;1000;40;gram;Hur många gram skiljer det?
Lägger en anka fler eller färre ägg per år än en höna?;Anka;Höna;320;290;ägg;Hur många ägg skiljer det?
Äter en blåval mer eller mindre mat per dag än en afrikansk elefant?;Blåval;Afrikansk elefant;3600;200;kilo;Hur många kilo skiljer det?
Är en nyfödd giraffkalv högre eller lägre än en vuxen människa?;Giraffkalv;Människa;1,9;1,7;meter;Hur många meter skiljer det?
Har en saltvattenskrokodil starkare eller svagare bett än ett lejon?;Saltvattenskrokodil;Lejon;3700;1000;PSI;Hur många PSI skiljer det?
Har en bläckfisk fler eller färre armar och tentakler än en tioarmad bläckfisk?;Bläckfisk;Tioarmad bläckfisk;8;10;armar;Hur många skiljer det?
Springer en känguru fortare eller långsammare än en emu?;Känguru;Emu;71;50;km/h;Hur många km/h skiljer det?
Väger en koala mer eller mindre än en vombat?;Koala;Vombat;9;35;kilo;Hur många kilo skiljer det?
Är en struts högre eller lägre än en emu?;Struts;Emu;2,8;1,9;meter;Hur många meter skiljer det?
Är ett valrossbete längre eller kortare än en afrikansk elefants bete?;Valrossbete;Elefantbete;100;200;centimeter;Hur många centimeter skiljer det?
Dyker en kaskelot djupare eller grundare än en kejsarpingvin?;Kaskelot;Kejsarpingvin;2000;550;meter;Hur många meter skiljer det?
