fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är tallen Methuselah äldre eller yngre än den äldsta kända bristleconetallen?;Methuselah;Äldsta bristleconetallen;4850;5060;år;Hur många år skiljer det?
Är Tugelafallen i Sydafrika högre eller lägre än Angelfallen i Venezuela?;Tugelafallen;Angelfallen;948;979;meter;Hur många meter skiljer det?
Är Etna högre eller lägre än Fuji?;Etna;Fuji;3403;3776;meter;Hur många meter skiljer det?
Har jordnötter mer eller mindre energi per 100 gram än mandel?;Jordnötter;Mandel;567;579;kcal;Hur många kcal skiljer det?
Har valnötter mer eller mindre energi per 100 gram än cashewnötter?;Valnötter;Cashewnötter;654;553;kcal;Hur många kcal skiljer det?
Har gurka mer eller mindre energi per 100 gram än tomat?;Gurka;Tomat;15;18;kcal;Hur många kcal skiljer det?
Har potatis mer eller mindre energi per 100 gram än sötpotatis?;Potatis;Sötpotatis;77;86;kcal;Hur många kcal skiljer det?
Har mango mer eller mindre energi per 100 gram än ananas?;Mango;Ananas;60;50;kcal;Hur många kcal skiljer det?
Har morot mer eller mindre energi per 100 gram än rödbeta?;Morot;Rödbeta;41;43;kcal;Hur många kcal skiljer det?
Har kikärtor mer eller mindre energi per 100 gram än röda linser?;Kikärtor;Röda linser;364;352;kcal;Hur många kcal skiljer det?
Har vitt ris mer eller mindre energi per 100 gram än havregryn?;Vitt ris;Havregryn;365;389;kcal;Hur många kcal skiljer det?
Väger en banan mer eller mindre än en persika?;Banan;Persika;120;150;gram;Hur många gram skiljer det?
Är en solros högre eller lägre än en majsplanta?;Solros;Majsplanta;3;2,5;meter;Hur många meter skiljer det?
Har en dadel mer eller mindre energi per 100 gram än ett russin?;Dadlar;Russin;277;299;kcal;Hur många kcal skiljer det?
Har vetemjöl mer eller mindre energi per 100 gram än rågmjöl?;Vetemjöl;Rågmjöl;364;325;kcal;Hur många kcal skiljer det?
Har en cashewnöt mer eller mindre energi per 100 gram än en pistagenöt?;Cashewnötter;Pistagenötter;553;560;kcal;Hur många kcal skiljer det?
Uppfanns telefonen före eller efter glödlampan?;Telefonen;Glödlampan;1876;1879;år;Hur många år skiljer det?
Föll Berlinmuren före eller efter att Sovjetunionen upplöstes?;Berlinmurens fall;Sovjetunionens upplösning;1989;1991;år;Hur många år skiljer det?
Ägde månlandningen rum före eller efter att webben (WWW) uppfanns?;Månlandningen;World Wide Web;1969;1991;år;Hur många år skiljer det?
Sjönk Titanic före eller efter Hindenburgkatastrofen?;Titanic;Hindenburgkatastrofen;1912;1937;år;Hur många år skiljer det?
Regerade Ludvig XIV längre eller kortare än drottning Elisabet II?;Ludvig XIV;Elisabet II;72;70;år;Hur många år skiljer det?
Är Cheopspyramiden i Giza äldre eller yngre än Stonehenge?;Cheopspyramiden;Stonehenge;2560;3100;år f.Kr.;Hur många år skiljer det?
Regerade farao Ramses II längre eller kortare än drottning Viktoria?;Ramses II;Drottning Viktoria;66;63;år;Hur många år skiljer det?
Dog de sista mammutarna ut för fler eller färre år sedan än då Cheopspyramiden byggdes?;Sista mammutarna (Wrangel);Cheopspyramiden;4000;4500;år sedan;Hur många år skiljer det?
Var Karthago äldre eller yngre än Rom (grundningsår)?;Karthago grundas;Rom grundas;814;753;år f.Kr.;Hur många år skiljer det?
Hade Frankrike fler eller färre kungar vid namn Ludvig än Sverige hade kungar vid namn Karl?;Franska kungar vid namn Ludvig;Svenska kungar vid namn Karl;18;16;antal;Hur många skiljer det?
Inleddes reformationen (Luthers teser) före eller efter att tryckpressen uppfanns?;Luthers 95 teser;Gutenbergs tryckpress;1517;1450;år;Hur många år skiljer det?
Var den första olympiaden i antikens Grekland före eller efter Roms grundande?;Första antika olympiaden;Rom grundas;776;753;år f.Kr.;Hur många år skiljer det?
Var slaget vid Marathon före eller efter slaget vid Thermopyle?;Slaget vid Marathon;Slaget vid Thermopyle;490;480;år f.Kr.;Hur många år skiljer det?
Levde Galileo Galilei (född) före eller efter Isaac Newton (född)?;Galileo Galilei;Isaac Newton;1564;1643;år;Hur många år skiljer det?
Begravdes Pompeji av Vesuvius utbrott före eller efter att Colosseum stod färdigt?;Vesuvius utbrott över Pompeji;Colosseum färdigt;79;80;år;Hur många år skiljer det?
Var den första järnvägen för passagerare (Stockton–Darlington) före eller efter att Sverige fick sin första järnväg?;Stockton–Darlington;Sveriges första järnväg;1825;1856;år;Hur många år skiljer det?
Var Titanic längre eller kortare än det moderna hangarfartyget USS Gerald R. Ford?;Titanic;USS Gerald R. Ford;269;337;meter;Hur många meter skiljer det?
Tog slavskeppens atlantöverfart i genomsnitt fler eller färre dygn än Mayflowers resa till Amerika?;Slavskeppens atlantöverfart;Mayflowers resa;60;66;dygn;Hur många dygn skiljer det?
Varade den romerska republiken kortare eller längre än det västromerska kejsardömet?;Romerska republiken;Västromerska kejsardömet;482;503;år;Hur många år skiljer det?
Var det osmanska riket vid sin höjdpunkt större eller mindre än Romarriket vid sin höjdpunkt (yta)?;Osmanska riket vid höjdpunkt;Romarriket vid höjdpunkt;5,2;5;miljoner kvadratkilometer;Hur många miljoner kvadratkilometer skiljer det?
Var Karl XII yngre eller äldre vid sin död än Alexander den store?;Karl XII vid sin död;Alexander den store vid sin död;36;32;år;Hur många år skiljer det?
Väger lungorna mer eller mindre än hjärnan?;Lungorna;Hjärnan;1300;1336;gram;Hur många gram skiljer det?
Väger hjärnan mer eller mindre än levern?;Hjärnan;Levern;1336;1500;gram;Hur många gram skiljer det?
Väger levern mer eller mindre än lungorna?;Levern;Lungorna;1500;1300;gram;Hur många gram skiljer det?
Har en vuxen fler eller färre tänder än antalet ryggkotor?;Tänder hos vuxen;Ryggkotor;32;33;stycken;Hur många stycken skiljer det?
Har en hand fler eller färre ben än skallen?;Ben i en hand;Ben i skallen;27;22;stycken;Hur många stycken skiljer det?
Har en fot fler eller färre ben än en hand?;Ben i en fot;Ben i en hand;26;27;stycken;Hur många stycken skiljer det?
Är ett nyfött barns kroppsvatten en högre eller lägre andel än en vuxens?;Kroppsvatten hos nyfödd;Kroppsvatten hos vuxen;75;60;procent;Hur många procentenheter skiljer det?
Är överarmsbenet längre eller kortare än matstrupen?;Överarmsbenet;Matstrupen;30;25;centimeter;Hur många centimeter skiljer det?
Väger båda njurarna tillsammans mer eller mindre än hjärtat?;Båda njurarna;Hjärtat;270;300;gram;Hur många gram skiljer det?
Är lårbenet längre eller kortare än ryggmärgen?;Lårbenet;Ryggmärgen;48;45;centimeter;Hur många centimeter skiljer det?
Är överarmsbenet längre eller kortare än skenbenet?;Överarmsbenet;Skenbenet;30;36;centimeter;Hur många centimeter skiljer det?
Är ryggmärgen längre eller kortare än matstrupen och luftstrupen tillsammans?;Ryggmärgen;Matstrupen och luftstrupen;45;36;centimeter;Hur många centimeter skiljer det?
Är luftstrupens diameter större eller mindre än ögats diameter?;Luftstrupens diameter;Ögat;20;24;millimeter;Hur många millimeter skiljer det?
Är en mans urinrör längre eller kortare än matstrupen?;Mannens urinrör;Matstrupen;20;25;centimeter;Hur många centimeter skiljer det?
Har en hand fler eller färre ben än antalet tänder hos en vuxen?;Ben i en hand;Tänder hos vuxen;27;32;stycken;Hur många stycken skiljer det?
Är matstrupen längre eller kortare än luftstrupen och en mans urinrör tillsammans?;Matstrupen;Luftstrupen och urinröret;25;31;centimeter;Hur många centimeter skiljer det?
Är ögat större eller mindre i diameter än aortan?;Ögat;Aortans diameter;24;30;millimeter;Hur många millimeter skiljer det?
Väger levern mer eller mindre än hjärnan, hjärtat och mjälten tillsammans?;Levern;Hjärnan, hjärtat och mjälten;1500;1786;gram;Hur många gram skiljer det?
Har kroppen fler eller färre svettkörtlar än röda blodkroppar bildas per sekund?;Svettkörtlar;Röda blodkroppar per sekund;3000000;2400000;stycken;Hur många stycken skiljer det?
Är ryggmärgen längre eller kortare än skenbenet?;Ryggmärgen;Skenbenet;45;36;centimeter;Hur många centimeter skiljer det?
Har vit choklad fler eller färre kalorier än mjölkchoklad?;Vit choklad;Mjölkchoklad;539;535;kcal per 100 g;Hur många kcal skiljer det?
Har cheddar fler eller färre kalorier än gouda?;Cheddar;Gouda;404;356;kcal per 100 g;Hur många kcal skiljer det?
Innehåller Coca-Cola mer eller mindre socker än apelsinjuice?;Coca-Cola;Apelsinjuice;10,6;9;gram per 100 ml;Hur många gram skiljer det?
Innehåller kycklingbröst mer eller mindre protein än lax?;Kycklingbröst;Lax;23;20;gram per 100 g;Hur många gram skiljer det?
Har olivolja fler eller färre kalorier än smör?;Olivolja;Smör;884;717;kcal per 100 g;Hur många kcal skiljer det?
Har olivolja fler eller färre kalorier än kokosolja?;Olivolja;Kokosolja;884;892;kcal per 100 g;Hur många kcal skiljer det?
