fråga;källa;år
Har en människa fler eller färre kromosomer än en schimpans?;The Tech Interactive (Stanford) – "How did humans go from 48 to 46 chromosomes?";2013
Har ena handen fler eller färre leder än ena foten?;Encyclopaedia Britannica – Human skeleton: Hands and feet;2024
Är ena ögats lins lättare eller tyngre än ögongloben i sin helhet?;NCBI PMC – Growth of the human eye lens; Orillia Optometry – Understanding the Human Eye;2009
Har en kvinna i snitt fler eller färre hårstrån på huvudet än en man?;Medihair – Hair Statistics; Healthline – How Many Hairs Are on the Human Head?;2024
Rymmer urinblåsan mer eller mindre vätska än magsäcken kan rymma?;NCBI Bookshelf – How does the urinary system work?; Institute of Human Anatomy – stomach capacity;2023
Förbränner en vuxen fler eller färre kalorier i vila per dygn än under en timmes löpning?;Healthline – How to Calculate Your Basal Metabolic Rate;2024
Har ögats näthinna fler stavar än tappar?;NCBI Bookshelf (Neuroscience) – Anatomical Distribution of Rods and Cones; HyperPhysics (GSU);2001
Finns det fler tarmbakterier än egna kroppsceller (i biljoner)?;PLOS Biology – Sender, Fuchs & Milo: Revised Estimates for the Number of Human and Bacteria Cells in the Body;2016
Är navelsträngen vid födseln längre eller kortare än en nyfödds kroppslängd?;Cleveland Clinic – Umbilical Cord; Wikipedia – Umbilical cord;2023
Väger moderkakan vid födseln mer eller mindre än ett nyfött barn?;NCBI PMC – Placental weight and birth weight studies;2014
Väger ett nyfött barn mer eller mindre än ett barn vid ett års ålder?;WHO Child Growth Standards (median vikt 0 och 12 mån);2006
Har huden fler svettkörtlar än talgkörtlar (i miljoner)?;NCBI Bookshelf (StatPearls) – Anatomy, Skin Sweat Glands; Cleveland Clinic – Sebaceous Glands;2023
Är en vuxens midjeomkrets större eller mindre än huvudets omkrets?;NCBI PMC – Centiles for adult head circumference;2007
Far en nysning ut ur munnen snabbare eller långsammare än vindstyrkan i en orkan?;Guinness World Records – Fastest sneeze; NOAA – Saffir–Simpson Hurricane Wind Scale (kategori 1: 119 km/h);2023
Innehåller kroppen mer kalcium än kalium (i gram)?;NCBI Bookshelf – Dietary Reference Intakes (kalcium); NCBI PMC – Potassium;2023
Bildas det fler nya röda blodkroppar än det dör celler totalt i kroppen varje sekund?;ScienceAlert – "Your Body Makes 3.8 Million Cells Every Second"; UCSB ScienceLine (RBC ~2 milj/s);2021
Är ögats synfält i sidled bredare eller smalare än i höjdled?;Wikipedia – Visual field; Biology Insights – Degrees of the Human Visual Field;2024
Är en vuxen vaken fler eller färre timmar per dygn än ett spädbarn?;Sleep Foundation – Baby Sleep Cycle / How Much Sleep Do Adults Need;2024
Väger ett ben mer eller mindre än en arm (övre extremiteten)?;ResearchGate – Segment weights as percentage of body weight (Dempster/Winter);2014
Är huden på fotsulan tjockare eller tunnare än huden på ögonlocket?;ScienceABC – Thickest and Thinnest Skin; Medscape – Skin Anatomy;2023
Drar ett leende ihop fler eller färre muskler än en rynkad panna?;Live Science – Does it Take More Muscles to Frown than Smile?; HowStuffWorks;2010
Producerar kroppen mer magsyra eller galla per dygn?;NCBI Bookshelf – How does the stomach work?; Wikipedia – Bile;2023
Andas en vuxen in mer eller mindre luft per andetag i vila än vid maximal ansträngning?;NCBI Bookshelf (StatPearls) – Physiology, Tidal Volume; Wikipedia – Lung volumes;2023
Är tarmludden tillsammans större eller mindre yta än lungorna invändigt?;Colorado State University – Gross and Microscopic Anatomy of the Small Intestine (~250 m²); Somatechnology – How Big Are Your Lungs (~70-100 m²);2022
Tar en hjärtcykel kortare eller längre tid än ett enda andetag i vila?;NCBI PMC – How much time has passed? Ask your heart (cardiac cycle ~0,8 s); StatPearls – Tidal Volume (andningsfrekvens);2014
Väger allt fett på en normalviktig vuxen mer eller mindre än alla muskler?;Wikipedia – Human body weight; NCBI PMC – Fat Mass Estimation Formulas;2020
