fråga;källa;år
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Investor AB ~81,6 mdr USD, Atlas Copco officiellt 800 mdr kr, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Telia ~11,0, Saab ~11,4 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (SEB ~28,0, Swedbank ~22,3 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Ericsson ~26,3, H&M ~21,7 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Atlas Copco officiellt 800 mdr kr, Volvo ~49,7 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Nordea ~38,0, SEB ~28,0 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (EQT ~33,3, Sandvik ~22,8 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (AstraZeneca ~203,6, Nike ~113,8 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (AstraZeneca ~203,6, Spotify ~92,2 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Investor AB ~81,6, Nordea ~38,0 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Investor AB ~81,6, Volvo ~49,7 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Atlas Copco officiellt 800 mdr kr, Ericsson ~26,3 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Spotify ~92,2, H&M ~21,7 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (AstraZeneca ~203,6 mdr USD, Sandvik ~22,8 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Apple ~3,766 biljoner USD, Investor AB ~81,6 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Nvidia ~3,288 biljoner USD, Atlas Copco officiellt 800 mdr kr, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Essity ~18,8, Spotify ~92,2 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Volvo ~49,7, Coca-Cola ~269,0 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Spotify ~92,2, Netflix ~387,9 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Volvo ~49,7, Toyota ~264,9 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (H&M ~21,7, Ferrari ~77,4 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (SKF ~8,6, EQT ~33,3 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Essity ~18,8 mdr USD, Atlas Copco officiellt 800 mdr kr, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Sandvik ~22,8, Investor AB ~81,6 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Boliden ~7,8, EQT ~33,3 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Hexagon ~25,9, Spotify ~92,2 mdr USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Saab ~11,4 mdr USD, Microsoft ~3,200 biljoner USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (SKF ~8,6 mdr USD, Amazon ~2,352 biljoner USD, end-2024, USD/SEK~10,5);2024
Vilket märke har störst börsvärde? (2024);companiesmarketcap.com (Ericsson ~26,3 mdr USD, Tesla ~1,385 biljoner USD, end-2024, USD/SEK~10,5);2024
