fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har ett piano fler eller färre tangenter än orgeln i Stockholms stadshus har pipor?;Piano;Orgeln i Stockholms stadshus;88;10271;stycken;Hur många skiljer det?
Har en balalajka fler eller färre strängar än en mandolin?;Balalajka;Mandolin;3;8;strängar;Hur många strängar skiljer det?
Är melodin till Blinka lilla stjärna äldre eller yngre än Bä bä vita lamm? (2026);Blinka lilla stjärna;Bä bä vita lamm;265;134;år;Hur många år skiljer det?
Väger Storklockan i Uppsala domkyrka mer eller mindre än en flygel?;Storklockan i Uppsala domkyrka;Flygel;7360;480;kilo;Hur många kilo skiljer det?
Har en symfoniorkester fler eller färre musiker än ett storband?;Symfoniorkester;Storband;100;17;musiker;Hur många musiker skiljer det?
Är en klarinett längre eller kortare än en tvärflöjt?;Klarinett;Tvärflöjt;66;67;centimeter;Hur många centimeter skiljer det?
Är ABBA:s Mamma Mia längre eller kortare än The Winner Takes It All?;Mamma Mia;The Winner Takes It All;212;294;sekunder;Hur många sekunder skiljer det?
Har en harpa fler eller färre strängar än en balalajka?;Harpa;Balalajka;47;3;strängar;Hur många strängar skiljer det?
Är Idas sommarvisa äldre eller yngre än melodin till Blinka lilla stjärna? (2026);Idas sommarvisa;Blinka lilla stjärna;53;265;år;Hur många år skiljer det?
Har en mandolin fler eller färre strängar än en banjo?;Mandolin;Banjo;8;5;strängar;Hur många strängar skiljer det?
Har Carola vunnit Melodifestivalen fler eller färre gånger än Måns Zelmerlöw?;Carola;Måns Zelmerlöw;3;1;gånger;Hur många gånger skiljer det?
Väger ett trumset mer eller mindre än ett fullstort dragspel?;Trumset;Dragspel;25;12;kilo;Hur många kilo skiljer det?
Är en blockflöjt längre eller kortare än ett alphorn?;Blockflöjt;Alphorn;32;350;centimeter;Hur många centimeter skiljer det?
Är Beatles Yesterday längre eller kortare än Queens Bohemian Rhapsody?;Yesterday;Bohemian Rhapsody;123;355;sekunder;Hur många sekunder skiljer det?
Har Loreen vunnit Melodifestivalen fler eller färre gånger än Carola?;Loreen;Carola;2;3;gånger;Hur många gånger skiljer det?
Har en fiolstråke fler eller färre hårstrån än en fiol har strängar?;Fiolstråke;Fiol;170;4;stycken;Hur många skiljer det?
Är nationalsången Du gamla, du fria äldre eller yngre än Idas sommarvisa? (2026);Du gamla, du fria;Idas sommarvisa;182;53;år;Hur många år skiljer det?
Har ABBA vunnit Eurovision fler eller färre gånger än Loreen?;ABBA;Loreen;1;2;gånger;Hur många gånger skiljer det?
Har ett fullstort dragspel fler eller färre basknappar än en banjo har strängar?;Dragspel;Banjo;120;5;stycken;Hur många skiljer det?
Har en klarinett fler eller färre klaffar än en oboe?;Klarinett;Oboe;17;45;klaffar;Hur många klaffar skiljer det?
Har en trumpet fler eller färre ventiler än en saxofon har klaffar?;Trumpet;Saxofon;3;23;stycken;Hur många skiljer det?
Är en blockflöjt längre eller kortare än en klarinett?;Blockflöjt;Klarinett;32;66;centimeter;Hur många centimeter skiljer det?
Har en konsertxylofon fler eller färre stavar än ett munspel har hål?;Konsertxylofon;Munspel;44;10;stycken;Hur många skiljer det?
Har Eurovision funnits i fler eller färre år än Melodifestivalen? (2026);Eurovision;Melodifestivalen;70;67;år;Hur många år skiljer det?
Är en fiol längre eller kortare än en flygel?;Fiol;Flygel;60;180;centimeter;Hur många centimeter skiljer det?
Är ABBA:s Dancing Queen äldre eller yngre än Loreens Euphoria? (2026);Dancing Queen;Euphoria;50;14;år;Hur många år skiljer det?
Är Bä bä vita lamm äldre eller yngre än ABBA:s Waterloo? (2026);Bä bä vita lamm;Waterloo;134;52;år;Hur många år skiljer det?
