fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Vilket märke har störst omsättning? (2024);ICA;Securitas;157,2;157,6;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Skanska;Atlas Copco;177,2;176,7;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Sandvik;Electrolux;122,9;136,2;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);H&M;Atlas Copco;234,5;176,7;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Sandvik;Skanska;122,9;177,2;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Sandvik;Boliden;122,9;93,5;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Lantmännen;Boliden;68,0;93,5;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Telia;Husqvarna;89,1;48,4;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Husqvarna;Axfood;48,4;84,1;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);SKF;Essity;98,7;146,0;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Securitas;SKF;157,6;98,7;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Lantmännen;ICA;68,0;157,2;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Ericsson;Telia;247,9;89,1;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Husqvarna;H&M;48,4;234,5;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Volvo Cars;ICA;400,2;157,2;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Lantmännen;Atlas Copco;68,0;176,7;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Essity;NIBE;146,0;40,5;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Husqvarna;Sandvik;48,4;122,9;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Skanska;NIBE;177,2;40,5;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Volvo Cars;Essity;400,2;146,0;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Spotify;Husqvarna;180,0;48,4;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);NIBE;Volvo;40,5;526,8;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Cloetta;Ericsson;8,6;247,9;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);H&M;Kopparbergs;234,5;2,4;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Evolution;Volvo;23,7;526,8;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Spotify;Oatly;180,0;8,6;miljarder kr;Hur många miljarder kronor skiljer det?
