fråga;källa;år
Är en blixt varmare eller kallare än solens yta?;NOAA / Britannica (blixt ~30000 °C, solens yta ~5500 °C);2024
Är vattnets kokpunkt högre eller lägre än temperaturen i en het bastu?;Vetenskaplig allmänkunskap (vatten kokar vid 100 °C vid havsnivå; finsk bastu ~70-90 °C, typiskt 80 °C);2024
Har en regnbåge fler eller färre färger än vad ett år har månader?;Allmänkunskap (regnbågen 7 färger; året 12 månader);2024
Har ett år fler eller färre årstider än månader?;Allmänkunskap (4 årstider, 12 månader);2024
Blåser det mer eller mindre i en orkan än i en storm?;Beaufortskalan / SMHI (orkan ≥ 118 km/h / 32,7 m/s, storm Beaufort 10 ~ 89 km/h);2024
Är en regndroppe större eller mindre i diameter än ett hagelkorn?;NASA GPM / AMS Glossary (regndroppe max ~5-6 mm, hagelkorn typiskt ~10-50 mm);2024
Är en fullvuxen ek högre eller lägre än en fullvuxen gran?;Naturhistoriska riksmuseet / Wikipedia (ek i Sverige ~20-25 m, gran ofta 30-40 m);2024
Är en fullvuxen tall högre eller lägre än en fullvuxen björk?;Skogen.se / Wikipedia (fullvuxen tall ~25-30 m, björk ~20-25 m);2024
Är en solros högre eller lägre än en kokospalm?;Britannica / Wikipedia (solros ~2-3 m, kokospalm ~20-30 m);2024
Har en vecka fler eller färre dagar än en månad?;Allmänkunskap (vecka 7 dagar, månad ~30 dagar);2024
Har februari fler eller färre dagar än juli?;Den gregorianska kalendern (februari 28 dagar, juli 31 dagar);2024
Finns det fler eller färre kontinenter än världshav på jorden?;Allmänkunskap (7 kontinenter, 5 världshav inkl. Södra ishavet);2024
Är en solros högre eller lägre än en maskros?;Wikipedia (solros ~2-3 m, maskros ~0,1-0,4 m);2024
Blir en björk i regel äldre eller yngre än en tall?;Skogen.se / Skogssällskapet (björk typiskt ~60-150 år, tall ofta 150-350+ år);2024
Väger ett cumulusmoln mer eller mindre än en blåval?;USGS (cumulusmoln ~500 ton vatten); Wikipedia (blåval ~150 ton);2024
Har en regnbåge fler eller färre färger än antalet toner i en oktav?;Allmänkunskap (regnbågen 7 färger; diatonisk oktav 8 toner);2024
Syns en större eller mindre del av ett isberg ovanför vattnet än under?;USGS / sciencelearn (~10 % ovanför, ~90 % under vatten);2024
Täcker vatten en större eller mindre del av jordens yta än land?;USGS (vatten ~71 % av jordytan, land ~29 %);2024
Faller det mer eller mindre regn under en vanlig regnskur än under ett skyfall?;SMHI (skyfall ≥ 50 mm/timme; vanlig regnskur ~5 mm);2024
Är det varmare eller kallare en het sommardag än i en bastu?;Allmänkunskap / SMHI (het sommardag ~30 °C; finsk bastu ~80 °C);2024
Blåser det mer eller mindre i en tornado än i en orkan?;NOAA (EF5-tornado ~300+ km/h; orkan ≥ 119 km/h);2024
Har ett skottår fler eller färre dagar än ett vanligt år?;Den gregorianska kalendern (skottår 366 dagar, vanligt år 365);2024
Är en tallkotte större eller mindre i längd än en grankotte?;Kottar.se / Wikipedia (tallkotte ~3-7 cm, grankotte ~10-15 cm);2024
Är en kokospalm högre eller lägre än ett äppelträd?;Britannica / Wikipedia (kokospalm ~20-30 m, äppelträd ~3-5 m);2024
Faller det mer eller mindre nederbörd på ett år i en regnskog än i en öken?;Allmänkunskap / klimatologi (regnskog > 2000 mm/år, öken < 250 mm/år);2024
Har en prästkrage fler eller färre kronblad än en smörblomma?;Wikipedia (prästkrage 15-40 strålblommor; smörblomma 5 kronblad);2024
Är ett tallbarr längre eller kortare än ett granbarr?;Wikipedia (tallbarr ~4-7 cm, granbarr ~1-2,5 cm);2024
Är en sommarnatt under midnattssolen längre eller kortare än en sommarnatt i Stockholm?;SMHI (midnattssol = 24 h dagsljus; Stockholm vid sommarsolstånd ~18,5 h);2024
