fråga;källa;år
Invigdes nöjesparken Liseberg före eller efter Gröna Lund?;Wikipedia: Liseberg (1923), Gröna Lund (1883);2024
Skrev Astrid Lindgren fler eller färre kapitelböcker än bilderböcker?;Astrid Lindgren Company / Rabén & Sjögren – 34 kapitelböcker, 41 bilderböcker;2024
Är skidloppet Vasaloppet längre eller kortare än Stockholm Marathon?;vasaloppet.se (90 km); Stockholm Marathon (42,195 km);2024
Har friluftsmuseet Skansen fler eller färre besökare per år än Liseberg? (2023);skansen.se – mest besökta museet 2023 (1,41 milj); Liseberg AB Årsrapport 2023 (2,3 milj, tre säsonger);2023
Har Sverige vunnit Eurovision fler eller färre gånger än Tre Kronor tagit VM-guld i ishockey?;eurovisionworld.com (Sverige 7 segrar); Wikipedia: Sveriges herrlandslag i ishockey (11 VM-guld);2024
Är Astrid Lindgrens böcker översatta till fler eller färre språk än enbart Pippi-böckerna?;Astrid Lindgren Company (~100 språk totalt; Pippi ~78 språk);2024
Är Vasaloppet längre eller kortare än motionsloppet Lidingöloppet?;vasaloppet.se (90 km); lidingoloppet.se (30 km);2024
Hade Liseberg fler eller färre besökare än Gröna Lund? (2023);Liseberg AB Årsrapport 2023 (2,3 milj); Gröna Lund/Parques Reunidos (~0,7 milj);2023
Har ABBA sålt fler eller färre skivor i världen än Roxette?;Universal Music (ABBA ~385 milj); dailyroxette.com / Per Gessle (~75 milj);2024
Har Tre Kronor tagit fler eller färre VM-guld i ishockey än Sverige tagit medaljer i fotbolls-VM?;Wikipedia: Sveriges herrlandslag i ishockey (11 guld); Sveriges herrlandslag i fotboll (3 VM-medaljer);2024
Har samlingsalbumet ABBA Gold sålt fler eller färre exemplar än Millennium-serien?;bestsellingalbums.org (ABBA Gold ~32 milj); förlagsuppgifter Millennium (~100 milj);2024
Har Drottningholms slott fler eller färre rum än Stockholms slott?;Kungliga slotten / Statens fastighetsverk;2024
Är löparloppet Göteborgsvarvet längre eller kortare än Vasaloppet?;goteborgsvarvet.se (21,1 km); vasaloppet.se (90 km);2024
Skrev August Strindberg fler eller färre teaterpjäser än Selma Lagerlöf skrev romaner?;Wikipedia: August Strindberg (~60 pjäser); Selma Lagerlöf (~15 romaner);2024
Har Sverige fått fler eller färre Nobelpris totalt än Norge?;nobelprize.org / Wikipedia – Sverige 34, Norge 14 pristagare;2024
Är friluftsmuseet Skansen större eller mindre till ytan än nöjesparken Gröna Lund?;skansen.se (~300 000 m²); gronalund.com (~36 000 m²);2024
Finns det fler eller färre böcker om Sune än det gjorts Sällskapsresan-filmer?;sorenolsson.com (~48 Sune-böcker); Wikipedia: Sällskapsresan (filmserie, 6 filmer);2024
Har ABBA sålt fler eller färre skivor totalt än samlingsalbumet ABBA Gold?;Universal Music (ABBA ~385 milj); bestsellingalbums.org (ABBA Gold ~32 milj);2024
Har Sverige fått fler eller färre Nobelpris totalt än antalet svenska Nobelpris i litteratur?;nobelprize.org / Wikipedia – 34 svenska pristagare, 8 i litteratur;2024
Levde dj:n Avicii fler eller färre år än författaren Astrid Lindgren?;Wikipedia: Avicii (1989–2018, 28 år); Astrid Lindgren (1907–2002, 94 år);2024
Har Astrid Lindgrens böcker sålt fler eller färre exemplar än ABBA sålt skivor?;Astrid Lindgren Company (~170 milj); Universal Music (ABBA ~385 milj);2024
Skrev August Strindberg fler eller färre teaterpjäser än det gjorts Sällskapsresan-filmer?;Wikipedia: August Strindberg (~60 pjäser); Sällskapsresan (6 filmer);2024
Levde August Strindberg fler eller färre år än Astrid Lindgren?;Wikipedia: August Strindberg (1849–1912, 63 år); Astrid Lindgren (1907–2002, 94 år);2024
Har Drottningholms slott fler eller färre rum än det gått filmer i Sällskapsresan-serien?;Kungliga slotten (~200 rum); Sällskapsresan (6 filmer);2024
Kom boken om Pippi Långstrump ut före eller efter boken om Emil i Lönneberga?;Wikipedia: Pippi Långstrump (1945); Emil i Lönneberga (1963);2024
