fråga;källa;år
Tar världsrekordet på 100 meter kortare eller längre tid än rekordet på 200 meter?;World Athletics (Usain Bolt 9,58 / 19,19);2009
Är en fotbollsplan längre än den är bred (proffsmått)?;FIFA/UEFA referensmått 105x68 m;2024
Är en NBA-plan kortare eller längre än en olympisk simbassäng?;NBA (28,65 m) / World Aquatics (50 m);2024
Rymmer Wembley fler eller färre åskådare än Camp Nou?;Wikipedia Wembley/Camp Nou kapacitet;2024
Sitter ett volleybollnät (herrar) högre eller lägre än en basketkorg?;FIVB (2,43 m) / FIBA-NBA (3,05 m);2024
Väger en fotboll mer eller mindre än en NBA-basketboll?;FIFA stl 5 (~430 g) / NBA (~624 g);2024
Är en NHL-rink längre eller kortare än en tennisbana?;NHL (61 m) / ITF tennisbana (23,77 m);2024
Är en golfboll mindre eller större i diameter än ett golfhål?;USGA/R&A (boll 42,67 mm / hål 108 mm);2024
Är det snabbaste basebollkastet snabbare eller långsammare än den snabbaste tennisserven?;Guinness (baseboll Aroldis Chapman 105,8 mph = 170 km/h, 2010 / tennis Sam Groth 263 km/h, 2012);2012
Är en bowlingbana längre eller kortare än kastlinjen i dart?;USBC (18,29 m) / PDC/WDF oche (2,37 m);2024
Är världsrekordet i höjdhopp högre eller lägre än rekordet i stavhopp?;World Athletics (Sotomayor 2,45 / Duplantis 6,31);2026
Är världsrekordet i längdhopp kortare eller längre än rekordet i tresteg?;World Athletics (Powell 8,95 / Edwards 18,29);1995
Är ett Tour de France längre eller kortare än ett maratonlopp?;ASO Tour de France 2024 (3498 km) / maraton 42,195 km;2024
Är ett tennisnät högre vid mitten eller vid stolparna?;ITF (0,914 m mitt / 1,07 m stolpar);2024
Är en fotbollsplan bredare eller smalare än en basketplan?;FIFA (68 m) / NBA (15,24 m);2024
Sitter ett volleybollnät för damer högre eller lägre än för herrar?;FIVB (dam 2,24 m / herr 2,43 m);2024
Är en tennisbana kortare eller längre än en NBA-plan?;ITF (23,77 m) / NBA (28,65 m);2024
Är ett maratonlopp längre eller kortare än ett 5000-meterslopp?;Officiella distanser (42,195 km / 5 km);2024
Är en volleybollplan längre än den är bred?;FIVB (18x9 m);2024
Spelas en fotbollsmatch under fler eller färre minuter än en NBA-match?;IFAB (90 min) / NBA (48 min);2024
Är en fotbollshalvlek längre eller kortare än en period i ishockey?;IFAB (45 min) / NHL/IIHF (20 min);2024
Avgörs en proffs-VM-match i boxning över fler eller färre ronder än en amatörmatch?;WBC m.fl. (12 ronder) / olympisk amatör (3 ronder);2024
Spelar ett rugbylag (union) med fler eller färre spelare än ett fotbollslag?;World Rugby (15) / FIFA (11);2024
Är ett 10 000-meterslopp kortare eller längre än ett maraton?;Officiella distanser (10 km / 42,195 km);2024
Väger en tennisboll mer eller mindre än en golfboll?;ITF (~58 g) / USGA (45,93 g);2024
Är ett ishockeymål smalare eller bredare än ett fotbollsmål?;IIHF (1,83 m) / IFAB (7,32 m);2024
Är ett fotbollsmål bredare eller smalare än ett handbollsmål?;IFAB (7,32 m) / IHF (3 m);2024
Är ett golfhål mindre eller större i diameter än en basketring?;USGA/R&A (10,8 cm) / FIBA-NBA (45,7 cm);2024
Är ett varv på en löparbana kortare eller längre än ett maraton?;World Athletics (400 m) / maraton 42,195 km;2024
Är en basketrings diameter mindre eller större än omkretsen på en fotboll?;FIBA-NBA ring (45,7 cm) / FIFA stl 5 omkrets (~69 cm);2024
Tar världsrekordet på 800 meter (herrar) kortare eller längre tid än rekordet på 400 meter?;World Athletics (800 m Rudisha 1:40,91 = 100,91 s, 2012 / 400 m van Niekerk 43,03 s, 2016);2016
Tar världsrekordet på 1500 meter (herrar) kortare eller längre tid än rekordet på 800 meter?;World Athletics (1500 m El Guerrouj 3:26,00 = 206 s, 1998 / 800 m Rudisha 1:40,91 = 100,91 s, 2012);1998
Tar världsrekordet på 5000 meter (herrar) kortare eller längre tid än rekordet på 1500 meter?;World Athletics (5000 m Cheptegei 12:35,36 = 755,36 s, 2020 / 1500 m El Guerrouj 3:26,00 = 206 s, 1998);2020
Tar världsrekordet på 200 meter (herrar) kortare eller längre tid än damrekordet på 100 meter?;World Athletics (200 m Bolt 19,19 s, 2009 / 100 m damer Griffith-Joyner 10,49 s, 1988);2009
Är damernas världsrekord på 100 meter snabbare eller långsammare än herrarnas?;World Athletics (100 m damer Griffith-Joyner 10,49 s, 1988 / herrar Bolt 9,58 s, 2009);2009
Kastas herrarnas spjut längre eller kortare än rekordet i diskus?;World Athletics (spjut Železný 98,48 m, 1996 / diskus Schult 74,08 m, 1986);1996
Kastas herrarnas slägga längre eller kortare än rekordet i diskus?;World Athletics (slägga Sedych 86,74 m, 1986 / diskus Schult 74,08 m, 1986);1986
Stöts herrarnas kula längre eller kortare än rekordet i släggkast?;World Athletics (kula Crouser 23,56 m, 2023 / slägga Sedych 86,74 m, 1986);2023
Är världsrekordet i stavhopp högre eller lägre än längden på en ishockeyrink?;World Athletics (stavhopp Duplantis 6,31 m) / NHL-rink 200 ft = 60,96 m;2025
Är det längsta skidflygningshoppet längre eller kortare än rekordet i längdhopp?;Guinness/FIS (Stefan Kraft 253,5 m, 2017) / World Athletics (längdhopp Powell 8,95 m, 1991);2017
Väger en herrkula mer eller mindre än ett herrspjut?;World Athletics implement specs (kula 7,26 kg / spjut 0,8 kg);2024
Väger en herrslägga mer eller mindre än en herrdiskus?;World Athletics implement specs (slägga 7,26 kg / diskus 2 kg);2024
Väger en damkula mer eller mindre än en damdiskus?;World Athletics implement specs (kula damer 4 kg / diskus damer 1 kg);2024
Väger ett herrspjut mer eller mindre än ett damspjut?;World Athletics implement specs (spjut herrar 0,8 kg / damer 0,6 kg);2024
Är ett cricketwicket (pitch) längre eller kortare än en ishockeyrink?;ICC (pitch 22 yd = 20,12 m) / NHL-rink 200 ft = 60,96 m;2024
Rymmer Indianapolis Motor Speedway fler eller färre åskådare än Camp Nou?;Wikipedia (Indianapolis Motor Speedway permanent 235 000 / Camp Nou 99 354);2024
Rymmer Rungrado-stadion i Pyongyang fler eller färre åskådare än Wembley?;Wikipedia (Rungrado 114 000 / Wembley 90 000);2024
Rymmer Michigan Stadium fler eller färre åskådare än Madison Square Garden?;Wikipedia (Michigan Stadium 107 601 / MSG basket 19 812);2024
Rymmer Daytona International Speedway fler eller färre åskådare än Allianz Arena?;Wikipedia (Daytona 101 500 / Allianz Arena 75 000);2024
Rymmer Camp Nou fler eller färre åskådare än Melbourne Cricket Ground?;Wikipedia (Camp Nou 99 354 / MCG 100 024);2024
Är NBA:s trepoängslinje längre eller kortare bort än ett cricketwicket (pitch)?;NBA (trepoäng 7,24 m) / ICC (pitch 22 yd = 20,12 m);2024
Är en frikastlinje i basket längre eller kortare bort än en straffpunkt i fotboll?;FIBA (frikast 4,6 m) / IFAB (straffpunkt 11 m);2024
Är en curlingbana längre eller kortare än en bowlingbana?;World Curling (45,72 m) / USBC (18,29 m);2024
Är en boulebana längre eller kortare än en ishockeyrink?;FIPJP (boulebana 15 m) / NHL-rink 200 ft = 60,96 m;2024
Är en squashbana längre eller kortare än en boulebana?;World Squash (9,75 m) / FIPJP (boulebana 15 m);2024
Är en curlingbana längre eller kortare än en ishockeyrink?;World Curling (45,72 m) / NHL-rink 200 ft = 60,96 m;2024
Är en simbassäng (olympisk) längre eller kortare än en NHL-rink?;World Aquatics (50 m) / NHL-rink 200 ft = 60,96 m;2024
Är topphastigheten för en F1-bil högre eller lägre än för en MotoGP-motorcykel?;FIA/Autosport (F1 toppfart ~372 km/h, Bottas Mexiko 2016) / MotoGP rekord 366,1 km/h (Binder 2023);2023
Är den snabbaste tennisserven snabbare eller långsammare än topphastigheten för en MotoGP-motorcykel?;Guinness (tennis Sam Groth 263 km/h, 2012) / MotoGP rekord 366,1 km/h (Binder 2023);2023
Är den snabbaste tennisserven snabbare eller långsammare än det snabbaste basebollkastet?;Guinness (tennis Sam Groth 263 km/h, 2012 / baseboll Chapman 169,1 km/h, 2010);2012
Är en olympisk höjdhoppsplattform (svikt) högre eller lägre än ett stavhoppsrekord?;World Aquatics (höjdhoppsplattform 10 m) / World Athletics (stavhopp Duplantis 6,31 m);2025
Är Eiffeltornet högre eller lägre än en olympisk höjdhoppsplattform?;Eiffeltornet officiellt 330 m / World Aquatics höjdhoppsplattform 10 m;2024
Är ett snookerbord längre eller kortare än ett poolbord (spelyta)?;WPBSA (snooker spelyta 3,57 m) / WPA (pool 9 ft spelyta 2,54 m);2024
Väger en damkula mer eller mindre än en herrkula?;World Athletics implement specs (kula damer 4 kg / herrar 7,26 kg);2024
Är världsrekordet i tresteg längre eller kortare än längden på en simbassäng?;World Athletics (tresteg Edwards 18,29 m, 1995) / World Aquatics (bassäng 50 m);1995
Är ett varv på en inomhusbana (200 m) längre eller kortare än ett varv utomhus (400 m)?;World Athletics (inomhus 200 m / utomhus 400 m);2024
Är en handbollsplan längre eller kortare än en fotbollsplan?;IHF (handbollsplan 40 m) / FIFA referensmått (105 m);2024
Är en handbollsplan längre eller kortare än en basketplan?;IHF (handbollsplan 40 m) / NBA (basketplan 28,65 m);2024
Är en badmintonbana längre eller kortare än en NHL-rink?;BWF (badmintonbana 13,4 m) / NHL-rink 200 ft = 60,96 m;2024
Är ett bordtennisbord längre eller kortare än en badmintonbana?;ITTF (bordtennisbord 2,74 m) / BWF (badmintonbana 13,4 m);2024
Väger en bordtennisboll mer eller mindre än en golfboll?;ITTF (bordtennisboll 2,7 g) / USGA (golfboll 45,93 g);2024
Väger en handboll (herrar) mer eller mindre än en fotboll?;IHF (handboll stl 3 ~450 g) / FIFA (fotboll stl 5 ~430 g);2024
Väger en basketboll (NBA) mer eller mindre än en bordtennisboll?;NBA (basketboll ~624 g) / ITTF (bordtennisboll 2,7 g);2024
Väger en bowlingklot (max) mer eller mindre än en basketboll?;USBC/PBA (bowlingklot max 16 lbs = 7260 g) / NBA (basketboll ~624 g);2024
Väger en boxningshandske (proffs) mer eller mindre än en fotboll?;Boxningsförbund (10 oz proffshandske ~284 g) / FIFA (fotboll stl 5 ~430 g);2024
Är diametern på en basketboll större eller mindre än diametern på en golfboll?;FIBA-NBA (basketboll diameter ~24,6 cm) / USGA (golfboll 42,67 mm = 4,27 cm);2024
Är ett dartavstånd (oche) längre eller kortare än en frikastlinje i basket?;PDC/WDF (oche 2,37 m) / FIBA (frikast 4,6 m);2024
Är ett fält i amerikansk fotboll längre eller kortare än en fotbollsplan?;NFL (spelfält 100 yd = 91,44 m) / FIFA referensmått (105 m);2024
Är ett maratonlopp längre eller kortare än ett 100-meterslopp?;World Athletics (maraton 42 195 m / 100 m);2024
Är en basketkorg högre eller lägre än ett fotbollsmåls överliggare?;FIBA-NBA (basketkorg 3,05 m) / IFAB (fotbollsmål höjd 2,44 m);2024
Var Giro d'Italia 2024 längre eller kortare än Tour de France 2024?;Wikipedia (Giro d'Italia 2024 3400,8 km / Tour de France 2024 3498 km);2024
Är ett halvmaraton längre eller kortare än ett 10 km-lopp?;World Athletics (halvmaraton 21,0975 km / 10 km);2024
Är ett halvmaraton längre eller kortare än ett helt maraton?;World Athletics (halvmaraton 21,0975 km / maraton 42,195 km);2024
Är ett 3000 meter hinder längre eller kortare än ett 1500-meterslopp?;World Athletics (3000 m hinder 3 km / 1500 m 1,5 km);2024
Är längden på en olympisk roddbana längre eller kortare än ett maraton?;World Rowing (roddbana 2000 m = 2 km) / World Athletics (maraton 42,195 km);2024
Tar en period i ishockey kortare eller längre tid än en hel fotbollsmatch?;NHL/IIHF (period 20 min) / IFAB (fotbollsmatch 90 min);2024
Spelas en basketmatch (NBA) under fler eller färre minuter än en ishockeymatch?;NBA (48 min) / NHL/IIHF (60 min);2024
Spelas en handbollsmatch under fler eller färre minuter än en fotbollsmatch?;IHF (60 min) / IFAB (90 min);2024
Spelas en fjärdedel (quarter) i NBA under fler eller färre minuter än en period i ishockey?;NBA (quarter 12 min) / NHL/IIHF (period 20 min);2024
Väger en ishockeypuck mer eller mindre än en golfboll?;IIHF/NHL (puck ~170 g) / USGA (golfboll 45,93 g);2024
Har ett baseboll-lag fler eller färre spelare på plan än ett amerikansk fotbollslag?;MLB (baseboll 9) / NFL (amerikansk fotboll 11);2024
Har ett vattenpololag fler eller färre spelare i vattnet än ett basketlag på planen?;World Aquatics (vattenpolo 7) / FIBA (basket 5);2024
Är avståndet från pitchern till home plate i baseboll längre eller kortare än en frikastlinje i basket?;MLB (60,5 ft = 18,44 m) / FIBA (frikast 4,6 m);2024
Har ett rugby league-lag fler eller färre spelare än ett rugby union-lag?;RLIF (rugby league 13) / World Rugby (rugby union 15);2024
Är diametern på en bordtennisboll mindre eller större än en fotboll?;ITTF (bordtennisboll 40 mm) / FIFA (fotboll diameter ~220 mm);2024
Är diametern på en tennisboll större eller mindre än en bordtennisboll?;ITF (tennisboll ~67 mm) / ITTF (bordtennisboll 40 mm);2024
Är diametern på ett golfhål större eller mindre än en tennisbolls diameter?;USGA/R&A (golfhål 108 mm) / ITF (tennisboll ~67 mm);2024
Avgörs en tiebreak i tennis vid fler eller färre poäng än ett game (vanligt)?;ITF (tiebreak till 7 poäng / game vinns vid 4 poäng);2024
Är ett snookerbord längre eller kortare än ett bordtennisbord?;WPBSA (snooker spelyta 3,57 m) / ITTF (bordtennisbord 2,74 m);2024
Hoppar en längdhoppare ett världsrekord längre eller kortare än bredden på en fotbollsplan?;World Athletics (längdhopp Powell 8,95 m, 1991) / FIFA referensmått (bredd 68 m);1991
