fråga;källa;år
Är Tokyo Skytree högre eller lägre än CN-tornet?;https://en.wikipedia.org/wiki/Tokyo_Skytree ; https://en.wikipedia.org/wiki/CN_Tower;2026
Är Tokyo Skytree högre eller lägre än Brandenburger Tor?;https://en.wikipedia.org/wiki/Tokyo_Skytree ; https://en.wikipedia.org/wiki/Brandenburg_Gate;2026
Är Notre-Dame högre eller lägre än Sagrada Familia?;https://en.wikipedia.org/wiki/Notre-Dame_de_Paris ; https://en.wikipedia.org/wiki/Sagrada_Fam%C3%ADlia;2026
Är Brandenburger Tor högre eller lägre än Tower Bridge?;https://en.wikipedia.org/wiki/Brandenburg_Gate ; https://en.wikipedia.org/wiki/Tower_Bridge;2026
Är Sydney Operahus högre eller lägre än London Eye?;https://en.wikipedia.org/wiki/Sydney_Opera_House ; https://en.wikipedia.org/wiki/London_Eye;2026
Är Sfinxen högre eller lägre än Stonehenge?;https://en.wikipedia.org/wiki/Great_Sphinx_of_Giza ; https://en.wikipedia.org/wiki/Stonehenge;2026
Är Parthenon på Akropolis högre eller lägre än Tokyo Skytree?;https://en.wikipedia.org/wiki/Parthenon ; https://en.wikipedia.org/wiki/Tokyo_Skytree;2026
Är Öresundsbron längre eller kortare än Brooklyn Bridge?;https://www.oresundsbron.com/en/about-oresundsbron/about-us/facts-about-oresundsbron ; https://en.wikipedia.org/wiki/Brooklyn_Bridge;2026
Är Tower Bridge längre eller kortare än Brooklyn Bridge?;https://en.wikipedia.org/wiki/Tower_Bridge ; https://en.wikipedia.org/wiki/Brooklyn_Bridge;2026
Är Stonehenge äldre eller yngre än Storkyrkan?;https://en.wikipedia.org/wiki/Stonehenge ; https://sv.wikipedia.org/wiki/Storkyrkan;2026
Är Petra äldre eller yngre än Angkor Wat?;https://en.wikipedia.org/wiki/Petra ; https://en.wikipedia.org/wiki/Angkor_Wat;2026
Är Machu Picchu äldre eller yngre än Parthenon på Akropolis?;https://en.wikipedia.org/wiki/Machu_Picchu ; https://en.wikipedia.org/wiki/Parthenon;2026
Är Notre-Dame äldre eller yngre än Uppsala domkyrka?;https://en.wikipedia.org/wiki/Notre-Dame_de_Paris ; https://sv.wikipedia.org/wiki/Uppsala_domkyrka;2026
Är Sydney Operahus äldre eller yngre än Brandenburger Tor?;https://en.wikipedia.org/wiki/Sydney_Opera_House ; https://en.wikipedia.org/wiki/Brandenburg_Gate;2026
Är Storkyrkan äldre eller yngre än Sydney Operahus?;https://sv.wikipedia.org/wiki/Storkyrkan ; https://en.wikipedia.org/wiki/Sydney_Opera_House;2026
Är Moai-statyerna på Påskön äldre eller yngre än Sydney Operahus?;https://en.wikipedia.org/wiki/Moai ; https://en.wikipedia.org/wiki/Sydney_Opera_House;2026
Är Angkor Wat äldre eller yngre än Stonehenge?;https://en.wikipedia.org/wiki/Angkor_Wat ; https://en.wikipedia.org/wiki/Stonehenge;2026
Är Petra äldre eller yngre än Tower Bridge?;https://en.wikipedia.org/wiki/Petra ; https://en.wikipedia.org/wiki/Tower_Bridge;2026
Är CN-tornet högre eller lägre än Brandenburger Tor?;https://en.wikipedia.org/wiki/CN_Tower ; https://en.wikipedia.org/wiki/Brandenburg_Gate;2026
Är Kebnekaise högre eller lägre än CN-tornet?;https://sv.wikipedia.org/wiki/Kebnekaise ; https://en.wikipedia.org/wiki/CN_Tower;2026
Är Brooklyn Bridge högre eller lägre än Hoover-dammen?;https://en.wikipedia.org/wiki/Brooklyn_Bridge ; https://en.wikipedia.org/wiki/Hoover_Dam;2026
