fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har en Hyundai Ioniq 6 Long Range högre eller lägre toppfart än en Tesla Model 3 Long Range?;Hyundai Ioniq 6 Long Range;Tesla Model 3 Long Range;185;201;km/h;Hur många km/h skiljer toppfarten?
Har en Polestar 2 Long Range Single Motor högre eller lägre toppfart än en BMW i4 eDrive40?;Polestar 2 Long Range Single Motor;BMW i4 eDrive40;205;190;km/h;Hur många km/h skiljer toppfarten?
Har en Kia EV6 Long Range högre eller lägre toppfart än en Skoda Enyaq 85?;Kia EV6 Long Range;Skoda Enyaq 85;185;180;km/h;Hur många km/h skiljer toppfarten?
Har en Volvo EX30 Single Motor högre eller lägre toppfart än en Cupra Born?;Volvo EX30 Single Motor;Cupra Born;180;160;km/h;Hur många km/h skiljer toppfarten?
Har en Renault Mégane E-Tech högre eller lägre toppfart än en Peugeot e-208?;Renault Mégane E-Tech;Peugeot e-208;160;150;km/h;Hur många km/h skiljer toppfarten?
Har en Nissan Leaf högre eller lägre toppfart än en Dacia Spring?;Nissan Leaf;Dacia Spring;144;125;km/h;Hur många km/h skiljer toppfarten?
Har en Tesla Model Y Performance högre eller lägre toppfart än en Hyundai Kona Electric?;Tesla Model Y Performance;Hyundai Kona Electric;250;167;km/h;Hur många km/h skiljer toppfarten?
Har en Porsche Taycan Turbo S högre eller lägre toppfart än en BYD Atto 3?;Porsche Taycan Turbo S;BYD Atto 3;260;160;km/h;Hur många km/h skiljer toppfarten?
Har en Audi Q4 e-tron högre eller lägre toppfart än en Audi RS e-tron GT?;Audi Q4 e-tron;Audi RS e-tron GT;180;250;km/h;Hur många km/h skiljer toppfarten?
Har en Mercedes-Benz EQE 350 högre eller lägre toppfart än en Lucid Air Grand Touring?;Mercedes-Benz EQE 350;Lucid Air Grand Touring;210;270;km/h;Hur många km/h skiljer toppfarten?
Har en BMW iX xDrive50 högre eller lägre toppfart än en Maserati GranTurismo Folgore?;BMW iX xDrive50;Maserati GranTurismo Folgore;200;320;km/h;Hur många km/h skiljer toppfarten?
Har en Genesis GV60 Performance högre eller lägre toppfart än en Fiat 500e?;Genesis GV60 Performance;Fiat 500e;235;150;km/h;Hur många km/h skiljer toppfarten?
Har en Ford Mustang Mach-E GT högre eller lägre toppfart än en Hyundai Ioniq 5 N?;Ford Mustang Mach-E GT;Hyundai Ioniq 5 N;200;260;km/h;Hur många km/h skiljer toppfarten?
Har en Kia EV9 GT-Line högre eller lägre toppfart än en Mini Cooper SE?;Kia EV9 GT-Line;Mini Cooper SE;200;150;km/h;Hur många km/h skiljer toppfarten?
Har en Cadillac Lyriq AWD högre eller lägre toppfart än en Lotus Eletre R?;Cadillac Lyriq AWD;Lotus Eletre R;210;265;km/h;Hur många km/h skiljer toppfarten?
Har en Subaru Solterra högre eller lägre toppfart än en Mercedes-AMG EQE 53?;Subaru Solterra;Mercedes-AMG EQE 53;160;220;km/h;Hur många km/h skiljer toppfarten?
Har en BMW i5 M60 högre eller lägre toppfart än en Volvo C40?;BMW i5 M60;Volvo C40;230;180;km/h;Hur många km/h skiljer toppfarten?
Har en Mercedes-AMG EQS 53 högre eller lägre toppfart än en Volkswagen ID.4 Pro?;Mercedes-AMG EQS 53;Volkswagen ID.4 Pro;250;160;km/h;Hur många km/h skiljer toppfarten?
Har en Fiat 500e högre eller lägre toppfart än en Rimac Nevera?;Fiat 500e;Rimac Nevera;150;412;km/h;Hur många km/h skiljer toppfarten?
Har en Dacia Spring högre eller lägre toppfart än en Maserati GranTurismo Folgore?;Dacia Spring;Maserati GranTurismo Folgore;125;320;km/h;Hur många km/h skiljer toppfarten?
Har en Citroën ë-C3 högre eller lägre toppfart än en Rimac Nevera?;Citroën ë-C3;Rimac Nevera;135;412;km/h;Hur många km/h skiljer toppfarten?
Har en Hyundai Inster högre eller lägre toppfart än en Pininfarina Battista?;Hyundai Inster;Pininfarina Battista;140;350;km/h;Hur många km/h skiljer toppfarten?
Har en Mazda MX-30 högre eller lägre toppfart än en Pininfarina Battista?;Mazda MX-30;Pininfarina Battista;140;350;km/h;Hur många km/h skiljer toppfarten?
Har en Toyota bZ4X högre eller lägre toppfart än en Rimac Nevera?;Toyota bZ4X;Rimac Nevera;160;412;km/h;Hur många km/h skiljer toppfarten?
