fråga;källa;år
Väger ett rådjur mer eller mindre än en älg?;https://www.wwf.se/djur/arter/radjur/;2026
Väger en brunbjörn mer eller mindre än en grävling?;https://www.wwf.se/djur/arter/brunbjorn/;2026
Väger en hare mer eller mindre än ett vildsvin?;https://jagareforbundet.se/viltarter/daggdjur-hela-listan/falthare/;2026
Väger en bäver mer eller mindre än en ekorre?;https://www.nrm.se/fakta-om-naturen/djur/daggdjur/gnagare/baver;2026
Väger en gök mer eller mindre än en tjäder?;https://jagareforbundet.se/vilt/vilt-vetande2/artpresentation/faglar/tjader/;2026
Väger en abborre mer eller mindre än en lax?;https://www.havochvatten.se/arter-och-livsmiljoer/arter-och-naturtyper/abborre.html;2026
Blir en ek i regel äldre eller yngre än en rönn?;https://www.skogssallskapet.se/kunskapsbank/artiklar/2008-05-13-aldsta-tradet-pa-jorden.html;2026
Är en fullvuxen gran högre eller lägre än en en?;https://www.skogskunskap.se/lar-dig-rakna/skogliga-tradslag/;2026
Väger ett lodjur mer eller mindre än en räv?;https://www.wwf.se/djur/arter/lodjur/;2026
Väger en gråsäl mer eller mindre än en knubbsäl?;https://www.wwf.se/djur/arter/salar/;2026
Väger en räv mer eller mindre än en varg?;http://www.vargfakta.se/fakta-om-vargen/;2026
Blir en korp i regel äldre eller yngre än en talgoxe?;https://sv.wikipedia.org/wiki/Korp;2026
Lever en abborre längre eller kortare än en gädda?;https://www.havochvatten.se/arter-och-livsmiljoer/arter-och-naturtyper/gadda.html;2026
Blir en bäver i regel äldre eller yngre än en ekorre?;https://www.nrm.se/fakta-om-naturen/djur/daggdjur/gnagare/baver;2026
Är en knölsvans vingspann större eller mindre än en skatas?;https://sv.wikipedia.org/wiki/Kn%C3%B6lsvan;2026
Väger en havsörn mer eller mindre än en korp?;https://www.nrm.se/fakta-om-naturen/djur/faglar/havsorn;2026
Är en abborre längre eller kortare än en gädda?;https://www.havochvatten.se/arter-och-livsmiljoer/arter-och-naturtyper/gadda.html;2026
Blir en tall i regel äldre eller yngre än en sälg?;https://www.skogssallskapet.se/kunskapsbank/artiklar/2008-05-13-aldsta-tradet-pa-jorden.html;2026
Springer en ekorre fortare eller långsammare än en hare?;https://wildbruecke.de/sv/feldhase-geschwindigkeit/;2026
Är en fullvuxen ek högre eller lägre än en rönn?;https://www.skogskunskap.se/lar-dig-rakna/skogliga-tradslag/;2026
Lever en skata längre eller kortare än en korp i det vilda?;https://sv.wikipedia.org/wiki/Korp;2026
Är en korps vingspann större eller mindre än en havsörns?;https://www.nrm.se/fakta-om-naturen/djur/faglar/havsorn;2026
Är ett vildsvin högre eller lägre än ett rådjur i mankhöjd?;https://www.wwf.se/djur/arter/radjur/;2026
Väger en järv mer eller mindre än ett lodjur?;https://www.wwf.se/djur/arter/jarv/;2026
Väger en räv mer eller mindre än en grävling?;https://jaktlivet.se/viltarter/gravling/;2026
Är en gös längre eller kortare än en gädda?;https://sv.wikipedia.org/wiki/G%C3%A4dda;2026
