fråga;källa;år
Har superbilen Koenigsegg Jesko högre eller lägre toppfart än en Saab 9-3 Aero?;Koenigsegg Jesko toppfartsrekord 412 km/h (Robb Report, thesupercarblog.com), Saab 9-3 Aero spärrad toppfart ~250 km/h;2024
Har en Volvo-lastbil högre eller lägre toppfart än elbilen Polestar 2?;Volvo Trucks FH spärrad toppfart ~90 km/h, Polestar 2 toppfart 205 km/h (evspecifications.com);2024
Grundades Cloetta tidigare eller senare än Marabou?;Cloetta grundat 1862 (cloetta.com), Marabou grundat 1916 (Wikipedia);2024
Grundades Findus tidigare eller senare än Felix?;Findus grundat 1941 (Wikipedia), Felix grundat 1939 (Företagskällan);2024
Väger lyxsängen Hästens Vividus mer eller mindre än en Marabou chokladkaka?;Hästens Vividus ~250 kg naturmaterial (pressmaterial), Marabou Mjölkchoklad 200 g = 0,2 kg;2024
Väger en Volvo-lastbil mer eller mindre än en Polestar 2?;Volvo Trucks FH tjänstevikt ~9000 kg, Polestar 2 tjänstevikt ~2000 kg (polestar.com/evspecifications.com);2024
Väger en tub Kalles kaviar mer eller mindre än ett paket Bregott?;Abba Kalles kaviar tub 190 g (kalles.se), Arla Bregott 600 g;2024
Väger en gruvtruck från Epiroc mer eller mindre än superbilen Koenigsegg Jesko?;Epiroc Minetruck MT42 totalvikt ~65 ton, Koenigsegg Jesko tjänstevikt ~1420 kg;2024
Är en Saab 9-3 längre eller kortare än en Stena Line-färja?;Saab 9-3 längd ~4,5 m, Stena Line E-Flexer ~240 m;2024
Är ett vanligt bildäck större eller mindre i diameter än ett traktordäck från Trelleborg?;Vanligt personbilsdäck diameter ~0,63 m, Trelleborg TM-serien traktordäck ~2,05 m;2024
