fråga;källa;år
Har vit choklad fler eller färre kalorier än mjölkchoklad?;USDA FoodData Central;2024
Har gurka fler eller färre kalorier än cashewnötter?;USDA FoodData Central;2024
Har selleri fler eller färre kalorier än en avokado?;USDA FoodData Central;2024
Har cheddar fler eller färre kalorier än gouda?;Livsmedelsverket / USDA FoodData Central;2024
Har ett äpple fler eller färre kalorier än en avokado?;USDA FoodData Central;2024
Innehåller Coca-Cola mer eller mindre socker än apelsinjuice?;Coca-Cola Company / Livsmedelsverket;2024
Har en banan fler eller färre kalorier än ett äpple?;USDA FoodData Central;2024
Innehåller kycklingbröst mer eller mindre protein än lax?;USDA FoodData Central;2024
Har vitt bröd fler eller färre kalorier än kokt ris?;USDA FoodData Central;2024
Producerades det mer eller mindre kaffe än te i världen 2023?;ICO / Tea & Coffee Trade Journal (Global Tea Report);2023
Producerades det fler eller färre ton bananer än äpplen i världen 2023?;FAOSTAT;2023
Har mörk choklad fler eller färre kalorier än vitt bröd?;USDA FoodData Central;2024
Innehåller tofu mer eller mindre protein än linser?;USDA FoodData Central;2024
Producerades det fler eller färre ton olivolja än honung i världen 2023?;International Olive Council / FAO;2023
Har popcorn fler eller färre kalorier än valnötter?;USDA FoodData Central;2024
Innehåller standardmjölk mer eller mindre socker än Coca-Cola?;Coca-Cola Company / Livsmedelsverket;2024
Innehåller ett ägg mer eller mindre protein än cheddar?;USDA FoodData Central;2024
Har en avokado fler eller färre kalorier än en banan?;USDA FoodData Central / Harvard Nutrition Source;2024
Producerades det fler eller färre ton bananer än potatis i världen 2023?;FAOSTAT;2023
Innehåller Coca-Cola mer eller mindre koffein än filterkaffe?;Coca-Cola Company / Novum Coffee;2024
Har en avokado fler eller färre kalorier än olivolja?;USDA FoodData Central;2024
Producerades det fler eller färre liter vin än öl i världen 2023?;OIV / BarthHaas Report;2023
Producerades det fler eller färre ton vete än potatis i världen 2023?;FAOSTAT;2023
Har olivolja fler eller färre kalorier än smör?;USDA FoodData Central;2024
Innehåller en apelsin mer eller mindre kalium än en banan?;USDA FoodData Central;2024
Har lättmjölk fler eller färre kalorier än vispgrädde?;USDA FoodData Central;2024
Innehåller en kopp svart te mer eller mindre koffein än en espresso?;USDA FoodData Central / Wikipedia (Espresso);2024
Väger en Big Mac mer eller mindre än en standardpizza Margherita?;McDonald's näringsinfo / branschuppgifter;2024
Väger ett hönsägg mer eller mindre än ett strutsägg?;USDA FoodData Central / branschuppgifter;2024
Har mandel fler eller färre kalorier än jordnötter?;USDA FoodData Central;2024
Har cashewnötter fler eller färre kalorier än pistagenötter?;USDA FoodData Central;2024
Har olivolja fler eller färre kalorier än kokosolja?;USDA FoodData Central;2024
Har kokt vitt ris fler eller färre kalorier än kokt fullkornsris?;USDA FoodData Central;2024
Innehåller gurka mer eller mindre vatten än vattenmelon?;USDA FoodData Central;2024
Innehåller en citron mer eller mindre C-vitamin än apelsinjuice?;USDA FoodData Central;2024
Innehåller Coca-Cola mer eller mindre socker än Red Bull?;Coca-Cola Company / Red Bull GmbH;2024
Innehåller en banan mer eller mindre kalium än en potatis?;USDA FoodData Central;2024
Har en morot fler eller färre kalorier än broccoli?;USDA FoodData Central;2024
Har feta fler eller färre kalorier än mozzarella?;USDA FoodData Central;2024
Innehåller en mango mer eller mindre socker än ananas?;USDA FoodData Central;2024
Innehåller ett äpple mer eller mindre fiber än ett päron?;USDA FoodData Central;2024
Innehåller honung mer eller mindre socker än lönnsirap?;USDA FoodData Central;2024
Innehåller helmjölk mer eller mindre fett än grekisk yoghurt?;USDA FoodData Central;2024
Har lönnsirap fler eller färre kalorier än strösocker?;USDA FoodData Central;2024
Har cheddar fler eller färre kalorier än feta?;USDA FoodData Central;2024
Har druvor fler eller färre kalorier än en apelsin?;USDA FoodData Central;2024
Innehåller jordgubbar mer eller mindre C-vitamin än kiwi?;USDA FoodData Central;2024
Har nötfärs fler eller färre kalorier än kycklingbröst?;USDA FoodData Central;2024
Har pommes frites fler eller färre kalorier än potatischips?;USDA FoodData Central;2024
Har blåbär fler eller färre kalorier än jordgubbar?;USDA FoodData Central;2024
Har kokt pasta fler eller färre kalorier än kokt potatis?;USDA FoodData Central;2024
Innehåller mörk choklad mer eller mindre socker än mjölkchoklad?;USDA FoodData Central / myfooddata;2024
Innehåller kokta linser mer eller mindre protein än kokta kikärter?;USDA FoodData Central;2024
Har bacon fler eller färre kalorier än nötfärs?;USDA FoodData Central;2024
Har en croissant fler eller färre kalorier än en bagel?;USDA FoodData Central;2024
Har en tomat fler eller färre kalorier än röd paprika?;USDA FoodData Central;2024
