fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är Pink Floyds album The Dark Side of the Moon längre eller kortare än Michael Jacksons Thriller?;The Dark Side of the Moon;Thriller;2569;2536;sekunder;Hur många sekunder skiljer det?
Vann Prince fler eller färre Grammy-priser än Michael Jackson?;Prince;Michael Jackson;7;13;Grammy-priser;Hur många Grammy-priser skiljer det?
Tar hela Wagners Nibelungens ring längre eller kortare tid att framföra än Puccinis Tosca?;Nibelungens ring;Tosca;900;115;minuter;Hur många minuter skiljer det?
Blev Aretha Franklin äldre eller yngre än Tina Turner?;Aretha Franklin;Tina Turner;76;83;år;Hur många år skiljer det?
Har Mariah Carey haft fler eller färre listettor i USA än Madonna? (t.o.m. 2024);Mariah Carey;Madonna;19;12;listettor;Hur många listettor skiljer det?
Är röret i ett valthorn längre eller kortare än röret i en bastuba?;Valthorn;Bastuba;3,7;5,5;meter;Hur många meter skiljer det?
Fick Måns Zelmerlöws Heroes fler eller färre poäng i Eurovision 2015 än Charlotte Nilssons Take Me to Your Heaven fick 1999?;Heroes (Måns Zelmerlöw 2015);Take Me to Your Heaven (Charlotte Nilsson 1999);365;163;poäng;Hur många poäng skiljer det?
Finns det fler eller färre bevarade kyrkokantater av Bach än sånger av Schubert?;Bachs kyrkokantater;Schuberts sånger;200;600;verk;Hur många verk skiljer det?
Tävlade fler eller färre bidrag i Melodifestivalen 2024 än i Eurovisionfinalen 2024?;Melodifestivalen 2024;Eurovisionfinalen 2024;30;25;bidrag;Hur många bidrag skiljer det?
Har en mandolin fler eller färre strängar än en fiol?;Mandolin;Fiol;8;4;strängar;Hur många strängar skiljer det?
Är Led Zeppelins Stairway to Heaven längre eller kortare än Eagles Hotel California?;Stairway to Heaven;Hotel California;482;390;sekunder;Hur många sekunder skiljer det?
Skrev Beethoven fler eller färre stråkkvartetter än pianosonater?;Beethovens stråkkvartetter;Beethovens pianosonater;16;32;verk;Hur många verk skiljer det?
Är en piccolaflöjt längre eller kortare än en tvärflöjt?;Piccolaflöjt;Tvärflöjt;32;67;centimeter;Hur många centimeter skiljer det?
Har Adele vunnit fler eller färre Grammy-priser än Beyoncé? (t.o.m. 2024);Adele;Beyoncé;16;32;Grammy-priser;Hur många Grammy-priser skiljer det?
Är Don McLeans American Pie längre eller kortare än Van Morrisons Brown Eyed Girl?;American Pie;Brown Eyed Girl;516;185;sekunder;Hur många sekunder skiljer det?
Har Iron Maiden gett ut fler eller färre studioalbum än Metallica? (t.o.m. 2024);Iron Maiden;Metallica;17;11;studioalbum;Hur många studioalbum skiljer det?
Fick Storbritanniens bidrag Embers fler eller färre poäng i Eurovision 2021 än vinnaren Måneskins Zitti e buoni?;Embers (Storbritannien 2021);Zitti e buoni (Måneskin 2021);0;524;poäng;Hur många poäng skiljer det?
Är Wagners opera Rhenguldet längre eller kortare än hans Ragnarök (Götterdämmerung)?;Rhenguldet;Ragnarök (Götterdämmerung);150;270;minuter;Hur många minuter skiljer det?
Har Led Zeppelin gett ut fler eller färre studioalbum än Pink Floyd?;Led Zeppelin;Pink Floyd;9;15;studioalbum;Hur många studioalbum skiljer det?
Är röret i en trumpet längre eller kortare än röret i en bastuba?;Trumpet;Bastuba;1,48;5,5;meter;Hur många meter skiljer det?
Vann Aretha Franklin fler eller färre Grammy-priser än Whitney Houston?;Aretha Franklin;Whitney Houston;18;6;Grammy-priser;Hur många Grammy-priser skiljer det?
Har Schuberts Ofullbordade symfoni fler eller färre satser än Vivaldis De fyra årstiderna?;Ofullbordade symfonin;De fyra årstiderna;2;12;satser;Hur många satser skiljer det?
Väger ett fullstort pianodragspel mer eller mindre än en fiol?;Pianodragspel;Fiol;12;0,4;kilo;Hur många kilo skiljer det?
Är Chuck Berrys Johnny B. Goode längre eller kortare än Led Zeppelins Stairway to Heaven?;Johnny B. Goode;Stairway to Heaven;160;482;sekunder;Hur många sekunder skiljer det?
