fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Väger ett rådjur mer eller mindre än en älg?;Rådjur;Älg;25;500;kilo;Hur många kilo skiljer det?
Väger en brunbjörn mer eller mindre än en grävling?;Brunbjörn;Grävling;250;12;kilo;Hur många kilo skiljer det?
Väger en hare mer eller mindre än ett vildsvin?;Hare;Vildsvin;4;90;kilo;Hur många kilo skiljer det?
Väger en bäver mer eller mindre än en ekorre?;Bäver;Ekorre;25;0,35;kilo;Hur många kilo skiljer det?
Väger en gök mer eller mindre än en tjäder?;Gök;Tjäder;0,1;4;kilo;Hur många kilo skiljer det?
Väger en abborre mer eller mindre än en lax?;Abborre;Lax;1;15;kilo;Hur många kilo skiljer det?
Blir en ek i regel äldre eller yngre än en rönn?;Ek;Rönn;1000;80;år;Hur många år skiljer det?
Är en fullvuxen gran högre eller lägre än en en?;Gran;En;40;8;meter;Hur många meter skiljer det?
Väger ett lodjur mer eller mindre än en räv?;Lodjur;Räv;20;7;kilo;Hur många kilo skiljer det?
Väger en gråsäl mer eller mindre än en knubbsäl?;Gråsäl;Knubbsäl;300;100;kilo;Hur många kilo skiljer det?
Väger en räv mer eller mindre än en varg?;Räv;Varg;7;45;kilo;Hur många kilo skiljer det?
Blir en korp i regel äldre eller yngre än en talgoxe?;Korp;Talgoxe;20;4;år;Hur många år skiljer det?
Lever en abborre längre eller kortare än en gädda?;Abborre;Gädda;8;25;år;Hur många år skiljer det?
Blir en bäver i regel äldre eller yngre än en ekorre?;Bäver;Ekorre;20;5;år;Hur många år skiljer det?
Är en knölsvans vingspann större eller mindre än en skatas?;Knölsvan;Skata;240;56;centimeter;Hur många centimeter skiljer det?
Väger en havsörn mer eller mindre än en korp?;Havsörn;Korp;5;1,2;kilo;Hur många kilo skiljer det?
Är en abborre längre eller kortare än en gädda?;Abborre;Gädda;45;120;centimeter;Hur många centimeter skiljer det?
Blir en tall i regel äldre eller yngre än en sälg?;Tall;Sälg;500;100;år;Hur många år skiljer det?
Springer en ekorre fortare eller långsammare än en hare?;Ekorre;Hare;20;70;km/h;Hur många km/h skiljer det?
Är en fullvuxen ek högre eller lägre än en rönn?;Ek;Rönn;30;10;meter;Hur många meter skiljer det?
Lever en skata längre eller kortare än en korp i det vilda?;Skata;Korp;5;20;år;Hur många år skiljer det?
Är en korps vingspann större eller mindre än en havsörns?;Korp;Havsörn;130;240;centimeter;Hur många centimeter skiljer det?
Är ett vildsvin högre eller lägre än ett rådjur i mankhöjd?;Vildsvin;Rådjur;100;75;centimeter;Hur många centimeter skiljer det?
Väger en järv mer eller mindre än ett lodjur?;Järv;Lodjur;14;20;kilo;Hur många kilo skiljer det?
Väger en räv mer eller mindre än en grävling?;Räv;Grävling;7;12;kilo;Hur många kilo skiljer det?
Är en gös längre eller kortare än en gädda?;Gös;Gädda;70;120;centimeter;Hur många centimeter skiljer det?
