fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är en giraff högre eller lägre än en elefant?;Giraff;Afrikansk elefant;5,5;3,3;meter;Hur många meter skiljer det?
Väger en kejsarpingvin mer eller mindre än en struts?;Kejsarpingvin;Struts;35;130;kilo;Hur många kilo skiljer det?
Springer en greyhound fortare eller långsammare än en gepard?;Greyhound;Gepard;69;110;km/h;Hur många km/h skiljer det?
Väger en tiger mer eller mindre än ett lejon?;Tiger;Lejon;250;200;kilo;Hur många kilo skiljer det?
Väger en blåval mer eller mindre än en afrikansk elefant?;Blåval;Afrikansk elefant;150000;6000;kilo;Hur många kilo skiljer det?
Lever en hund längre eller kortare än en huskatt?;Hund;Huskatt;13;16;år;Hur många år skiljer det?
Väger en gorilla mer eller mindre än en schimpans?;Gorilla;Schimpans;160;50;kilo;Hur många kilo skiljer det?
Väger en ren mer eller mindre än en älg?;Ren;Älg;150;500;kilo;Hur många kilo skiljer det?
Springer en struts fortare eller långsammare än en emu?;Struts;Emu;70;50;km/h;Hur många km/h skiljer det?
Väger en noshörning mer eller mindre än en afrikansk elefant?;Noshörning;Afrikansk elefant;2300;6000;kilo;Hur många kilo skiljer det?
Väger en brunbjörn mer eller mindre än en varg?;Brunbjörn;Varg;200;45;kilo;Hur många kilo skiljer det?
Är dräktighetstiden för en människa längre eller kortare än för en hund?;Människa;Hund;266;63;dygn;Hur många dygn skiljer det?
Springer en kanin fortare eller långsammare än en hare?;Kanin;Hare;48;70;km/h;Hur många km/h skiljer det?
Lever en elefant längre eller kortare än en häst?;Afrikansk elefant;Häst;70;30;år;Hur många år skiljer det?
Är en kejsarpingvin högre eller lägre än en kungspingvin?;Kejsarpingvin;Kungspingvin;115;95;centimeter;Hur många centimeter skiljer det?
Är dräktighetstiden för en häst längre eller kortare än för en giraff?;Häst;Giraff;335;450;dygn;Hur många dygn skiljer det?
Väger ett strutsägg mer eller mindre än ett hönsägg?;Strutsägg;Hönsägg;1400;60;gram;Hur många gram skiljer det?
Är en vithaj längre eller kortare än en valhaj?;Vithaj;Valhaj;6;18;meter;Hur många meter skiljer det?
Väger en kolibri mer eller mindre än en gråsparv?;Kolibri;Gråsparv;4;30;gram;Hur många gram skiljer det?
Väger en knölsvan mer eller mindre än en kanadagås?;Knölsvan;Kanadagås;11;5;kilo;Hur många kilo skiljer det?
Väger en späckhuggare mer eller mindre än en vithaj?;Späckhuggare;Vithaj;5000;700;kilo;Hur många kilo skiljer det?
Lever en varg längre eller kortare än en rödräv i det vilda?;Varg;Rödräv;8;4;år;Hur många år skiljer det?
Springer en sengångare fortare eller långsammare än en människa?;Sengångare;Människa;0,24;37;km/h;Hur många km/h skiljer det?
Springer en känguru fortare eller långsammare än en emu?;Känguru;Emu;71;50;km/h;Hur många km/h skiljer det?
Störtdyker en pilgrimsfalk fortare eller långsammare än en gepard springer?;Pilgrimsfalk;Gepard;350;110;km/h;Hur många km/h skiljer det?
Väger en babian mer eller mindre än en orangutang?;Babian;Orangutang;30;100;kilo;Hur många kilo skiljer det?
Är en älg högre eller lägre än en kronhjort i mankhöjd?;Älg;Kronhjort;2,1;1,2;meter;Hur många meter skiljer det?
Är en gorilla högre eller lägre än en isbjörn stående?;Gorilla;Isbjörn;1,75;2,4;meter;Hur många meter skiljer det?
