fråga;källa;år
Har en kattuggla större eller mindre vingspann än en berguv?;Wikipedia (Kattuggla 81-96 cm) + skof.se/nrm.se (Berguv 140-170 cm);2025
Är en trana högre eller lägre än en grågås?;Wikipedia/naturforskaren (Trana ~115-130 cm) + Wikipedia (Grågås 74-84 cm);2025
Väger en igelkott mer eller mindre än en mullvad?;Nordens Ark/WWF (Igelkott 0,5-1,5 kg) + faktakällor (Mullvad 72-128 g);2025
Väger en näbbmus mer eller mindre än en igelkott?;Wikipedia (vanlig näbbmus ~8-15 g) + Nordens Ark (Igelkott ~1 kg);2025
Väger en ejder mer eller mindre än en sångsvan?;NRM/Wikipedia (Ejder ~2-2,3 kg) + Wikipedia (Sångsvan upp till ~15 kg, typ 9-11);2025
Har en fiskmås större eller mindre vingspann än en storskarv?;Wikipedia (Fiskmås 100-120 cm) + Wikipedia (Storskarv 130-160 cm);2025
Flyger en pilgrimsfalk fortare eller långsammare än en tornfalk under en dykning?;Wikipedia/Lunds universitet (Pilgrimsfalk dyk 320-390 km/h) + tornfalk normal flykt ~50-60 km/h;2025
Väger en koltrast mer eller mindre än en domherre?;Wikipedia (Koltrast ~80-125 g) + Fågelkartan (Domherre 21-27 g);2025
Väger en blåmes mer eller mindre än en nötväcka?;Wikipedia (Blåmes 9-12 g) + Wikipedia (Nötväcka 17-28 g);2025
Väger en mård mer eller mindre än en hermelin?;djursajten.se (Skogsmård ~0,9-2,2 kg) + Skadedjursbutiken (Hermelin 75-445 g, typ ~250);2025
Är en utter längre eller kortare än en mink?;WWF (Utter 90-120 cm inkl svans) + Jägarskolan (Mink kropp 30-45 + svans 10-20 cm);2025
Väger en fjällräv mer eller mindre än en ren?;WWF/NRM (Fjällräv 2,5-5 kg) + Vildriket (Tamren hona 60-100 kg);2025
Väger en fälthare mer eller mindre än en mufflon?;Wikipedia (Fälthare 3-5 kg snitt 3,8) + Wikipedia (Mufflon bagge ~50 kg);2025
Är en harr längre eller kortare än en lake?;Havochvatten/Fiskbasen (Harr 40-50 cm) + sodralappland.nu (Lake typ 40-60 cm);2025
Är en mört längre eller kortare än en sik?;Havochvatten/Wikipedia (Mört 20-25 cm typ) + fiskar.se (Sik 40-60 cm);2025
Är en braxen längre eller kortare än en id?;Wikipedia (Braxen 40-60 cm) + fishbase/fiskar.se (Id typ ~35-45 cm);2025
Är en asp längre eller kortare än en sutare?;Wikipedia/Sportfiskarna (Asp i Sverige 60-75 cm) + Wikipedia (Sutare 30-70 cm);2025
Blir en röding i regel äldre eller yngre än en öring?;Fiskbasen (Fjällröding ~25 år) + Fiskbasen (Bäcköring ~19 år);2025
Blir en ål i regel äldre eller yngre än en nors?;Wikipedia/WWF (Ål når lätt 20-25 år, ofta mer) + FishBase (Nors max ~10 år, ofta 3-6);2025
Är en sill längre eller kortare än en torsk?;Wikipedia (Sill västkust 25-30 cm) + Fiskbasen (Torsk upp till ~100 cm+);2025
Är en makrill längre eller kortare än en torsk?;Wikipedia (Makrill snitt ~30-40 cm) + Fiskbasen (Torsk upp till ~100 cm+);2025
Är en fullvuxen bok högre eller lägre än en hassel?;Wikipedia (Bok upp till 30-45 m) + Skogskunskap (Hassel 3-8 m);2025
Är en fullvuxen lind högre eller lägre än en hägg?;Wikipedia (Lind ~20-30 m) + Wikipedia (Hägg 3-14 m ofta 5-8);2025
Är en fullvuxen asp högre eller lägre än en alm?;Wikipedia/Skogen (Asp ~25-30 m) + Wikipedia (Alm upp till ~30 m);2025
Är lingonriset högre eller lägre än ljungen?;Wikipedia (Lingonris ~10-25 cm) + Wikipedia (Ljung 15-80 cm ofta 20-40);2025
Är en snok längre eller kortare än en huggorm?;Sveriges Herptiler/faktakällor (Snok ~120 cm) + (Huggorm 60-75 cm);2025
Är en kopparödla längre eller kortare än en huggorm?;Wikipedia (Kopparödla 25-43 cm) + faktakällor (Huggorm 60-75 cm);2025
Har en kungsörn större eller mindre vingspann än en berguv?;Wikipedia (Kungsörn 190-230 cm) + skof.se/nrm.se (Berguv 150-170 cm);2025
