fråga;källa;år
Innehåller ett äpple mer eller mindre socker än en banan?;USDA FoodData Central (Apples raw with skin ~10,4 g, Bananas raw ~12,2 g per 100 g);2024
Innehåller en kopp te mer eller mindre koffein än en kopp kaffe?;Healthline / USDA (svart te ~40-47 mg, bryggkaffe ~95 mg per kopp);2024
Har en skiva knäckebröd fler eller färre kalorier än en skiva vetebröd?;Fatsecret / Livsmedelsverket (knäckebröd ~35 kcal/skiva, vetebröd ~65-70 kcal/skiva);2024
Innehåller mjölk mer eller mindre fett än grädde per 100 gram?;Livsmedelsverket (mjölk 3 %, vispgrädde ~36 %);2024
Innehåller lättmjölk mer eller mindre fett än standardmjölk per 100 gram?;Livsmedelsverket (lättmjölk 0,5 %, standardmjölk 3 %);2024
Innehåller apelsinjuice mer eller mindre socker än Coca-Cola per 100 milliliter?;Tillverkardata Coca-Cola (10,6 g/100 ml) + näringsdata apelsinjuice (~8,9 g/100 ml);2024
Innehåller en gurka mer eller mindre socker än en banan per 100 gram?;USDA FoodData Central (gurka med skal ~1,7 g, banan ~12 g per 100 g);2024
Har en morot fler eller färre kalorier än potatis per 100 gram?;USDA FoodData Central (morot rå 41 kcal, potatis rå 77 kcal per 100 g);2024
Innehåller vitt bröd mer eller mindre fiber än knäckebröd per 100 gram?;Livsmedelsverket / Leksands (vitt bröd ~2,7 g, knäckebröd ~16 g fiber per 100 g);2024
Innehåller en jordgubbe mer eller mindre C-vitamin än ett blåbär per 100 gram?;USDA FoodData Central (jordgubbe ~59 mg, blåbär ~10 mg C-vitamin per 100 g);2024
Innehåller en banan mer eller mindre kalium än en apelsin per 100 gram?;USDA FoodData Central (banan 358 mg, apelsin 181 mg kalium per 100 g);2024
Innehåller mörk choklad mer eller mindre kakao än mjölkchoklad?;Branschstandard / FDA (mörk choklad ~70 %, mjölkchoklad ~30 % kakao);2024
Innehåller cheddarost mer eller mindre fett än keso per 100 gram?;USDA FoodData Central (cheddar ~33 g, keso/cottage cheese ~4 g fett per 100 g);2024
Har en kanelbulle fler eller färre kalorier än en chokladboll?;Fatsecret / Livsmedelsdata (bageribulle ~240 kcal, chokladboll ~130 kcal per styck);2024
Innehåller lättöl mer eller mindre alkohol än starköl?;Systembolaget (lättöl max 2,25 vol-%, starköl över 3,5 vol-% – typiskt 5,2 %);2024
Innehåller espresso mer eller mindre koffein än bryggkaffe per 100 milliliter?;Wildkaffee / branschdata (espresso ~210 mg, bryggkaffe ~40 mg koffein per 100 ml);2024
Innehåller honung fler eller färre kalorier än strösocker per 100 gram?;USDA FoodData Central (honung 304 kcal, strösocker 387 kcal per 100 g);2024
Innehåller ett ägg mer eller mindre protein än en avokado per 100 gram?;USDA FoodData Central (ägg ~12,6 g, avokado ~2 g protein per 100 g);2024
Har en blandsallad fler eller färre kalorier än en pizza per 100 gram?;FatSecret / USDA (blandsallad ~17-20 kcal, pizza margherita ~250 kcal per 100 g);2024
Innehåller en vindruva mer eller mindre socker än ett russin per 100 gram?;USDA FoodData Central (vindruva ~15,5 g, russin ~59-65 g socker per 100 g);2024
Innehåller ketchup mer eller mindre socker än senap per 100 gram?;USDA / näringsdata (ketchup ~22 g, senap ~6 g socker per 100 g);2024
Innehåller smör mer eller mindre fett än lättmargarin per 100 gram?;Livsmedelsverket (smör ~81 g, lättmargarin ~40 g fett per 100 g);2024
Innehåller Coca-Cola mer eller mindre koffein än en energidryck per 100 milliliter?;Tillverkardata (Coca-Cola 10 mg/100 ml, energidryck/Red Bull 32 mg/100 ml);2024
Innehåller lax mer eller mindre fett än torsk per 100 gram?;USDA FoodData Central (odlad lax ~13 g, torsk ~0,7 g fett per 100 g);2024
Innehåller en vattenmelon mer eller mindre socker än ett äpple per 100 gram?;USDA FoodData Central (vattenmelon ~6 g, äpple ~10 g socker per 100 g);2024
