fråga;källa;år
Registrerades det fler eller färre labrador retriever än golden retriever hos SKK 2023?;SKK registreringsstatistik 2023;2023
Registrerades det fler eller färre shetland sheepdog än jämthund hos SKK 2023?;SKK registreringsstatistik 2023;2023
Registrerades det fler eller färre fransk bulldogg än australian shepherd hos SKK 2023?;SKK registreringsstatistik 2023;2023
Registrerades det fler eller färre rhodesian ridgeback än tysk schäferhund hos SKK 2023?;SKK registreringsstatistik 2023;2023
Registrerades det fler eller färre nova scotia duck tolling retriever än jämthund hos SKK 2023?;SKK registreringsstatistik 2023;2023
Registrerades det fler eller färre drever än labrador retriever hos SKK 2023?;SKK registreringsstatistik 2023;2023
Registrerades det fler eller färre finsk spets än golden retriever hos SKK 2023?;SKK registreringsstatistik 2023;2023
Registrerades det fler eller färre barbet än papillon hos SKK 2023?;SKK registreringsstatistik 2023;2023
Registrerades det fler eller färre affenpinscher än dalmatiner hos SKK 2023?;SKK registreringsstatistik 2023;2023
Registrerades det fler eller färre cavalier king charles spaniel än bichon havanais hos SKK 2023?;SKK registreringsstatistik 2023;2023
Registrerades det fler eller färre staffordshire bullterrier än perro de presa canario hos SKK 2023?;SKK registreringsstatistik 2023;2023
Registrerades det fler eller färre flatcoated retriever än finsk lapphund hos SKK 2023?;SKK registreringsstatistik 2023;2023
Registrerades det fler eller färre hälleforshund än tysk jaktterrier hos SKK 2023?;SKK registreringsstatistik 2023;2023
Registrerades det fler eller färre berger picard än borzoi hos SKK 2023?;SKK registreringsstatistik 2023;2023
Registrerades det fler eller färre otterhound än bichon bolognese hos SKK 2023?;SKK registreringsstatistik 2023;2023
Registrerades det fler eller färre glen of imaal terrier än tysk pinscher hos SKK 2023?;SKK registreringsstatistik 2023;2023
