fråga;källa;år
Är Mont Blanc högre eller lägre än Matterhorn?;Wikipedia (Mont Blanc, Matterhorn);2024
Är Aconcagua i Anderna högre eller lägre än Denali i Alaska?;Wikipedia (Aconcagua, Denali);2024
Är K2 högre eller lägre än Kilimanjaro?;Wikipedia (K2, Kilimanjaro);2024
Är Kilimanjaro högre eller lägre än norska Galdhøpiggen?;Wikipedia (Kilimanjaro, Galdhøpiggen);2024
Är Kebnekaise högre eller lägre än Mont Blanc?;Wikipedia / Lantmäteriet (Kebnekaise nordtopp/sydtopp ~2096 m, Mont Blanc ~4809 m);2024
Är vulkanen Fuji i Japan högre eller lägre än vulkanen Etna på Sicilien?;Wikipedia (Mount Fuji 3776 m, Etna 3357 m / SE-kratern 2021);2021
Är vulkanen Vesuvius vid Neapel högre eller lägre än vulkanen Etna på Sicilien?;Wikipedia (Vesuvius 1281 m, Etna 3357 m / SE-kratern 2021);2021
Är vulkanen Fuji i Japan högre eller lägre än vulkanen Vesuvius vid Neapel?;Wikipedia (Mount Fuji, Vesuvius);2024
Är Amazonfloden längre eller kortare än floden Rhen?;Wikipedia (Amazon River, Rhine);2024
Är floden Rhen längre eller kortare än Mississippifloden?;Wikipedia (Rhine 1233 km, Mississippi-Missouri-systemet ~6275 km);2024
Är Nilen längre eller kortare än floden Seine i Frankrike?;Wikipedia (Nile, Seine);2024
Rinner det mer eller mindre vatten i Amazonfloden än i Yangtzefloden, mätt vid mynningen?;Wikipedia (Amazon River ~209000 m³/s, Yangtze ~30000 m³/s, medelvattenföring);2024
Rinner det mer eller mindre vatten i Nilen än i Mississippifloden, mätt vid mynningen?;Wikipedia (Nile ~2800 m³/s, Mississippi ~16800 m³/s, medelvattenföring);2024
Är Baikalsjön i Ryssland större eller mindre till ytan än Lake Superior i Nordamerika?;Wikipedia (Lake Baikal, Lake Superior surface area);2024
Är Kaspiska havet större eller mindre till ytan än Victoriasjön i Afrika?;Wikipedia (Caspian Sea, Lake Victoria);2024
Är Victoriasjön i Afrika större eller mindre till ytan än Baikalsjön i Ryssland?;Wikipedia (Lake Victoria, Lake Baikal);2024
Är Kaspiska havet större eller mindre till ytan än Lake Superior i Nordamerika?;Wikipedia (Caspian Sea, Lake Superior);2024
Är Lake Superior djupare eller grundare än Baikalsjön i Ryssland?;Wikipedia (Lake Superior max depth, Lake Baikal max depth);2024
Är Angelfallen i Venezuela högre eller lägre än Victoriafallen i Afrika?;Wikipedia (Angel Falls, Victoria Falls);2024
Är Niagarafallen högre eller lägre än Victoriafallen i Afrika?;Wikipedia (Niagara/Horseshoe Falls 51 m, Victoria Falls 108 m);2024
Är Angelfallen i Venezuela högre eller lägre än Niagarafallen?;Wikipedia (Angel Falls 979 m, Niagara/Horseshoe Falls 51 m);2024
Är Denali i Alaska högre eller lägre än Mont Blanc?;Wikipedia (Denali, Mont Blanc);2024
Är Kalahariöknen större eller mindre till ytan än Gobiöknen?;Wikipedia (Kalahari Desert, Gobi Desert);2024
Är Gobiöknen större eller mindre till ytan än Arabiska öknen?;Wikipedia (Gobi Desert, Arabian Desert);2024
Är Gobiöknen större eller mindre till ytan än Atacamaöknen i Sydamerika?;Wikipedia (Gobi Desert, Atacama Desert);2024
Är Grönlands inlandsis större eller mindre till ytan än Arabiska öknen?;Wikipedia (Greenland ice sheet, Arabian Desert);2024
Är Kaspiska havet djupare eller grundare än Baikalsjön i Ryssland?;Wikipedia (Caspian Sea max depth, Lake Baikal max depth);2024
Är Stora barriärrevet längre eller kortare än Nilen?;Wikipedia (Great Barrier Reef length, Nile);2024
