fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Invigdes Eiffeltornet före eller efter Frihetsgudinnan i New York?;Eiffeltornet;Frihetsgudinnan;1889;1886;år;Hur många år skiljer det?
Uppfanns telefonen före eller efter glödlampan?;Telefonen;Glödlampan;1876;1879;år;Hur många år skiljer det?
Föll Berlinmuren före eller efter att Sovjetunionen upplöstes?;Berlinmurens fall;Sovjetunionens upplösning;1989;1991;år;Hur många år skiljer det?
Ägde månlandningen rum före eller efter att webben (WWW) uppfanns?;Månlandningen;World Wide Web;1969;1991;år;Hur många år skiljer det?
Sjönk Titanic före eller efter Hindenburgkatastrofen?;Titanic;Hindenburgkatastrofen;1912;1937;år;Hur många år skiljer det?
Tog vikingatiden slut före eller efter att Romarriket föll?;Vikingatidens slut;Romarrikets fall;1050;476;år;Hur många år skiljer det?
Blev kristendomen statsreligion i Rom före eller efter att islam grundades?;Kristendomen blir statsreligion;Islam grundas;380;622;år;Hur många år skiljer det?
Inleddes reformationen före eller efter att vikingatiden tog slut?;Reformationen;Vikingatidens slut;1517;1050;år;Hur många år skiljer det?
Stod Hagia Sofia i Konstantinopel färdig före eller efter Notre-Dame i Paris?;Hagia Sofia;Notre-Dame;537;1345;år;Hur många år skiljer det?
Stod Kölnerdomen färdig före eller efter Notre-Dame i Paris?;Kölnerdomen;Notre-Dame;1880;1345;år;Hur många år skiljer det?
Bildades Kalmarunionen före eller efter att islam grundades?;Kalmarunionen;Islam grundas;1397;622;år;Hur många år skiljer det?
Tog vikingatiden slut före eller efter att franska revolutionen bröt ut?;Vikingatidens slut;Franska revolutionen;1050;1789;år;Hur många år skiljer det?
Nådde digerdöden Europa före eller efter att USA förklarade sig självständigt?;Digerdöden i Europa;USA:s självständighet;1347;1776;år;Hur många år skiljer det?
Förklarade sig USA självständigt före eller efter att Kalmarunionen bildades?;USA:s självständighet;Kalmarunionen;1776;1397;år;Hur många år skiljer det?
Stod Notre-Dame färdig före eller efter att kvinnlig rösträtt infördes i Sverige?;Notre-Dame;Kvinnlig rösträtt i Sverige;1345;1921;år;Hur många år skiljer det?
Inleddes reformationen före eller efter att kvinnlig rösträtt infördes i Sverige?;Reformationen;Kvinnlig rösträtt i Sverige;1517;1921;år;Hur många år skiljer det?
Undertecknades Magna Carta före eller efter att kvinnlig rösträtt infördes i Sverige?;Magna Carta;Kvinnlig rösträtt i Sverige;1215;1921;år;Hur många år skiljer det?
Upptäckte Columbus Amerika före eller efter att islam grundades?;Columbus upptäcker Amerika;Islam grundas;1492;622;år;Hur många år skiljer det?
Föll Romarriket före eller efter att Columbus upptäckte Amerika?;Romarrikets fall;Columbus upptäcker Amerika;476;1492;år;Hur många år skiljer det?
Sjönk Vasaskeppet före eller efter att Hagia Sofia stod färdig?;Vasaskeppet sjunker;Hagia Sofia;1628;537;år;Hur många år skiljer det?
Stod Notre-Dame färdig före eller efter att Romarriket föll?;Notre-Dame;Romarrikets fall;1345;476;år;Hur många år skiljer det?
Föll Romarriket före eller efter att digerdöden nådde Europa?;Romarrikets fall;Digerdöden i Europa;476;1347;år;Hur många år skiljer det?
Inleddes reformationen före eller efter att Hagia Sofia stod färdig?;Reformationen;Hagia Sofia;1517;537;år;Hur många år skiljer det?
Kröntes Gustav Vasa till kung före eller efter att Hagia Sofia stod färdig?;Gustav Vasa kröns;Hagia Sofia;1528;537;år;Hur många år skiljer det?
Föll Romarriket före eller efter att Colosseum stod färdigt?;Romarrikets fall;Colosseum;476;80;år;Hur många år skiljer det?
Föll Romarriket före eller efter att Magna Carta undertecknades?;Romarrikets fall;Magna Carta;476;1215;år;Hur många år skiljer det?
Bröt franska revolutionen ut före eller efter att Hagia Sofia stod färdig?;Franska revolutionen;Hagia Sofia;1789;537;år;Hur många år skiljer det?
Stod Colosseum färdigt före eller efter att Eiffeltornet invigdes?;Colosseum;Eiffeltornet;80;1889;år;Hur många år skiljer det?
