sakA;sakB;källa
ICA;Securitas;ICA Gruppen Q4/bokslut 2024 nettoomsättning 157,2 mdr kr + Securitas helårsrapport 2024 nettoomsättning 157,6 mdr kr (2024)
Skanska;Atlas Copco;Skanska bokslutsrapport 2024 intäkter 177,2 mdr kr + Atlas Copco Q4 2024 intäkter 176,7 mdr kr (2024)
Sandvik;Electrolux;Sandvik årsredovisning 2024 intäkter 122,9 mdr kr (122 878 MSEK) + Electrolux bokslut 2024 nettoomsättning 136,2 mdr kr (136 150 MSEK) (2024)
H&M;Atlas Copco;H&M helårsrapport räkenskapsår 2024 nettoomsättning 234,5 mdr kr (234 478 MSEK) + Atlas Copco Q4 2024 intäkter 176,7 mdr kr (2024)
Sandvik;Skanska;Sandvik årsredovisning 2024 intäkter 122,9 mdr kr + Skanska bokslut 2024 intäkter 177,2 mdr kr (2024)
Sandvik;Boliden;Sandvik årsredovisning 2024 intäkter 122,9 mdr kr + Boliden Q4/bokslut 2024 intäkter 93,5 mdr kr (93 509 MSEK) (2024)
Lantmännen;Boliden;Lantmännen bokslut 2024 nettoomsättning 68 mdr kr + Boliden Q4/bokslut 2024 intäkter 93,5 mdr kr (93 509 MSEK) (2024)
Telia;Husqvarna;Telia bokslut 2024 nettoomsättning 89,1 mdr kr (89 127 MSEK) + Husqvarna årsredovisning 2024 nettoomsättning 48,4 mdr kr (2024)
Husqvarna;Axfood;Husqvarna årsredovisning 2024 nettoomsättning 48,4 mdr kr + Axfood bokslut 2024 nettoomsättning 84,1 mdr kr (2024)
SKF;Essity;SKF bokslut 2024 nettoomsättning 98,7 mdr kr + Essity bokslut 2024 nettoomsättning 146 mdr kr (2024)
Securitas;SKF;Securitas helårsrapport 2024 nettoomsättning 157,6 mdr kr + SKF bokslut 2024 nettoomsättning 98,7 mdr kr (2024)
Lantmännen;ICA;Lantmännen bokslut 2024 nettoomsättning 68 mdr kr + ICA Gruppen Q4/bokslut 2024 nettoomsättning 157,2 mdr kr (2024)
Ericsson;Telia;Ericsson helårsrapport 2024 nettoomsättning 247,9 mdr kr + Telia bokslut 2024 nettoomsättning 89,1 mdr kr (89 127 MSEK) (2024)
Husqvarna;H&M;Husqvarna årsredovisning 2024 nettoomsättning 48,4 mdr kr + H&M helårsrapport 2024 nettoomsättning 234,5 mdr kr (2024)
Volvo Cars;ICA;Volvo Car AB bokslut 2024 intäkter 400,2 mdr kr + ICA Gruppen Q4/bokslut 2024 nettoomsättning 157,2 mdr kr (2024)
Lantmännen;Atlas Copco;Lantmännen bokslut 2024 nettoomsättning 68 mdr kr + Atlas Copco Q4 2024 intäkter 176,7 mdr kr (2024)
Essity;NIBE;Essity bokslut 2024 nettoomsättning 146 mdr kr + NIBE Industrier bokslut 2024 nettoomsättning 40,5 mdr kr (40 521 MSEK) (2024)
Husqvarna;Sandvik;Husqvarna årsredovisning 2024 nettoomsättning 48,4 mdr kr + Sandvik årsredovisning 2024 intäkter 122,9 mdr kr (2024)
Skanska;NIBE;Skanska bokslut 2024 intäkter 177,2 mdr kr + NIBE Industrier bokslut 2024 nettoomsättning 40,5 mdr kr (40 521 MSEK) (2024)
Volvo Cars;Essity;Volvo Car AB bokslut 2024 intäkter 400,2 mdr kr + Essity bokslut 2024 nettoomsättning 146 mdr kr (2024)
Spotify;Husqvarna;Spotify Technology FY2024 totala intäkter 15 673 MEUR ~180 mdr kr (kurs ~11,5 SEK/EUR) + Husqvarna årsredovisning 2024 nettoomsättning 48,4 mdr kr (2024)
NIBE;Volvo;NIBE Industrier bokslut 2024 nettoomsättning 40,5 mdr kr (40 521 MSEK) + Volvo Group (AB Volvo) bokslut 2024 nettoomsättning 526,8 mdr kr (2024)
Cloetta;Ericsson;Cloetta bokslut 2024 nettoomsättning 8,6 mdr kr + Ericsson helårsrapport 2024 nettoomsättning 247,9 mdr kr (2024)
H&M;Kopparbergs;H&M helårsrapport 2024 nettoomsättning 234,5 mdr kr + Kopparbergs Bryggeri bokslut 2024 nettoomsättning 2,4 mdr kr (2 444,9 MSEK) (2024)
Evolution;Volvo;Evolution AB bokslut 2024 nettoomsättning 2,06 mdr EUR ~23,7 mdr kr (kurs ~11,5 SEK/EUR) + Volvo Group (AB Volvo) bokslut 2024 nettoomsättning 526,8 mdr kr (2024)
Spotify;Oatly;Spotify Technology FY2024 totala intäkter 15 673 MEUR ~180 mdr kr (kurs ~11,5 SEK/EUR) + Oatly Group bokslut 2024 nettoomsättning 823,7 MUSD ~8,6 mdr kr (kurs ~10,5 SEK/USD) (2024)
