fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Hade Quetzalcoatlus större eller mindre vingspann än Pteranodon?;Quetzalcoatlus;Pteranodon;11;6,5;meter;Hur många meter skiljer det?
Var Plesiosaurus längre eller kortare än Megalodon?;Plesiosaurus;Megalodon;3,5;18;meter;Hur många meter skiljer det?
Var den ullhåriga mammuten högre eller lägre än den sabeltandade tigern Smilodon?;Ullhårig mammut;Smilodon;3,5;1,2;meter;Hur många meter skiljer det?
Hade Deinonychus längre eller kortare klor än Therizinosaurus?;Deinonychus;Therizinosaurus;12;50;centimeter;Hur många centimeter skiljer det?
Var Apatosaurus längre eller kortare än Compsognathus?;Apatosaurus;Compsognathus;23;1;meter;Hur många meter skiljer det?
Var Microraptor längre eller kortare än Giganotosaurus?;Microraptor;Giganotosaurus;0,8;13;meter;Hur många meter skiljer det?
Vägde Quetzalcoatlus mer eller mindre än Compsognathus?;Quetzalcoatlus;Compsognathus;250;3;kilo;Hur många kilo skiljer det?
Vägde Smilodon mer eller mindre än den ullhåriga mammuten?;Smilodon;Ullhårig mammut;280;6000;kilo;Hur många kilo skiljer det?
Var Pachycephalosaurus längre eller kortare än Apatosaurus?;Pachycephalosaurus;Apatosaurus;4,5;23;meter;Hur många meter skiljer det?
Var Styracosaurus längre eller kortare än Edmontosaurus?;Styracosaurus;Edmontosaurus;5,5;12;meter;Hur många meter skiljer det?
Var Utahraptor längre eller kortare än Microraptor?;Utahraptor;Microraptor;7;0,8;meter;Hur många meter skiljer det?
Var Baryonyx längre eller kortare än Protoceratops?;Baryonyx;Protoceratops;9;1,8;meter;Hur många meter skiljer det?
Vägde en grottbjörn mer eller mindre än Megalodon?;Grottbjörn;Megalodon;450;50000;kilo;Hur många kilo skiljer det?
Var Edmontosaurus längre eller kortare än Pachycephalosaurus?;Edmontosaurus;Pachycephalosaurus;12;4,5;meter;Hur många meter skiljer det?
Var Plesiosaurus längre eller kortare än Protoceratops?;Plesiosaurus;Protoceratops;3,5;1,8;meter;Hur många meter skiljer det?
Var den sabeltandade tigern Smilodon högre eller lägre än Pachycephalosaurus?;Smilodon;Pachycephalosaurus;1,2;1,5;meter;Hur många meter skiljer det?
Var Deinonychus längre eller kortare än Therizinosaurus?;Deinonychus;Therizinosaurus;3,4;10;meter;Hur många meter skiljer det?
Vägde Baryonyx mer eller mindre än Giganotosaurus?;Baryonyx;Giganotosaurus;1700;8000;kilo;Hur många kilo skiljer det?
Var Megalodon längre eller kortare än Utahraptor?;Megalodon;Utahraptor;18;7;meter;Hur många meter skiljer det?
Vägde Microraptor mer eller mindre än Pteranodon?;Microraptor;Pteranodon;1;50;kilo;Hur många kilo skiljer det?
Var den ullhåriga mammutens betar längre eller kortare än klorna på Therizinosaurus?;Ullhårig mammut;Therizinosaurus;250;50;centimeter;Hur många centimeter skiljer det?
Vägde Pachycephalosaurus mer eller mindre än Apatosaurus?;Pachycephalosaurus;Apatosaurus;450;20000;kilo;Hur många kilo skiljer det?
Hade Styracosaurus längre eller kortare noshorn än klorna på Deinonychus?;Styracosaurus;Deinonychus;57;12;centimeter;Hur många centimeter skiljer det?
Vägde Baryonyx mer eller mindre än Protoceratops?;Baryonyx;Protoceratops;1700;180;kilo;Hur många kilo skiljer det?
Vägde Edmontosaurus mer eller mindre än Smilodon?;Edmontosaurus;Smilodon;5600;280;kilo;Hur många kilo skiljer det?
