fråga;källa;år
Har Örebro större eller mindre folkmängd än Västerås? (2023);SCB, Statistiska tätorter och småorter 2020;2020
Har sjön Siljan större eller mindre yta än Storsjön i Jämtland?;SMHI, Sveriges sjöar;2023
Har sjön Bolmen större eller mindre yta än Torneträsk?;SMHI, Sveriges sjöar;2023
Har Gävle större eller mindre folkmängd än Malmö? (2023);SCB, Statistiska tätorter och småorter 2020;2020
Är fjället Sarektjåkkå högre eller lägre än Åreskutan?;Lantmäteriet/Wikipedia, svenska bergstoppar;2023
Är fjället Åreskutan högre eller lägre än Helagsfjället?;Lantmäteriet/Wikipedia, svenska bergstoppar;2023
Är vägavståndet Stockholm–Luleå längre eller kortare än Stockholm–Göteborg?;Trafikverket/ruttplanerare, vägavstånd;2024
Är Torneälven längre eller kortare än Göta älv?;SMHI, Sveriges vattendrag;2023
Har ön Värmdö större eller mindre yta än Orust?;SCB, Sveriges öar;2023
Har ön Tjörn större eller mindre yta än Orust?;SCB, Sveriges öar;2023
Har Sareks nationalpark större eller mindre yta än Färnebofjärdens nationalpark?;Naturvårdsverket, Sveriges nationalparker;2023
Är vägavståndet Göteborg–Malmö längre eller kortare än Göteborg–Stockholm?;Trafikverket/ruttplanerare, vägavstånd;2024
Är Helagsfjället högre eller lägre än Kinnekulle?;Lantmäteriet/Wikipedia, svenska bergstoppar;2023
Har Borås större eller mindre folkmängd än Göteborg? (2023);SCB, Statistiska tätorter och småorter 2020;2020
Har Malmö större eller mindre folkmängd än Visby? (2023);SCB, Statistiska tätorter och småorter 2020;2020
Har Göteborg större eller mindre folkmängd än Umeå? (2023);SCB, Statistiska tätorter och småorter 2020;2020
Har Uppsala större eller mindre folkmängd än Kiruna? (2023);SCB, Statistiska tätorter och småorter 2020;2020
Har Malmö större eller mindre folkmängd än Lund? (2023);SCB, Statistiska tätorter och småorter 2020;2020
Har Storsjön i Jämtland större eller mindre yta än sjön Bolmen?;SMHI, Sveriges sjöar;2023
Är vägavståndet Göteborg–Kiruna längre eller kortare än Göteborg–Malmö?;Trafikverket/ruttplanerare, vägavstånd;2024
Har Öland större eller mindre yta än Orust?;SCB, Sveriges öar;2023
Har Norrköping större eller mindre folkmängd än Helsingborg? (2023);SCB, tätortsbefolkning;2023
Har Jönköping större eller mindre folkmängd än Linköping? (2023);SCB, tätortsbefolkning;2023
Har sjön Siljan större eller mindre yta än Torneträsk?;SMHI, Sveriges sjöar;2023
Har Halmstad större eller mindre folkmängd än Lund? (2023);SCB, Statistiska tätorter och småorter 2020;2020
