fråga;källa;år
Har en shetland sheepdog högre eller lägre mankhöjd än en weimaraner?;SKK/FCI rasstandard (shetland sheepdog FCI-88, weimaraner FCI-99);2024
Har en welsh corgi högre eller lägre mankhöjd än en akita?;FCI rasstandard (welsh corgi pembroke FCI-39, akita FCI-255);2024
Har en ungersk vizsla högre eller lägre mankhöjd än en riesenschnauzer?;SKK/FCI rasstandard (ungersk vizsla, riesenschnauzer FCI-181);2024
Har en shih tzu högre eller lägre mankhöjd än en afghanhund?;SKK/FCI rasstandard (shih tzu, afghanhund FCI-228);2024
Har en samojed högre eller lägre mankhöjd än en bullterrier?;FCI rasstandard samojed (FCI-212, hane 57 cm ±3); bullterrier typmått ~45 cm (Arken Zoo/Purina);2024
Har en basset hound högre eller lägre mankhöjd än en gordonsetter?;FCI rasstandard (basset hound FCI-163, gordonsetter FCI-6);2024
Har en pekinges högre eller lägre mankhöjd än en riesenschnauzer?;Pekingese typmått 15-23 cm (NE/rasklubb); riesenschnauzer FCI-181;2024
Väger en dvärgpinscher mer eller mindre än en alaskan malamute?;SKK/FCI rasstandard (dvärgpinscher FCI-185, alaskan malamute FCI-243);2024
Väger en pekinges mer eller mindre än en engelsk mastiff?;FCI rasstandard (pekingese max 5 kg, mastiff tik 75 kg+);2024
Väger en springer spaniel mer eller mindre än en riesenschnauzer?;Rasdata (springer spaniel ~18-25 kg); riesenschnauzer FCI-181 35-47 kg;2024
Väger en welsh corgi mer eller mindre än en greyhound?;FCI rasstandard welsh corgi pembroke 10-12 kg; greyhound 27-40 kg (Wikipedia/rasdata);2024
Väger en pekinges mer eller mindre än en greyhound?;Pekingese FCI max 5 kg; greyhound 27-40 kg (rasdata);2024
Väger en bichon frisé mer eller mindre än en alaskan malamute?;FCI rasstandard bichon frisé (FCI-215, ~3-6 kg); alaskan malamute FCI-243;2024
Väger en dvärgpinscher mer eller mindre än en engelsk mastiff?;SKK/FCI rasstandard (dvärgpinscher 4-6 kg, mastiff tik 75 kg+);2024
Har en engelsk mastiff längre eller kortare livslängd än en schipperke?;Rasdata livslängd (mastiff ~7-10 år; schipperke 13-15 år);2024
Har en berner sennenhund längre eller kortare livslängd än en dvärgpinscher?;Rasdata livslängd (berner sennen ~7-8 år; dvärgpinscher 12-15 år);2024
Har en schipperke längre eller kortare livslängd än en berner sennenhund?;Rasdata livslängd (schipperke 13-15 år; berner sennen ~7-8 år);2024
Har en bichon frisé längre eller kortare livslängd än en alaskan malamute?;Rasdata livslängd (bichon frisé 14-16 år; alaskan malamute 10-14 år);2024
Har en springer spaniel längre eller kortare livslängd än en greyhound?;Rasdata livslängd (springer spaniel 10-15 år; greyhound 10-14 år);2024
Har en welsh corgi längre eller kortare livslängd än en berner sennenhund?;Rasdata livslängd (welsh corgi 12-15 år; berner sennen ~7-8 år);2024
Är en samojed dyrare eller billigare i inköp än en akita?;Valppriser SKK-registrerade (samojed ~10-13 tkr; akita ~13-17 tkr), kopahund.se/forum;2025
Är en engelsk bulldogg dyrare eller billigare i inköp än en springer spaniel?;Valppriser (engelsk bulldogg 25-40 tkr; springer spaniel ~18 tkr), kopahund.se/mundimascota;2025
Är en weimaraner dyrare eller billigare i inköp än en engelsk mastiff?;Valppriser (weimaraner ~15-18 tkr; engelsk mastiff 25-40 tkr), kopahund.se/rasklubb;2025
