fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Vilket av märkena är äldst?;SEB;Avanza;170;27;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Nordnet;Handelsbanken;30;155;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Folksam;Investor AB;118;110;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;SBAB;Ratos;41;92;år;Hur många år skiljer dem åt?
Vilket märke har flest anställda?;Nordea;SEB;30157;19000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;If;Swedbank;10000;18568;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Handelsbanken;Intrum;12644;9707;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;SBAB;Folksam;958;3300;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Intrum;Nordnet;9707;800;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Avanza;Resurs Bank;743;673;anställda;Hur många anställda skiljer det?
Vilket märke har störst börsvärde? (2024);Investor AB;EQT;970;349;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);SEB;Nordea;294;399;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Swedbank;Avanza;234;40;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Kinnevik;Investor AB;22;970;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Industrivärden;EQT;151;349;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Nordea;Intrum;137;18;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Intrum;SEB;18;90;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Avanza;Swedbank;5;75;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket av märkena är äldst?;Hästens;Daniel Wellington;174;15;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Happy Socks;Levi's;18;173;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Tiger of Sweden;Acne Studios;123;30;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Peak Performance;Haglöfs;40;112;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Gant;Craft Sportswear;77;49;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Nike;Fjällräven;62;66;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Björn Borg;Filippa K;42;33;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Adidas;Haglöfs;77;112;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Hästens;Tiger of Sweden;174;123;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;J.Lindeberg;Fjällräven;30;66;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Levi's;Craft Sportswear;173;49;år;Hur många år skiljer dem åt?
Vilket märke finns i flest länder?;Gant;Nike;70;190;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Daniel Wellington;Fjällräven;100;73;länder;Hur många länder skiljer det?
Vilket märke finns i flest länder?;Adidas;Haglöfs;160;30;länder;Hur många länder skiljer det?
Vilket märke är värt mest som varumärke? (2024);Nike;Adidas;45,4;15,5;miljarder USD;Hur många miljarder dollar skiljer det?
Vilket märke har störst omsättning? (2024);Nike;Adidas;545;268;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket av märkena är äldst?;Mölnlycke;AstraZeneca;177;27;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Elekta;Getinge;54;122;år;Hur många år skiljer dem åt?
Vilket märke har flest anställda?;AstraZeneca;Getinge;94300;11791;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Mölnlycke;Getinge;8668;11791;anställda;Hur många anställda skiljer det?
Vilket märke har störst omsättning? (2024);Getinge;Sobi;35;26;miljarder kr;Hur många miljarder kronor skiljer det?
