fråga;källa;år
Vilket av märkena är äldst?;Kopparbergs grundat 1882 (en.wikipedia.org/wiki/Kopparbergs_Brewery), Voi grundat 2018 (voiscooters.com);2026
Vilket av märkena är äldst?;Handelsbanken grundat 1871 (handelsbanken.se), Evolution grundat 2006 (en.wikipedia.org/wiki/Evolution_AB);2026
Vilket av märkena är äldst?;Hästens grundat 1852 (hastens.com), Tesla grundat 2003 (tesla.com);2026
Vilket av märkena är äldst?;Carlsberg grundat 1847 (carlsberggroup.com), Nvidia grundat 1993 (nvidia.com);2026
Vilket av märkena är äldst?;Bahco grundat 1886 (bahco.com), Acne Studios grundat 1996 (acnestudios.com);2026
Vilket av märkena är äldst?;Heineken grundat 1864 (theheinekencompany.com), Hexagon grundat 1992 (en.wikipedia.org/wiki/Hexagon_AB);2026
Vilket av märkena är äldst?;Pepsi grundat 1898 (pepsico.com), Dustin grundat 1984 (en.wikipedia.org/wiki/Dustin_AB);2026
Vilket av märkena är äldst?;Audi grundat 1909 (audi.com), Lufthansa grundat 1953 (lufthansa.com);2026
Vilket av märkena är äldst?;Volkswagen grundat 1937 (volkswagen.com), Hyundai grundat 1967 (hyundai.com);2026
Vilket av märkena är äldst?;BMW grundat 1916 (bmwgroup.com), SAS grundat 1946 (sasgroup.net);2026
Vilket av märkena är äldst?;Porsche grundat 1931 (porsche.com), Tetra Pak grundat 1951 (tetrapak.com);2026
Vilket av märkena är äldst?;Marabou grundat 1916 (marabou.se), Felix grundat 1939 (felix.se);2026
Vilket av märkena är äldst?;Disney grundat 1923 (thewaltdisneycompany.com), Mercedes-Benz grundat 1926 (mercedes-benz.com);2026
Vilket av märkena är äldst?;Gevalia grundat 1853 (gevalia.se), Absolut Vodka grundat 1879 (absolut.com);2026
