fråga;källa;år
Är kroppspulsådern (aortan) grövre eller smalare än en hårfin kapillär?;Gray's Anatomy / kardiovaskulär fysiologi (aorta ~25 mm; kapillär 5-10 µm);2020
Väger stigbygelmuskeln, kroppens minsta muskel, mer eller mindre än den stora sätesmuskeln?;Gray's Anatomy (stapedius, kroppens minsta muskel; gluteus maximus);2020
Väger bukspottkörteln mer eller mindre än en bisköldkörtel?;Cleveland Clinic (bukspottkörtel ~90 g); StatPearls (parathyroidea 30-50 mg);2024
Är en spermies huvud större eller mindre i diameter än äggcellen, kroppens största cell?;Alberts, Molecular Biology of the Cell (spermiehuvud ~5 µm; oocyt ~120 µm);2015
Är tjocktarmen längre eller kortare än blindtarmsbihanget?;Gray's Anatomy (tjocktarm ~1,5 m; appendix ~9 cm);2020
Väger hypofysen mer eller mindre än sköldkörteln?;Cleveland Clinic (hypofys <1 g, ~0,6 g; sköldkörtel ~25 g);2024
Väger en binjure mer eller mindre än en njure?;Cleveland Clinic / Gray's Anatomy (binjure ~5 g; njure ~150 g);2024
Väger mjälten mer eller mindre än hypofysen?;StatPearls / Cleveland Clinic (mjälte ~150 g; hypofys ~0,6 g);2024
Är hornhinnan tunnare eller tjockare än vad ögongloben mäter i diameter?;Kanski, Clinical Ophthalmology (hornhinna ~0,5 mm; öga ~24 mm);2019
Är tjocktarmen grövre eller smalare än tunntarmen?;Cleveland Clinic (tjocktarm ~7 cm; tunntarm ~2-2,5 cm);2024
Är ett mellanhandsben längre eller kortare än skenbenet?;Gray's Anatomy / osteometri (mellanhandsben ~6,5 cm; skenben ~36 cm);2020
Väger sköldkörteln mer eller mindre än en binjure?;Cleveland Clinic (sköldkörtel ~25 g; binjure ~5 g);2024
Väger bukspottkörteln mer eller mindre än sköldkörteln?;Cleveland Clinic (bukspottkörtel ~90 g; sköldkörtel ~25 g);2024
Väger mjälten mer eller mindre än en lunga?;StatPearls / Gray's Anatomy (mjälte ~150 g; lunga ~600 g);2024
Är ögongloben större eller mindre i diameter än ögats lins?;Kanski, Clinical Ophthalmology (öga ~24 mm; lins ~9 mm);2019
Är ögongloben större eller mindre i diameter än vad hjärtat är långt?;Kanski, Clinical Ophthalmology / Gray's Anatomy (öga ~2,4 cm; hjärta ~12 cm);2020
Är urinröret hos en kvinna längre eller kortare än hos en man?;Gray's Anatomy (kvinnans urinrör ~4 cm; mannens ~18-20 cm);2020
Väger den vänstra lungan mer eller mindre än den högra?;Molina & DiMaio, organviktsreferenser (höger lunga tyngre än vänster);2012
Är hörselbenet hammaren längre eller kortare än städet i mellanörat?;Gray's Anatomy (malleus ~8 mm; incus ~7 mm);2020
Väger en mans hjärna i snitt mer eller mindre än en kvinnas?;Cosgrove et al., hjärnvikt per kön (man ~1400 g; kvinna ~1250 g);2007
Har handen fler eller färre ben än foten?;Gray's Anatomy (handens 27 ben vs fotens 26 ben);2020
Väger hela skelettet mer eller mindre än allt blod i kroppen?;Gray's Anatomy / fysiologi (levande skelett ~10,5 kg; blod ~5 kg);2020
Har ryggraden fler eller färre ländkotor än halskotor?;Gray's Anatomy (5 ländkotor vs 7 halskotor);2020
Är bukspottkörteln längre eller kortare än tolvfingertarmen?;Cleveland Clinic (bukspottkörtel ~15 cm; tolvfingertarm ~25 cm);2024
Är ögats lins större eller mindre i diameter än hornhinnan?;Kanski, Clinical Ophthalmology (lins ~9 mm; hornhinna ~11,5 mm);2019
Har ryggraden fler eller färre kotor än kroppen har revben?;Gray's Anatomy (33 ryggkotor vs 24 revben);2020
