sakA;sakB;källa
Husqvarna;IKEA;Husqvarna grundat 1689 (337 år), IKEA 1943 (83 år) – Wikipedia/husqvarnagroup.com, ikea.com [2026]
Hästens;Spotify;Hästens grundat 1852 (174 år), Spotify 2006 (20 år) – Wikipedia/hastens.com, britannica.com [2026]
Volvo;Ericsson;Volvo grundat 1927 (99 år), Ericsson 1876 (150 år) – volvogroup.com, ericsson.com [2026]
H&M;Bahco;H&M grundat 1947 (79 år), Bahco 1886 (140 år) – hmgroup.com, en.wikipedia.org/wiki/Bahco [2026]
Marabou;Cloetta;Marabou grundat 1916 (110 år), Cloetta 1862 (164 år) – Wikipedia, cloetta.com/history [2026]
Voi;Fjällräven;Voi grundat 2018 (8 år), Fjällräven 1960 (66 år) – Wikipedia, fjallraven.com/history [2026]
Scania;Saab;Scania (Vabis) grundat 1891 (135 år), Saab AB 1937 (89 år) – scania.com/heritage, saab.com/history [2026]
Mojang;Systembolaget;Mojang grundat 2009 (17 år), Systembolaget 1955 (71 år) – Wikipedia, systembolagethistoria.se [2026]
Absolut Vodka;Klarna;Absolut Vodka grundat 1879 (147 år), Klarna 2005 (21 år) – en.wikipedia.org/wiki/Absolut_Vodka, Klarna [2026]
Oatly;Electrolux;Oatly grundat 1994 (32 år), Electrolux 1919 (107 år) – en.wikipedia.org/wiki/Oatly, electroluxgroup.com [2026]
Telia;Marabou;Telia (Telegrafverket) grundat 1853 (173 år), Marabou 1916 (110 år) – en.wikipedia.org/wiki/Televerket, Wikipedia [2026]
Daniel Wellington;Gevalia;Daniel Wellington grundat 2011 (15 år), Gevalia 1853 (173 år) – Daniel Wellington, en.wikipedia.org/wiki/Gevalia [2026]
Löfbergs;Björn Borg;Löfbergs grundat 1906 (120 år), Björn Borg 1984 (42 år) – en.wikipedia.org/wiki/Löfbergs, en.wikipedia.org/wiki/Björn_Borg_(brand) [2026]
Felix;Pågen;Felix grundat 1939 (87 år), Pågen 1878 (148 år) – business-sweden.com, en.wikipedia.org/wiki/Pågen [2026]
Clas Ohlson;Acne Studios;Clas Ohlson grundat 1918 (108 år), Acne Studios 1996 (30 år) – en.wikipedia.org/wiki/Clas_Ohlson, en.wikipedia.org/wiki/Acne_Studios [2026]
Apple;Microsoft;Apple grundat 1976 (50 år), Microsoft 1975 (51 år) – guides.loc.gov, en.wikipedia.org/wiki/Microsoft [2026]
Coca-Cola;Spotify;Coca-Cola grundat 1886 (140 år), Spotify 2006 (20 år) – coca-colacompany.com/history, Wikipedia [2026]
Nintendo;Sony;Nintendo grundat 1889 (137 år), Sony 1946 (80 år) – en.wikipedia.org/wiki/History_of_Nintendo, en.wikipedia.org/wiki/Sony [2026]
Nike;Heineken;Nike grundat 1964 (62 år), Heineken 1864 (162 år) – en.wikipedia.org/wiki/Nike,_Inc., heineken.com/history [2026]
Volvo;Google;Volvo grundat 1927 (99 år), Google 1998 (28 år) – volvogroup.com, en.wikipedia.org/wiki/History_of_Google [2026]
Netflix;Carlsberg;Netflix grundat 1997 (29 år), Carlsberg 1847 (179 år) – en.wikipedia.org/wiki/Timeline_of_Netflix, Carlsberg [2026]
Saab;Tesla;Saab AB grundat 1937 (89 år), Tesla 2003 (23 år) – saab.com/history, en.wikipedia.org/wiki/History_of_Tesla,_Inc. [2026]
McDonald's;Burger King;McDonald's grundat 1940 (86 år), Burger King 1954 (72 år) – thestreet.com, britannica.com/money/Burger-King-Corporation [2026]
Samsung;Pepsi;Samsung grundat 1938 (88 år), Pepsi (omdöpt Pepsi-Cola) 1898 (128 år) – en.wikipedia.org/wiki/Samsung, en.wikipedia.org/wiki/Pepsi [2026]
Audi;Adidas;Audi grundat 1909 (117 år), Adidas 1949 (77 år) – en.wikipedia.org/wiki/Audi, en.wikipedia.org/wiki/Adidas [2026]
Facebook;ICA;Facebook grundat 2004 (22 år), ICA 1938 (88 år) – en.wikipedia.org/wiki/Facebook, icagruppen.se/history [2026]
Levi's;King;Levi Strauss & Co. grundat 1853 (173 år), King 2003 (23 år) – en.wikipedia.org/wiki/Levi_Strauss_&_Co., en.wikipedia.org/wiki/King_(company) [2026]
Lufthansa;BMW;Lufthansa (Luftag) grundat 1953 (73 år), BMW 1916 (110 år) – en.wikipedia.org/wiki/Lufthansa, en.wikipedia.org/wiki/BMW [2026]
Disney;Mercedes-Benz;Disney grundat 1923 (103 år), Mercedes-Benz (Daimler-Benz) 1926 (100 år) – Wikipedia, group.mercedes-benz.com [2026]
Polestar;SAS;Polestar grundat 2017 (9 år), SAS 1946 (80 år) – en.wikipedia.org/wiki/Polestar, en.wikipedia.org/wiki/Scandinavian_Airlines [2026]
