fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Vilket av märkena är äldst?;Volvo;Scania;99;135;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Saab;Polestar;89;9;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Stena Line;SJ;64;170;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Koenigsegg;Voi;32;8;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Polestar;Mercedes-Benz;9;100;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Audi;Porsche;117;95;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Einride;BMW;10;110;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Stena Line;Volvo Trucks;64;98;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Toyota;Hyundai;89;59;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;SAS;Voi;80;8;år;Hur många år skiljer dem åt?
Vilket märke är värt mest som varumärke? (2024);BMW;Toyota;52;72,8;miljarder USD;Hur många miljarder dollar skiljer det?
Vilket märke är värt mest som varumärke? (2024);Tesla;Mercedes-Benz;45,5;58,9;miljarder USD;Hur många miljarder dollar skiljer det?
Vilket märke är värt mest som varumärke? (2024);Hyundai;Audi;23;17,3;miljarder USD;Hur många miljarder dollar skiljer det?
Vilket märke är värt mest som varumärke? (2024);Volkswagen;Hyundai;16;23;miljarder USD;Hur många miljarder dollar skiljer det?
Vilket märke är värt mest som varumärke? (2024);Tesla;Audi;45,5;17,3;miljarder USD;Hur många miljarder dollar skiljer det?
Vilket märke är värt mest som varumärke? (2024);BMW;Volkswagen;52;16;miljarder USD;Hur många miljarder dollar skiljer det?
Vilket märke har störst börsvärde? (2024);Toyota;Tesla;2782;14543;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Volvo;Saab;521;120;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Porsche;Mercedes-Benz;460;495;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Porsche;Saab;460;120;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Tesla;Ferrari;14543;812;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Ferrari;Volvo;812;521;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har flest anställda?;Toyota;Volkswagen;380793;679472;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Scania;BMW;59000;159000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Mercedes-Benz;Hyundai;175264;120000;anställda;Hur många anställda skiljer det?
Vilket märke har störst omsättning? (2024);Volvo;Volvo Cars;526,8;400,2;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);SAS;Volvo Cars;45,9;400,2;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);SAS;Scania;45,9;216,1;miljarder kr;Hur många miljarder kronor skiljer det?
