fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Invigdes nöjesparken Liseberg före eller efter Gröna Lund?;Liseberg;Gröna Lund;1923;1883;årtal;Hur många år skiljer det mellan invigningarna?
Skrev Astrid Lindgren fler eller färre kapitelböcker än bilderböcker?;Astrid Lindgrens kapitelböcker;Astrid Lindgrens bilderböcker;34;41;böcker;Hur många böcker skiljer det?
Är skidloppet Vasaloppet längre eller kortare än Stockholm Marathon?;Vasaloppet;Stockholm Marathon;90;42;kilometer;Hur många kilometer skiljer det?
Har friluftsmuseet Skansen fler eller färre besökare per år än Liseberg? (2023);Skansen;Liseberg;1,4;2,3;miljoner besökare;Hur många miljoner besökare skiljer det?
Har Sverige vunnit Eurovision fler eller färre gånger än Tre Kronor tagit VM-guld i ishockey?;Sveriges Eurovision-segrar;Tre Kronors VM-guld;7;11;segrar;Hur många segrar skiljer det?
Är Astrid Lindgrens böcker översatta till fler eller färre språk än enbart Pippi-böckerna?;Astrid Lindgrens böcker;Pippi-böckerna;100;78;språk;Hur många språk skiljer det?
Är Vasaloppet längre eller kortare än motionsloppet Lidingöloppet?;Vasaloppet;Lidingöloppet;90;30;kilometer;Hur många kilometer skiljer det?
Hade Liseberg fler eller färre besökare än Gröna Lund? (2023);Liseberg;Gröna Lund;2,3;0,7;miljoner besökare;Hur många miljoner besökare skiljer det?
Har ABBA sålt fler eller färre skivor i världen än Roxette?;ABBA;Roxette;385;75;miljoner skivor;Hur många miljoner skivor skiljer det?
Har Tre Kronor tagit fler eller färre VM-guld i ishockey än Sverige tagit medaljer i fotbolls-VM?;Tre Kronors VM-guld;Sveriges fotbolls-VM-medaljer;11;3;medaljer;Hur många medaljer skiljer det?
Har samlingsalbumet ABBA Gold sålt fler eller färre exemplar än Millennium-serien?;ABBA Gold;Stieg Larssons Millennium-serie;32;100;miljoner exemplar;Hur många miljoner exemplar skiljer det?
Har Drottningholms slott fler eller färre rum än Stockholms slott?;Drottningholms slott;Stockholms slott;200;600;rum;Hur många rum skiljer det?
Är löparloppet Göteborgsvarvet längre eller kortare än Vasaloppet?;Göteborgsvarvet;Vasaloppet;21;90;kilometer;Hur många kilometer skiljer det?
Skrev August Strindberg fler eller färre teaterpjäser än Selma Lagerlöf skrev romaner?;August Strindbergs pjäser;Selma Lagerlöfs romaner;60;15;verk;Hur många verk skiljer det?
Har Sverige fått fler eller färre Nobelpris totalt än Norge?;Sveriges Nobelpris;Norges Nobelpris;34;14;Nobelpris;Hur många Nobelpris skiljer det?
Är friluftsmuseet Skansen större eller mindre till ytan än nöjesparken Gröna Lund?;Skansen;Gröna Lund;300000;36000;kvadratmeter;Hur många kvadratmeter skiljer det?
Finns det fler eller färre böcker om Sune än det gjorts Sällskapsresan-filmer?;Sune-böckerna;Sällskapsresan-filmerna;48;6;titlar;Hur många titlar skiljer det?
Har ABBA sålt fler eller färre skivor totalt än samlingsalbumet ABBA Gold?;ABBA totalt;ABBA Gold;385;32;miljoner skivor;Hur många miljoner skivor skiljer det?
Har Sverige fått fler eller färre Nobelpris totalt än antalet svenska Nobelpris i litteratur?;Sveriges Nobelpris totalt;Svenska Nobelpris i litteratur;34;8;Nobelpris;Hur många Nobelpris skiljer det?
Levde dj:n Avicii fler eller färre år än författaren Astrid Lindgren?;Avicii;Astrid Lindgren;28;94;år;Hur många år skiljer det i ålder?
Har Astrid Lindgrens böcker sålt fler eller färre exemplar än ABBA sålt skivor?;Astrid Lindgrens böcker;ABBA;170;385;miljoner exemplar;Hur många miljoner skiljer det?
Skrev August Strindberg fler eller färre teaterpjäser än det gjorts Sällskapsresan-filmer?;August Strindbergs pjäser;Sällskapsresan-filmerna;60;6;antal;Hur många skiljer det?
Levde August Strindberg fler eller färre år än Astrid Lindgren?;August Strindberg;Astrid Lindgren;63;94;år;Hur många år skiljer det i ålder?
Har Drottningholms slott fler eller färre rum än det gått filmer i Sällskapsresan-serien?;Drottningholms slott;Sällskapsresan-filmerna;200;6;antal;Hur många skiljer det?
Kom boken om Pippi Långstrump ut före eller efter boken om Emil i Lönneberga?;Pippi Långstrump-boken;Emil i Lönneberga-boken;1945;1963;årtal;Hur många år skiljer det?
