fråga;källa;år
Är Eiffeltornet högre eller lägre än Chryslerbyggnaden i New York?;https://en.wikipedia.org/wiki/Eiffel_Tower;2024
Är Petronastornen högre eller lägre än Willis Tower i Chicago?;https://en.wikipedia.org/wiki/Petronas_Towers;2024
Är Frihetsgudinnan högre eller lägre än Big Bens torn?;https://en.wikipedia.org/wiki/Statue_of_Liberty;2024
Är Empire State Building högre eller lägre än Burj Khalifa?;https://en.wikipedia.org/wiki/Burj_Khalifa;2024
Är CN-tornet i Toronto högre eller lägre än Eiffeltornet?;https://en.wikipedia.org/wiki/CN_Tower;2024
Är Space Needle i Seattle högre eller lägre än Tokyotornet?;https://en.wikipedia.org/wiki/Space_Needle;2024
Är Pisas lutande torn högre eller lägre än Big Bens torn?;https://en.wikipedia.org/wiki/Leaning_Tower_of_Pisa;2024
Är Turning Torso i Malmö högre eller lägre än Avicii Arena (Globen)?;https://en.wikipedia.org/wiki/Turning_Torso;2024
Är Colosseum högre eller lägre än Taj Mahal?;https://en.wikipedia.org/wiki/Colosseum;2024
Är Sydneys hamnbro (bågen) högre eller lägre än Frihetsgudinnan?;https://en.wikipedia.org/wiki/Sydney_Harbour_Bridge;2024
Har Burj Khalifa fler eller färre våningar än Empire State Building?;https://en.wikipedia.org/wiki/Burj_Khalifa;2024
Är Golden Gate-bron längre eller kortare än Sydneys hamnbro?;https://www.goldengate.org/bridge/history-research/statistics-data/design-construction-stats/;2024
Har Eiffeltornet fler eller färre trappsteg än Frihetsgudinnan?;https://en.wikipedia.org/wiki/Eiffel_Tower;2024
Är Brooklynbrons huvudspann längre eller kortare än Golden Gate-brons huvudspann?;https://en.wikipedia.org/wiki/Brooklyn_Bridge;2024
Är Empire State Building högre eller lägre än Pisas lutande torn?;https://en.wikipedia.org/wiki/Empire_State_Building;2024
Är CN-tornet i Toronto högre eller lägre än Turning Torso?;https://en.wikipedia.org/wiki/CN_Tower;2024
Har Burj Khalifa fler eller färre våningar än Turning Torso?;https://en.wikipedia.org/wiki/Burj_Khalifa;2024
Är Öresundsbron längre eller kortare än Golden Gate-bron?;https://en.wikipedia.org/wiki/%C3%98resund_Bridge;2024
Är Avicii Arena (Globen) högre eller lägre än Eiffeltornet?;https://en.wikipedia.org/wiki/Avicii_Arena;2024
Är Kinesiska muren längre eller kortare än Öresundsbron?;https://en.wikipedia.org/wiki/Great_Wall_of_China;2024
Är Empire State Building högre eller lägre än Christ the Redeemer-statyn (med sockel)?;https://en.wikipedia.org/wiki/Christ_the_Redeemer_(statue);2024
Är Burj Khalifa högre eller lägre än Pisas lutande torn?;https://en.wikipedia.org/wiki/Burj_Khalifa;2024
