fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är Empire State Building högre eller lägre än Eiffeltornet?;Empire State Building;Eiffeltornet;443,2;330;meter;Hur många meter skiljer det?
Är Shanghai Tower högre eller lägre än Tokyo Skytree?;Shanghai Tower;Tokyo Skytree;632;634;meter;Hur många meter skiljer det?
Är Petronas Towers högre eller lägre än Empire State Building?;Petronas Towers;Empire State Building;451,9;443,2;meter;Hur många meter skiljer det?
Är Frihetsgudinnan högre eller lägre än Burj Khalifa?;Frihetsgudinnan;Burj Khalifa;93;828;meter;Hur många meter skiljer det?
Är Burj Khalifa högre eller lägre än Eiffeltornet?;Burj Khalifa;Eiffeltornet;828;330;meter;Hur många meter skiljer det?
Är CN Tower högre eller lägre än Globen?;CN Tower;Globen;553;85;meter;Hur många meter skiljer det?
Är Tokyo Skytree högre eller lägre än Eiffeltornet?;Tokyo Skytree;Eiffeltornet;634;330;meter;Hur många meter skiljer det?
Är Kölnerdomen högre eller lägre än Sagrada Família?;Kölnerdomen;Sagrada Família;157;162,9;meter;Hur många meter skiljer det?
Är Ulms domkyrka högre eller lägre än Big Ben?;Ulms domkyrka;Big Ben;161,5;96;meter;Hur många meter skiljer det?
Är lutande tornet i Pisa högre eller lägre än Big Ben?;Lutande tornet i Pisa;Big Ben;56,7;96;meter;Hur många meter skiljer det?
Är Washingtonmonumentet högre eller lägre än Space Needle?;Washingtonmonumentet;Space Needle;169;184,4;meter;Hur många meter skiljer det?
Är Washingtonmonumentet högre eller lägre än Big Ben?;Washingtonmonumentet;Big Ben;169;96;meter;Hur många meter skiljer det?
Är Kristusstatyn i Rio högre eller lägre än Frihetsgudinnan?;Kristusstatyn i Rio;Frihetsgudinnan;38;93;meter;Hur många meter skiljer det?
Är Cheopspyramiden högre eller lägre än Kristusstatyn i Rio?;Cheopspyramiden;Kristusstatyn i Rio;146,6;38;meter;Hur många meter skiljer det?
Är Globen högre eller lägre än Burj Khalifa?;Globen;Burj Khalifa;85;828;meter;Hur många meter skiljer det?
Är Globen högre eller lägre än Kaknästornet?;Globen;Kaknästornet;85;170;meter;Hur många meter skiljer det?
Har Akashi Kaikyo-bron längre eller kortare huvudspann än Golden Gate-bron?;Akashi Kaikyo-bron;Golden Gate-bron;1991;1280;meter;Hur många meter skiljer det?
Har Öresundsbron längre eller kortare huvudspann än Golden Gate-bron?;Öresundsbron;Golden Gate-bron;490;1280;meter;Hur många meter skiljer det?
Har Öresundsbron längre eller kortare huvudspann än Akashi Kaikyo-bron?;Öresundsbron;Akashi Kaikyo-bron;490;1991;meter;Hur många meter skiljer det?
Är Gotthards bastunnel längre eller kortare än Öresundsbron?;Gotthards bastunnel;Öresundsbron;57,1;7,8;kilometer;Hur många kilometer skiljer det?
Är Seikantunneln längre eller kortare än Kanaltunneln?;Seikantunneln;Kanaltunneln;53,9;50,5;kilometer;Hur många kilometer skiljer det?
Är Three Gorges-dammen högre eller lägre än Hooverdammen?;Three Gorges-dammen;Hooverdammen;181;221;meter;Hur många meter skiljer det?
Har Hooverdammen längre eller kortare krön än Three Gorges-dammen?;Hooverdammen;Three Gorges-dammen;379;2335;meter;Hur många meter skiljer det?
Är Three Gorges-dammen längre eller kortare än Öresundsbron?;Three Gorges-dammen;Öresundsbron;2335;7845;meter;Hur många meter skiljer det?
Är Kinesiska muren längre eller kortare än Öresundsbron?;Kinesiska muren;Öresundsbron;21196;7,8;kilometer;Hur många kilometer skiljer det?
Är Stonehenge äldre eller yngre än Colosseum?;Stonehenge;Colosseum;5000;1946;år;Hur många år skiljer det?
Är Notre-Dame i Paris äldre eller yngre än Colosseum?;Notre-Dame i Paris;Colosseum;681;1946;år;Hur många år skiljer det?
Är Eiffeltornet äldre eller yngre än Notre-Dame i Paris?;Eiffeltornet;Notre-Dame i Paris;137;681;år;Hur många år skiljer det?
Är Cheopspyramiden äldre eller yngre än Colosseum?;Cheopspyramiden;Colosseum;4586;1946;år;Hur många år skiljer det?
Har Sydneyoperan högre eller lägre tak än Kristusstatyn i Rio?;Sydneyoperan;Kristusstatyn i Rio;67;38;meter;Hur många meter skiljer det?
Är Shanghai Tower högre eller lägre än Merdeka 118?;Shanghai Tower;Merdeka 118;632;678,9;meter;Hur många meter skiljer det?
Är Lotte World Tower högre eller lägre än One World Trade Center?;Lotte World Tower;One World Trade Center;555,7;541,3;meter;Hur många meter skiljer det?
Är Willis Tower högre eller lägre än Petronas Tower 1?;Willis Tower;Petronas Tower 1;442,1;451,9;meter;Hur många meter skiljer det?
Är Burj Al Arab högre eller lägre än Chryslerbyggnaden?;Burj Al Arab;Chryslerbyggnaden;321;318,9;meter;Hur många meter skiljer det?
Har Lincoln Cathedral högre eller lägre spira än Ulms domkyrka?;Lincoln Cathedral;Ulms domkyrka;160;161,5;meter;Hur många meter skiljer det?
Har Golden Gate-bron längre eller kortare huvudspann än Verrazzano-Narrows-bron?;Golden Gate-bron;Verrazzano-Narrows-bron;1280;1298;meter;Hur många meter skiljer det?
Har Maracanã större eller mindre publikkapacitet än San Siro?;Maracanã;San Siro;78838;75923;åskådare;Hur många åskådare skiljer det?
Har Empire State Building fler eller färre våningar än Willis Tower?;Empire State Building;Willis Tower;102;108;våningar;Hur många våningar skiljer det?
Är Tokyo Skytree högre eller lägre än Canton Tower?;Tokyo Skytree;Canton Tower;634;604;meter;Hur många meter skiljer det?
Är Singapore Flyer högre eller lägre än High Roller i Las Vegas?;Singapore Flyer;High Roller;165;167,6;meter;Hur många meter skiljer det?
Är Three Gorges-dammen högre eller lägre än Itaipú-dammen?;Three Gorges-dammen;Itaipú-dammen;181;196;meter;Hur många meter skiljer det?
Är Sankt Stefansdomen i Wien högre eller lägre än Strasbourgs katedral?;Sankt Stefansdomen i Wien;Strasbourgs katedral;136;142;meter;Hur många meter skiljer det?
Har Humberbron längre eller kortare huvudspann än Verrazzano-Narrows-bron?;Humberbron;Verrazzano-Narrows-bron;1410;1298;meter;Hur många meter skiljer det?
Har Storbältsbron längre eller kortare huvudspann än Akashi Kaikyo-bron?;Storbältsbron;Akashi Kaikyo-bron;1624;1991;meter;Hur många meter skiljer det?
Är Chryslerbyggnaden högre eller lägre än Eiffeltornet?;Chryslerbyggnaden;Eiffeltornet;318,9;330;meter;Hur många meter skiljer det?
Är Hooverdammen högre eller lägre än Grande Dixence-dammen?;Hooverdammen;Grande Dixence-dammen;221;285;meter;Hur många meter skiljer det?
Är Big Ben högre eller lägre än Turning Torso?;Big Ben;Turning Torso;96;190;meter;Hur många meter skiljer det?
