fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har Vänern större eller mindre yta än Mälaren?;Vänern;Mälaren;5650;1078;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Mälaren större eller mindre yta än Vättern?;Mälaren;Vättern;1078;1893;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Hjälmaren större eller mindre yta än Storsjön?;Hjälmaren;Storsjön;483;464;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Siljan större eller mindre yta än Torneträsk?;Siljan;Torneträsk;290;332;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Mälaren större eller mindre yta än Hjälmaren?;Mälaren;Hjälmaren;1078;483;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Hjälmaren större eller mindre yta än Vänern?;Hjälmaren;Vänern;483;5650;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Malmö större eller mindre folkmängd än Göteborg? (2024);Malmö;Göteborg;365644;608993;invånare;Hur många invånare skiljer det?
Har Uppsala större eller mindre folkmängd än Linköping? (2024);Uppsala;Linköping;248016;168035;invånare;Hur många invånare skiljer det?
Har Malmö större eller mindre folkmängd än Linköping? (2024);Malmö;Linköping;365644;168035;invånare;Hur många invånare skiljer det?
Har Göteborg större eller mindre folkmängd än Stockholm? (2024);Göteborg;Stockholm;608993;995574;invånare;Hur många invånare skiljer det?
Har Stockholm större eller mindre folkmängd än Malmö? (2024);Stockholm;Malmö;995574;365644;invånare;Hur många invånare skiljer det?
Har Linköping större eller mindre folkmängd än Uppsala? (2024);Linköping;Uppsala;168035;248016;invånare;Hur många invånare skiljer det?
Är Öresundsbron längre eller kortare än Ölandsbron?;Öresundsbron;Ölandsbron;7845;6072;meter;Hur många meter skiljer det?
Är Hisingsbron längre eller kortare än Götaälvbron?;Hisingsbron;Götaälvbron;440;927;meter;Hur många meter skiljer det?
Är Götaälvbron längre eller kortare än Ölandsbron?;Götaälvbron;Ölandsbron;927;6072;meter;Hur många meter skiljer det?
Är Öresundsbron längre eller kortare än Götaälvbron?;Öresundsbron;Götaälvbron;7845;927;meter;Hur många meter skiljer det?
Är Kista Science Tower högre eller lägre än Turning Torso?;Kista Science Tower;Turning Torso;124;190;meter;Hur många meter skiljer det?
Är Karlatornet högre eller lägre än Globen?;Karlatornet;Globen;246;85;meter;Hur många meter skiljer det?
Är Kaknästornet högre eller lägre än Globen?;Kaknästornet;Globen;155;85;meter;Hur många meter skiljer det?
Är Globen högre eller lägre än Turning Torso?;Globen;Turning Torso;85;190;meter;Hur många meter skiljer det?
Är Kaknästornet högre eller lägre än Turning Torso?;Kaknästornet;Turning Torso;155;190;meter;Hur många meter skiljer det?
Har Öland större eller mindre yta än Gotland?;Öland;Gotland;1342;2994;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Öland större eller mindre yta än Orust?;Öland;Orust;1342;346;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Orust större eller mindre yta än Gotland?;Orust;Gotland;346;2994;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är Kebnekaise högre eller lägre än Sarektjåkkå?;Kebnekaise;Sarektjåkkå;2097;2089;meter;Hur många meter skiljer det?
Är Helagsfjället högre eller lägre än Kebnekaise?;Helagsfjället;Kebnekaise;1797;2097;meter;Hur många meter skiljer det?
Är avståndet Stockholm–Göteborg längre eller kortare än Stockholm–Malmö?;Stockholm–Göteborg;Stockholm–Malmö;397;513;kilometer;Hur många kilometer skiljer det?
Är avståndet Malmö–Kiruna längre eller kortare än Göteborg–Malmö?;Malmö–Kiruna;Göteborg–Malmö;1412;242;kilometer;Hur många kilometer skiljer det?
Är avståndet Stockholm–Kiruna längre eller kortare än Göteborg–Malmö?;Stockholm–Kiruna;Göteborg–Malmö;954;242;kilometer;Hur många kilometer skiljer det?
