fråga;källa;år
Väger en manat mer eller mindre än en tapir?;Wikipedia (Manatee, Tapir);2024
Väger en bison mer eller mindre än en vattenbuffel?;Wikipedia (American bison, Water buffalo);2024
Väger en impala mer eller mindre än en gnu?;Wikipedia (Impala, Wildebeest);2024
Väger en mandrill mer eller mindre än en babian?;Wikipedia (Mandrill, Baboon);2024
Väger ett bältdjur mer eller mindre än en myrkott?;Wikipedia (Armadillo, Pangolin);2024
Väger en vombat mer eller mindre än en lemur?;Wikipedia (Wombat, Lemur);2024
Väger en hermelin mer eller mindre än en iller?;Wikipedia (Stoat, European polecat);2024
Väger ett marsvin mer eller mindre än en hamster?;Wikipedia (Guinea pig, Hamster);2024
Väger en näbbmus mer eller mindre än en mygga?;Wikipedia (Shrew, Mosquito);2024
Väger en präriehund mer eller mindre än ett murmeldjur?;Wikipedia (Prairie dog, Marmot);2024
Är en tumlare längre eller kortare än en manat?;Wikipedia (Harbour porpoise, Manatee);2024
Är en gnu högre eller lägre än en impala?;Wikipedia (Wildebeest, Impala);2024
Är en babian högre eller lägre än en bison?;Wikipedia (Baboon, American bison);2024
Är en kameleont längre eller kortare än en gecko?;Wikipedia (Chameleon, Gecko);2024
Är en iguana längre eller kortare än en salamander?;Wikipedia (Iguana, Salamander);2024
Är en kakadua längre eller kortare än en tukan?;Wikipedia (Cockatoo, Toucan);2024
Är en lunnefågel längre eller kortare än en skarv?;Wikipedia (Atlantic puffin, Cormorant);2024
Springer en impala snabbare eller långsammare än en gnu?;Wikipedia (Impala, Wildebeest);2024
Springer ett murmeldjur snabbare eller långsammare än en vattenbuffel?;Wikipedia (Marmot, Water buffalo);2024
Springer en gasell snabbare eller långsammare än en tapir?;Wikipedia (Gazelle, Tapir);2024
Lever en tumlare längre eller kortare än ett marsvin?;Wikipedia (Harbour porpoise, Guinea pig);2024
Lever en hamster längre eller kortare än en kakadua?;Wikipedia (Hamster, Cockatoo);2024
Lever en lemur längre eller kortare än en iller?;Wikipedia (Lemur, European polecat);2024
Lever en salamander längre eller kortare än en iguana?;Wikipedia (Salamander, Iguana);2024
Lever ett bältdjur längre eller kortare än en näbbmus?;Wikipedia (Armadillo, Shrew);2024
Har en spindel fler eller färre ben än en gräshoppa?;Wikipedia (Spider, Grasshopper);2024
Har en tusenfoting fler eller färre ben än en skorpion?;Wikipedia (Millipede, Scorpion);2024
