fråga;källa;år
Har en azawakh högre eller lägre mankhöjd än en sloughi?;SKK rasstandard FCI 307 (Azawakh) / FCI 188 (Sloughi);2024
Har en bergamasco högre eller lägre mankhöjd än en schapendoes?;SKK rasstandard FCI 194 (Bergamasco) / FCI 313 (Schapendoes);2024
Har en schillerstövare högre eller lägre mankhöjd än en pumi?;SKK rasstandard FCI 131 (Schillerstövare) / FCI 56 (Pumi);2024
Har en tibetansk terrier högre eller lägre mankhöjd än en plott?;SKK rasstandard FCI 209 (Tibetansk terrier) / FCI 360 (Plott);2024
Har en volpino italiano högre eller lägre mankhöjd än en ariégeois?;SKK rasstandard FCI 195 (Volpino italiano) / FCI 20 (Ariégeois);2024
Har en chodsky pes högre eller lägre mankhöjd än en slovensky cuvac?;SKK rasstandard FCI 364 (Chodsky pes) / FCI 142 (Slovensky cuvac);2024
Har en drentsche patrijshond högre eller lägre mankhöjd än en groenendael?;SKK rasstandard FCI 224 (Drentsche patrijshond) / FCI 15 (Belgisk vallhund);2024
Väger en broholmer mer eller mindre än en pudelpointer?;SKK rasstandard FCI 315 (Broholmer) / FCI 216 (Pudelpointer);2024
Väger en norwich terrier mer eller mindre än en dogo argentino?;SKK rasstandard FCI 72 (Norwich terrier) / FCI 292 (Dogo argentino);2024
Väger en cesky terrier mer eller mindre än en fila brasileiro?;SKK rasstandard FCI 246 (Cesky terrier) / FCI 225 (Fila brasileiro);2024
Väger en kaukasisk ovtcharka mer eller mindre än en cirneco dell'etna?;SKK rasstandard FCI 328 (Kaukasisk ovtcharka) / FCI 199 (Cirneco dell'Etna);2024
Väger en drentsche patrijshond mer eller mindre än en lancashire heeler?;SKK rasstandard FCI 224 (Drentsche patrijshond) / FCI 360 (Lancashire heeler);2024
Väger en phalène mer eller mindre än en tornjak?;SKK rasstandard FCI 77 (Phalène/Continental dvärgspaniel) / FCI 355 (Tornjak);2024
Väger en lancashire heeler mer eller mindre än en tatrahund?;SKK rasstandard FCI 360 (Lancashire heeler) / FCI 252 (Tatrahund/Polski owczarek podhalanski);2024
Väger en finsk lapphund mer eller mindre än en strävhårig vizsla?;SKK rasstandard FCI 189 (Finsk lapphund) / FCI 239 (Strävhårig ungersk vizsla);2024
Väger en pudelpointer mer eller mindre än en volpino italiano?;SKK rasstandard FCI 216 (Pudelpointer) / FCI 195 (Volpino italiano);2024
Väger en chodsky pes mer eller mindre än en estrelaberghund?;SKK rasstandard FCI 364 (Chodsky pes) / FCI 173 (Cão da Serra da Estrela);2024
Väger en slovensky cuvac mer eller mindre än en schapendoes?;SKK rasstandard FCI 142 (Slovensky cuvac) / FCI 313 (Schapendoes);2024
Har en tibetansk terrier längre eller kortare livslängd än en broholmer?;SKK/UK Kennel Club breed health data (livslängd);2024
Har en cirneco dell'etna längre eller kortare livslängd än en dogo argentino?;SKK/UK Kennel Club breed health data (livslängd);2024
Har en pumi längre eller kortare livslängd än en fila brasileiro?;SKK/UK Kennel Club breed health data (livslängd);2024
Har en sloughi längre eller kortare livslängd än en norwich terrier?;SKK/UK Kennel Club breed health data (livslängd);2024
Har en phalène längre eller kortare livslängd än en kaukasisk ovtcharka?;SKK/UK Kennel Club breed health data (livslängd);2024
Registrerades det fler eller färre flatcoated retriever än finsk lapphund hos SKK 2023?;SKK registreringsstatistik 2023 (finsk lapphund 691, flatcoated retriever 649);2023
Registrerades det fler eller färre hälleforshund än tysk jaktterrier hos SKK 2023?;SKK registreringsstatistik 2023 / RAS Hälleforshunden (hälleforshund ~50-60/år);2023
