fråga;källa;år
Är en sax längre eller kortare än en häftapparat?;Hushållssax ~21 cm; bordshäftapparat ~18 cm (tillverkarspec);2024
Är en visp längre eller kortare än en slev?;Ballongvisp ~30 cm; serveringsslev ~33 cm (tillverkarspec);2024
Är en skruvmejsel längre eller kortare än en pensel?;Standardskruvmejsel ~20 cm; målarpensel ~15 cm (tillverkarspec);2024
Är en ficklampa längre eller kortare än ett stearinljus?;Handficklampa ~16 cm; kronljus ~25 cm (tillverkarspec);2024
Är ett gem längre eller kortare än en klädnypa?;Standardgem ~3,5 cm; klädnypa ~7 cm (tillverkarspec);2024
Är en tvättkorg högre eller lägre än en papperskorg?;Tvättkorg ~55 cm; papperskorg ~30 cm (tillverkarspec);2024
Är en toffla längre eller kortare än en stövel?;Toffla ~26 cm; gummistövel ~35 cm (tillverkarspec);2024
Väger en slev mer eller mindre än en visp?;Serveringsslev ~130 g; ballongvisp ~90 g (tillverkarspec);2024
Väger en rakhyvel mer eller mindre än en gryta?;Rakhyvel ~30 g; gjutjärnsgryta ~2,5 kg (tillverkarspec);2024
Är en spade längre eller kortare än en pensel?;Trädgårdsspade ~120 cm; målarpensel ~18 cm (tillverkarspec);2024
Är en skruvmejsel längre eller kortare än en kratta?;Skruvmejsel ~30 cm; trädgårdskratta ~160 cm (tillverkarspec);2024
Väger en termos mer eller mindre än ett stearinljus?;Termos ~400 g (tom 0,5 l); blockljus ~30 g (tillverkarspec);2024
Väger en visp mer eller mindre än en filt?;Ballongvisp ~90 g (test: 73-110 g); fleecefilt ~800 g (tillverkarspec);2024
Väger en gryta mer eller mindre än en vattenkanna?;Gjutjärnsgryta ~2,5 kg; vattenkanna ~800 g (tillverkarspec);2024
Väger en sax mer eller mindre än en såg?;Hushållssax ~100 g; handsåg ~600 g (tillverkarspec);2024
Väger ett täcke mer eller mindre än en toffla?;Vuxentäcke ~1,5 kg; toffla ~250 g (tillverkarspec);2024
Väger en osthyvel mer eller mindre än en stege?;Osthyvel ~120 g; aluminiumstege ~6 kg (tillverkarspec);2024
Är en kratta högre eller lägre än en stege?;Trädgårdskratta ~160 cm; stege ~250 cm (tillverkarspec);2024
Väger en spade mer eller mindre än en ficklampa?;Trädgårdsspade ~2 kg; handficklampa ~300 g (tillverkarspec);2024
Väger en sax mer eller mindre än en kavel?;Hushållssax ~100 g; kavel i trä ~500 g (tillverkarspec);2024
Väger en bakplåt mer eller mindre än en osthyvel?;Bakplåt ~700 g; osthyvel ~120 g (tillverkarspec);2024
Väger en stege mer eller mindre än en tvättkorg?;Aluminiumstege ~6 kg; tvättkorg ~1,2 kg (tillverkarspec);2024
Väger en vattenkanna mer eller mindre än ett gem?;Vattenkanna ~800 g (tom); standardgem ~1 g (tillverkarspec);2024
Väger en klädnypa mer eller mindre än en gryta?;Klädnypa ~7 g; gjutjärnsgryta ~2,5 kg (tillverkarspec);2024
Väger ett gem mer eller mindre än en glödlampa?;Standardgem ~1 g; glödlampa ~30 g (tillverkarspec);2024
Väger ett stearinljus mer eller mindre än en spade?;Kronljus ~30 g; trädgårdsspade ~2 kg (tillverkarspec);2024
Väger en bakplåt mer eller mindre än ett gem?;Bakplåt ~700 g; standardgem ~1 g (tillverkarspec);2024
