fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har en lussekatt fler eller färre kalorier än en kanelbulle per 100 gram?;Lussekatt;Kanelbulle;292;350;kalorier per 100 gram;Hur många kalorier per 100 gram skiljer det?
Har köttbullar fler eller färre kalorier än blodpudding per 100 gram?;Köttbullar;Blodpudding;210;200;kalorier per 100 gram;Hur många kalorier per 100 gram skiljer det?
Har pyttipanna fler eller färre kalorier än Janssons frestelse per 100 gram?;Pyttipanna;Janssons frestelse;150;170;kalorier per 100 gram;Hur många kalorier per 100 gram skiljer det?
Har en semla fler eller färre kalorier än en dammsugare per styck?;Semla;Dammsugare;450;230;kalorier per styck;Hur många kalorier per styck skiljer det?
Har en dammsugare fler eller färre kalorier än köttbullar per 100 gram?;Dammsugare;Köttbullar;484;210;kalorier per 100 gram;Hur många kalorier per 100 gram skiljer det?
Har knäckebröd fler eller färre kalorier än ostkaka per 100 gram?;Knäckebröd;Ostkaka;366;200;kalorier per 100 gram;Hur många kalorier per 100 gram skiljer det?
Tar pyttipanna längre eller kortare tid att tillaga än köttbullar?;Pyttipanna;Köttbullar;20;35;minuter;Hur många minuter skiljer det?
Kostar en burk surströmming mer eller mindre än en burk sill?;Surströmming;Sill;90;50;kronor;Hur många kronor skiljer det?
Kostar en tub Kalles kaviar mer eller mindre än en burk surströmming?;Kalles kaviar;Surströmming;40;90;kronor;Hur många kronor skiljer det?
Ger en prinsesstårta fler eller färre portioner än en ostkaka?;Prinsesstårta;Ostkaka;12;8;portioner;Hur många portioner skiljer det?
Tar köttbullar längre eller kortare tid att tillaga än Janssons frestelse?;Köttbullar;Janssons frestelse;35;60;minuter;Hur många minuter skiljer det?
Väger en lussekatt mer eller mindre än en semla?;Lussekatt;Semla;60;110;gram;Hur många gram skiljer det?
Kostar kräftor mer eller mindre än sill per kilo?;Kräftor;Sill;250;80;kronor per kilo;Hur många kronor per kilo skiljer det?
Är en polkagris längre eller kortare än vad en kanelbulle är bred?;Polkagris;Kanelbulle;30;8;centimeter;Hur många centimeter skiljer det?
Har en prinsesstårta fler eller färre kalorier än ärtsoppa per 100 gram?;Prinsesstårta;Ärtsoppa;290;80;kalorier per 100 gram;Hur många kalorier per 100 gram skiljer det?
Har en dammsugare fler eller färre kalorier än Janssons frestelse per 100 gram?;Dammsugare;Janssons frestelse;484;170;kalorier per 100 gram;Hur många kalorier per 100 gram skiljer det?
Tar raggmunk längre eller kortare tid att tillaga än Janssons frestelse?;Raggmunk;Janssons frestelse;20;60;minuter;Hur många minuter skiljer det?
Har ärtsoppa fler eller färre kalorier än knäckebröd per 100 gram?;Ärtsoppa;Knäckebröd;80;366;kalorier per 100 gram;Hur många kalorier per 100 gram skiljer det?
Väger en semla mer eller mindre än en polkagris?;Semla;Polkagris;110;25;gram;Hur många gram skiljer det?
Har en polkagris fler eller färre kalorier än en dammsugare per styck?;Polkagris;Dammsugare;100;230;kalorier per styck;Hur många kalorier per styck skiljer det?
Väger en semla mer eller mindre än en hel prinsesstårta?;Semla;Prinsesstårta;110;1200;gram;Hur många gram skiljer det?
Väger en burk surströmming mer eller mindre än en polkagris?;Surströmming;Polkagris;300;25;gram;Hur många gram skiljer det?
Är en köttbulle bredare eller smalare än vad en falukorv är lång?;Köttbulle;Falukorv;3;52;centimeter;Hur många centimeter skiljer det?
Kostar en burk O'boy mer eller mindre än kräftor per kilo?;O'boy;Kräftor;45;250;kronor;Hur många kronor skiljer det?
Väger en lussekatt mer eller mindre än en hel gryta ärtsoppa?;Lussekatt;Ärtsoppa;60;1200;gram;Hur många gram skiljer det?
Har en kanelbulle fler eller färre kalorier än ostkaka per 100 gram?;Kanelbulle;Ostkaka;350;200;kalorier per 100 gram;Hur många kalorier per 100 gram skiljer det?
