fråga;källa;år
Har havredrycksföretaget Oatly fler eller färre anställda än IKEA? (2024);Wikipedia "IKEA" (~217 000–220 000 medarbetare globalt) + Oatly Group AB årsredovisning 2024 (~1 482 anställda);2024
Har Ericsson fler eller färre anställda än friluftsmärket Fjällräven? (2024);Ericsson årsredovisning 2024 (~94 200 anställda per 31 dec 2024) + Fenix Outdoor / Fjällräven (~2 500 anställda);2024
Har havredrycksföretaget Oatly fler eller färre anställda än lastbilstillverkaren Scania? (2024);Scania Q3 2024 delårsrapport (~59 000 anställda) + Oatly Group AB 2024 (~1 500 anställda);2024
Har Volvo Cars fler eller färre anställda än Oatly? (2024);Volvo Cars årsredovisning 2024 (~42 600 anställda) + Oatly 2024 (~1 500 anställda);2024
Har Scania fler eller färre anställda än Fjällräven? (2024);Scania Q3 2024 (~59 000 anställda) + Fenix Outdoor / Fjällräven (~2 500 anställda);2024
Har friluftsmärket Fjällräven fler eller färre anställda än H&M? (2024);H&M Group helårsrapport 2024 (~138 600 anställda per 30 nov 2024) + Fjällräven/Fenix (~2 500);2024
Har Spotify fler eller färre användare än Klarna? (2024);Spotify Q4 2024 (~675 milj månatliga aktiva användare) + Klarna (~150 milj användare, juni 2024);2024
Har Tetra Pak fler eller färre anställda än läkemedelsbolaget AstraZeneca? (2024);AstraZeneca årsredovisning 2024 (~94 300 anställda) + Tetra Pak (~24 500 anställda 2024);2024
Har Tetra Pak fler eller färre anställda än Ericsson? (2024);Ericsson årsredovisning 2024 (~94 200 per 31 dec 2024) + Tetra Pak (~24 500 anställda);2024
Har H&M fler eller färre butiker i världen än ICA har butiker i Sverige? (2024);H&M Group (~4 200 butiker globalt) + ICA Sverige (~1 300 butiker);2024
Har IKEA fler eller färre anställda än vitvarutillverkaren Electrolux? (2024);Wikipedia "IKEA" (~220 000) + Electrolux (~41 000 anställda 2024);2024
Har ICA fler eller färre butiker i Sverige än antalet IKEA-varuhus i världen? (2024);ICA Sverige (~1 300 butiker) + Inter IKEA/Ingka (~480 varuhus globalt);2024
Har AstraZeneca fler eller färre anställda än motorsågstillverkaren Husqvarna? (2024);AstraZeneca årsredovisning 2024 (~94 300) + Husqvarna Group (~12 300 anställda);2024
Har motorsågstillverkaren Husqvarna fler eller färre anställda än Volvo Cars? (2024);Volvo Cars 2024 (~42 600) + Husqvarna Group (~12 300);2024
Har Electrolux fler eller färre anställda än Husqvarna? (2024);Electrolux (~41 000) + Husqvarna Group (~12 300);2024
Har Husqvarna fler eller färre anställda än Scania? (2024);Scania Q3 2024 (~59 000) + Husqvarna Group (~12 300);2024
Har H&M fler eller färre anställda än Electrolux? (2024);H&M Group helårsrapport 2024 (~138 600 per 30 nov 2024) + Electrolux (~41 000);2024
Har Volvo Cars fler eller färre anställda än IKEA? (2024);Wikipedia "IKEA" (~220 000) + Volvo Cars 2024 (~42 600);2024
Har Ericsson fler eller färre anställda än Scania? (2024);Ericsson årsredovisning 2024 (~94 200 per 31 dec 2024) + Scania (~59 000);2024
Har Volvo Cars fler eller färre anställda än AstraZeneca? (2024);AstraZeneca årsredovisning 2024 (~94 300) + Volvo Cars 2024 (~42 600);2024
Har Tetra Pak fler eller färre anställda än Electrolux? (2024);Electrolux (~41 000) + Tetra Pak (~24 500);2024
Finns Spotify i fler eller färre länder än H&M har butiker i? (2024);Spotify (~184 marknader/länder) + H&M Group (butiker i ~79 länder);2024
Grundades Saab tidigare eller senare än Volvo?;Wikipedia "Volvo" (grundat 1927) + Wikipedia "Saab AB" (grundat 1937);2025
