fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Väger en vindruva mer eller mindre än en apelsin?;Vindruva;Apelsin;6;140;gram;Hur många gram skiljer det?
Väger en köttbulle mer eller mindre än en hamburgare?;Köttbulle;Hamburgare;20;140;gram;Hur många gram skiljer det?
Väger en ostbit mer eller mindre än en smörgås?;Ostbit;Smörgås;20;90;gram;Hur många gram skiljer det?
Väger ett ägg mer eller mindre än en potatis?;Ägg;Potatis;60;100;gram;Hur många gram skiljer det?
Väger en morot mer eller mindre än en banan?;Morot;Banan;80;120;gram;Hur många gram skiljer det?
Väger en jordgubbe mer eller mindre än ett äpple?;Jordgubbe;Äpple;15;150;gram;Hur många gram skiljer det?
Väger ett glas mjölk mer eller mindre än en flaska läsk?;Glas mjölk;Flaska läsk;200;500;gram;Hur många gram skiljer det?
Väger en kula glass mer eller mindre än en kanelbulle?;Kula glass;Kanelbulle;60;75;gram;Hur många gram skiljer det?
Väger en skål popcorn mer eller mindre än en godispåse?;Popcorn;Godispåse;40;150;gram;Hur många gram skiljer det?
Väger ett Mariekex mer eller mindre än en chokladkaka?;Mariekex;Chokladkaka;6;100;gram;Hur många gram skiljer det?
Väger en bit lösgodis mer eller mindre än en glasspinne?;Lösgodis;Glasspinne;20;70;gram;Hur många gram skiljer det?
Har en pannkaka fler eller färre kalorier än en hamburgare?;Pannkaka;Hamburgare;90;250;kalorier;Hur många kalorier skiljer det?
Har en smörgås fler eller färre kalorier än en kanelbulle?;Smörgås;Kanelbulle;150;280;kalorier;Hur många kalorier skiljer det?
Har en burk läsk fler eller färre kalorier än en glasstrut?;Burk läsk;Glasstrut;140;200;kalorier;Hur många kalorier skiljer det?
Har en morot fler eller färre kalorier än ett äpple?;Morot;Äpple;35;80;kalorier;Hur många kalorier skiljer det?
Har en apelsin fler eller färre kalorier än en pizzabit?;Apelsin;Pizzabit;60;285;kalorier;Hur många kalorier skiljer det?
Har en vindruva fler eller färre kalorier än en banan?;Vindruva;Banan;3;105;kalorier;Hur många kalorier skiljer det?
Har en jordgubbe fler eller färre kalorier än en chokladkaka?;Jordgubbe;Chokladkaka;8;550;kalorier;Hur många kalorier skiljer det?
Har en potatis fler eller färre kalorier än en pizzabit?;Potatis;Pizzabit;85;285;kalorier;Hur många kalorier skiljer det?
Väger en hel pizza mer eller mindre än en kula glass?;Hel pizza;Kula glass;350;60;gram;Hur många gram skiljer det?
Väger en godispåse mer eller mindre än en ostbit?;Godispåse;Ostbit;150;20;gram;Hur många gram skiljer det?
Väger en köttbulle mer eller mindre än ett Mariekex?;Köttbulle;Mariekex;20;6;gram;Hur många gram skiljer det?
Har ett glas mjölk fler eller färre kalorier än en pannkaka?;Glas mjölk;Pannkaka;120;90;kalorier;Hur många kalorier skiljer det?
Har en skål popcorn fler eller färre kalorier än ett ägg?;Popcorn;Ägg;120;78;kalorier;Hur många kalorier skiljer det?
Har en korv med bröd fler eller färre kalorier än en glasstrut?;Korv med bröd;Glasstrut;300;200;kalorier;Hur många kalorier skiljer det?
Väger en korv med bröd mer eller mindre än en sockerbit?;Korv med bröd;Sockerbit;125;3;gram;Hur många gram skiljer det?
Väger en glasspinne mer eller mindre än en sockerbit?;Glasspinne;Sockerbit;70;3;gram;Hur många gram skiljer det?
