fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är kokande vatten varmare eller kallare än vatten som fryser till is?;Kokande vatten;Vatten som fryser till is;100;0;°C;Hur många grader skiljer det?
Är snödjupet i Malmö en vanlig vinter större eller mindre än rekordsnödjupet uppe i fjällen?;Malmö en vanlig vinter;Rekordsnödjup i fjällen;5;327;centimeter;Hur många centimeter skiljer det?
Blåser det mer eller mindre i den kraftigaste uppmätta vindbyn än en lätt sommarbris?;Kraftigaste uppmätta vindbyn;Lätt sommarbris;290;10;km/h;Hur många km/h skiljer det?
Är ett vanligt hagelkorn större eller mindre än det största hagelkornet som uppmätts?;Vanligt hagelkorn;Största uppmätta hagelkornet;0,5;20;centimeter;Hur många centimeter skiljer det?
Åskar det fler eller färre dagar om året i Sverige än i tropikerna?;Sverige;Tropikerna;18;200;dagar;Hur många dagar skiljer det?
Regnar det fler eller färre dagar om året i regnskogen än i öknen?;Regnskogen;Öknen;250;10;dagar;Hur många dagar skiljer det?
Faller det mer eller mindre regn på ett år i Stockholm än i Cherrapunji i Indien?;Stockholm;Cherrapunji i Indien;547;11700;millimeter;Hur många millimeter skiljer det?
Blåser det mer eller mindre i en orkan än i en kraftig blåst en höstdag?;Orkan;Kraftig blåst en höstdag;250;25;km/h;Hur många km/h skiljer det?
Lyser solen fler eller färre timmar om året i regniga Bergen än i Sahara?;Bergen;Sahara;1100;4300;timmar;Hur många timmar skiljer det?
Faller det mer eller mindre regn på ett år i Bergen än i Malmö?;Bergen;Malmö;2500;600;millimeter;Hur många millimeter skiljer det?
Är snödjupet en vanlig vinter större eller mindre i Stockholm än i Kiruna?;Stockholm;Kiruna;15;80;centimeter;Hur många centimeter skiljer det?
Är det varmare eller kallare under en svensk värmebölja än en vanlig vårdag?;Svensk värmebölja;Vanlig vårdag;35;12;°C;Hur många grader skiljer det?
Blåser det mer eller mindre vid en svag vind än vid kuling?;Svag vind;Kuling;12;60;km/h;Hur många km/h skiljer det?
Åskar det fler eller färre dagar om året i Florida än i Sverige?;Florida;Sverige;90;18;dagar;Hur många dagar skiljer det?
Är det varmare eller kallare en sommardag i Sverige än i en bastu?;Svensk sommardag;Bastu;25;90;°C;Hur många grader skiljer det?
Är snödjupet en vanlig vinter större eller mindre i Östersund än i Göteborg?;Östersund;Göteborg;60;12;centimeter;Hur många centimeter skiljer det?
Är det varmare eller kallare i Sahara på natten än mitt på dagen?;Sahara på natten;Sahara mitt på dagen;10;45;°C;Hur många grader skiljer det?
Lyser solen fler eller färre timmar om året på Gran Canaria än i Reykjavik?;Gran Canaria;Reykjavik;2830;1250;timmar;Hur många timmar skiljer det?
Blåser det mer eller mindre en vanlig blåsig dag än under en höststorm?;Vanlig blåsig dag;Höststorm;30;130;km/h;Hur många km/h skiljer det?
Lyser solen fler eller färre timmar om året i soliga Spanien än i Sverige?;Spanien;Sverige;2800;1800;timmar;Hur många timmar skiljer det?
Faller det mer eller mindre regn på ett år i Uppsala än i Göteborg?;Uppsala;Göteborg;560;776;millimeter;Hur många millimeter skiljer det?
Är det varmare eller kallare i juli i Malmö än i Kiruna?;Malmö i juli;Kiruna i juli;18;13;°C;Hur många grader skiljer det?
Blåser det mer eller mindre en blåsig dag än en lugn dag?;Blåsig dag;Lugn dag;40;18;km/h;Hur många km/h skiljer det?
Regnar det fler eller färre dagar om året i London än i Stockholm?;London;Stockholm;109;170;dagar;Hur många dagar skiljer det?
Är det varmare eller kallare i juli i Stockholm än i Kiruna?;Stockholm i juli;Kiruna i juli;18;13;°C;Hur många grader skiljer det?
Lyser solen fler eller färre timmar om året i Malmö än i Göteborg?;Malmö;Göteborg;1850;1700;timmar;Hur många timmar skiljer det?
