fråga;källa;år
Har Joel Asoro fler eller färre A-landskamper för Sverige än Thomas Ravelli?;Wikipedia (Joel Asoro: 2 caps; Thomas Ravelli: 143 caps);2026
Har Andreas Isaksson fler eller färre A-landskamper för Sverige än Joel Asoro?;Wikipedia (Andreas Isaksson: 133 caps; Joel Asoro: 2 caps);2026
Har Joel Asoro fler eller färre A-landskamper för Sverige än Daniel Majstorović?;Wikipedia (Joel Asoro: 2 caps; Daniel Majstorović: 50 caps);2026
Har Sebastian Andersson fler eller färre A-landskamper för Sverige än Andreas Isaksson?;Wikipedia (Sebastian Andersson: 9 caps; Andreas Isaksson: 133 caps);2026
Har Oscar Lewicki fler eller färre A-landskamper för Sverige än Sebastian Larsson?;Wikipedia (Oscar Lewicki: 15 caps; Sebastian Larsson: 133 caps);2026
Har Kim Källström fler eller färre A-landskamper för Sverige än Carl Starfelt?;Wikipedia (Kim Källström: 131 caps; Carl Starfelt: 18 caps per VM-trupp 2026);2026
Har Behrang Safari fler eller färre A-landskamper för Sverige än Thomas Ravelli?;Wikipedia (Behrang Safari: 31 caps; Thomas Ravelli: 143 caps);2026
Har Sebastian Larsson fler eller färre A-landskamper för Sverige än Behrang Safari?;Wikipedia (Sebastian Larsson: 133 caps; Behrang Safari: 31 caps);2026
Har Marcus Danielson fler eller färre A-landskamper för Sverige än Kim Källström?;Wikipedia (Marcus Danielson: 19 caps; Kim Källström: 131 caps);2026
Har Filip Helander fler eller färre A-landskamper för Sverige än Andreas Isaksson?;Wikipedia (Filip Helander: 21 caps; Andreas Isaksson: 133 caps);2026
Har Isak Hien fler eller färre A-landskamper för Sverige än Björn Nordqvist?;Wikipedia (Isak Hien: 29 caps; Björn Nordqvist: 115 caps);2026
Har Rasmus Elm fler eller färre A-landskamper för Sverige än Sebastian Andersson?;Wikipedia (Rasmus Elm: 39 caps; Sebastian Andersson: 9 caps);2026
Har Behrang Safari fler eller färre A-landskamper för Sverige än Robin Quaison?;Wikipedia (Behrang Safari: 31 caps; Robin Quaison: 52 caps);2026
Har Kim Källström gjort fler eller färre A-landslagsmål för Sverige än Sebastian Andersson?;Wikipedia (Kim Källström: 16 mål; Sebastian Andersson: 3 mål);2026
Har Arne Nyberg gjort fler eller färre A-landslagsmål för Sverige än Marcus Danielson?;ifkdb.se/Wikipedia (Arne Nyberg: 18 mål; Marcus Danielson: 3 mål);2026
Har Marcus Danielson gjort fler eller färre A-landslagsmål för Sverige än Henry "Garvis" Carlsson?;Wikipedia (Marcus Danielson: 3 mål; Henry Carlsson: 17 mål);2026
Har Sebastian Andersson gjort fler eller färre A-landslagsmål för Sverige än Anthony Elanga?;Wikipedia (Sebastian Andersson: 3 mål; Anthony Elanga: 6 mål);2026
Har Robin Quaison fler eller färre A-landskamper för Sverige än Isak Hien?;Wikipedia (Robin Quaison: 52 caps; Isak Hien: 29 caps);2026
Har Daniel Majstorović fler eller färre A-landskamper för Sverige än Carl Starfelt?;Wikipedia (Daniel Majstorović: 50 caps; Carl Starfelt: 18 caps);2026
Har Rasmus Elm fler eller färre A-landskamper för Sverige än Pontus Jansson?;Wikipedia (Rasmus Elm: 39 caps; Pontus Jansson: 27 caps);2026
Har Isak Hien fler eller färre A-landskamper för Sverige än Rasmus Elm?;Wikipedia (Isak Hien: 29 caps; Rasmus Elm: 39 caps);2026
Har Oscar Lewicki fler eller färre A-landskamper för Sverige än Isak Hien?;Wikipedia (Oscar Lewicki: 15 caps; Isak Hien: 29 caps);2026
Har Jesper Karlström fler eller färre A-landskamper för Sverige än Carl Starfelt?;Wikipedia (Jesper Karlström: 25 caps; Carl Starfelt: 18 caps);2026
Har Filip Helander fler eller färre A-landskamper för Sverige än Oscar Lewicki?;Wikipedia (Filip Helander: 21 caps; Oscar Lewicki: 15 caps);2026
Har Robin Quaison fler eller färre A-landskamper för Sverige än Jesper Karlström?;Wikipedia (Robin Quaison: 52 caps; Jesper Karlström: 25 caps);2026
Har Anthony Elanga gjort fler eller färre A-landslagsmål för Sverige än Marcus Danielson?;Wikipedia (Anthony Elanga: 6 mål; Marcus Danielson: 3 mål);2026
Har Pontus Jansson fler eller färre A-landskamper för Sverige än Anthony Elanga?;Wikipedia (Pontus Jansson: 27 caps; Anthony Elanga: 31 caps);2026
Har Behrang Safari fler eller färre A-landskamper för Sverige än Carl Starfelt?;Wikipedia (Behrang Safari: 31 caps; Carl Starfelt: 18 caps);2026
