fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har BK Häcken fler eller färre SM-guld i fotboll än Örgryte IS?;BK Häcken;Örgryte IS;1;12;SM-guld;Hur många SM-guld skiljer det?
Har IFK Norrköping fler eller färre SM-guld i fotboll än Helsingborgs IF?;IFK Norrköping;Helsingborgs IF;13;5;SM-guld;Hur många SM-guld skiljer det?
Har IF Elfsborg fler eller färre SM-guld i fotboll än IFK Göteborg?;IF Elfsborg;IFK Göteborg;6;18;SM-guld;Hur många SM-guld skiljer det?
Har Djurgårdens IF fler eller färre SM-guld i fotboll än GAIS?;Djurgårdens IF;GAIS;12;4;SM-guld;Hur många SM-guld skiljer det?
Har BK Häcken fler eller färre SM-guld i fotboll än Helsingborgs IF?;BK Häcken;Helsingborgs IF;1;5;SM-guld;Hur många SM-guld skiljer det?
Är IF Brommapojkarna äldre eller yngre som klubb än GAIS? (2026);IF Brommapojkarna;GAIS;84;132;år;Hur många år skiljer klubbarnas ålder?
Är Hammarby IF äldre eller yngre som klubb än Kalmar FF? (2026);Hammarby IF;Kalmar FF;111;116;år;Hur många år skiljer klubbarnas ålder?
Är IF Brommapojkarna äldre eller yngre som klubb än Helsingborgs IF? (2026);IF Brommapojkarna;Helsingborgs IF;84;119;år;Hur många år skiljer klubbarnas ålder?
Hade Malmö FF högre eller lägre publiksnitt än Djurgårdens IF? (Allsvenskan 2024);Malmö FF;Djurgårdens IF;20273;19340;åskådare;Hur många åskådare skiljer publiksnittet?
Hade IFK Göteborg högre eller lägre publiksnitt än Hammarby IF? (Allsvenskan 2024);IFK Göteborg;Hammarby IF;16846;23579;åskådare;Hur många åskådare skiljer publiksnittet?
Hade AIK högre eller lägre publiksnitt än IF Elfsborg? (Allsvenskan 2024);AIK;IF Elfsborg;28589;8318;åskådare;Hur många åskådare skiljer publiksnittet?
Hade AIK högre eller lägre publiksnitt än Kalmar FF? (Allsvenskan 2024);AIK;Kalmar FF;28589;6020;åskådare;Hur många åskådare skiljer publiksnittet?
Hade GAIS högre eller lägre publiksnitt än Hammarby IF? (Allsvenskan 2024);GAIS;Hammarby IF;9011;23579;åskådare;Hur många åskådare skiljer publiksnittet?
Gjorde Nikola Vasic fler eller färre mål än Alexander Jeremejeff under sin skyttekungssäsong? (Vasic 2024 vs Jeremejeff 2022);Nikola Vasic;Alexander Jeremejeff;17;22;mål;Hur många mål skiljer säsongerna?
Gjorde Christofer Nyman fler eller färre mål än Samuel Adegbenro under sin skyttekungssäsong? (Nyman 2020 vs Adegbenro 2021);Christofer Nyman;Samuel Adegbenro;18;17;mål;Hur många mål skiljer säsongerna?
Gjorde Paulinho fler eller färre mål än Isaac Kiese Thelin under sin skyttekungssäsong? (Paulinho 2018 vs Kiese Thelin 2023);Paulinho;Isaac Kiese Thelin;20;16;mål;Hur många mål skiljer säsongerna?
Har Östers IF fler eller färre SM-guld i fotboll än IFK Norrköping?;Östers IF;IFK Norrköping;4;13;SM-guld;Hur många SM-guld skiljer det?
Har Åtvidabergs FF fler eller färre SM-guld i fotboll än Halmstads BK?;Åtvidabergs FF;Halmstads BK;2;4;SM-guld;Hur många SM-guld skiljer det?
Har IFK Norrköping fler eller färre SM-guld i fotboll än Degerfors IF?;IFK Norrköping;Degerfors IF;13;0;SM-guld;Hur många SM-guld skiljer det?
Har GIF Sundsvall fler eller färre SM-guld i fotboll än Östers IF?;GIF Sundsvall;Östers IF;0;4;SM-guld;Hur många SM-guld skiljer det?
Har Halmstads BK fler eller färre SM-guld i fotboll än Trelleborgs FF?;Halmstads BK;Trelleborgs FF;4;0;SM-guld;Hur många SM-guld skiljer det?
Är Gefle IF en äldre eller yngre klubb än IK Sirius? (2026);Gefle IF;IK Sirius;144;119;år;Hur många år skiljer klubbarna i ålder?
Är Åtvidabergs FF en äldre eller yngre klubb än Varbergs BoIS? (2026);Åtvidabergs FF;Varbergs BoIS;119;101;år;Hur många år skiljer klubbarna i ålder?
Är Degerfors IF en äldre eller yngre klubb än Mjällby AIF? (2026);Degerfors IF;Mjällby AIF;119;87;år;Hur många år skiljer klubbarna i ålder?
Är Trelleborgs FF en äldre eller yngre klubb än Halmstads BK? (2026);Trelleborgs FF;Halmstads BK;100;112;år;Hur många år skiljer klubbarna i ålder?
Är Gefle IF en äldre eller yngre klubb än Varbergs BoIS? (2026);Gefle IF;Varbergs BoIS;144;101;år;Hur många år skiljer klubbarna i ålder?
