fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Vilket av märkena är äldst?;Kopparbergs;Voi;144;8;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Handelsbanken;Evolution;155;20;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Hästens;Tesla;174;23;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Carlsberg;Nvidia;179;33;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Bahco;Acne Studios;140;30;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Pepsi;Dustin;128;42;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Volkswagen;Hyundai;89;59;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;BMW;SAS;110;80;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Porsche;Tetra Pak;95;75;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Marabou;Felix;110;87;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Disney;Mercedes-Benz;103;100;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Gevalia;Absolut Vodka;173;147;år;Hur många år skiljer dem åt?
