fråga;källa;år
Är Kristusstatyn i Rio (utan sockel) högre eller lägre än moai-statyerna på Påskön?;Wikipedia: Christ the Redeemer (30 m), Moai (medelhöjd ~4 m);2026
Är CN-tornet i Toronto högre eller lägre än Tokyo Skytree?;CN Tower (553 m), Tokyo Skytree officiell spec (634 m);2026
Är skyskrapan Lotte World Tower i Seoul högre eller lägre än moai-statyerna på Påskön?;Wikipedia: Lotte World Tower (555 m), Moai (medelhöjd ~4 m);2026
Är Petersdomen i Rom högre eller lägre än Tokyo Skytree?;Basilica San Pietro (kupol 136 m), Tokyo Skytree (634 m);2026
Är Cheopspyramiden högre eller lägre än Pisas lutande torn?;Wikipedia: Stora pyramiden i Giza (~139 m), Pisas lutande torn (~56 m);2026
Är Chichén Itzás pyramid (El Castillo) högre eller lägre än Cheopspyramiden?;Wikipedia: El Castillo (30 m), Stora pyramiden (~139 m);2026
Är London Eye högre eller lägre än Pariserhjulet High Roller i Las Vegas?;Wikipedia: London Eye (135 m), High Roller (167 m);2026
Är Atomium i Bryssel högre eller lägre än Triumfbågen i Paris?;Wikipedia: Atomium (102 m), Arc de Triomphe (50 m);2026
Är Ostankino-tornet i Moskva högre eller lägre än Tokyo Skytree?;Wikipedia: Ostankinotornet (540 m), Tokyo Skytree (634 m);2026
Är Kölnerdomens torn högre eller lägre än Tokyotornet?;Wikipedia: Kölnerdomen (157 m), Tokyotornet (333 m);2026
Är Brandenburger Tor högre eller lägre än Triumfbågen i Paris?;Wikipedia: Brandenburger Tor (26 m), Arc de Triomphe (50 m);2026
Är Stonehenge äldre eller yngre än Colosseum?;English Heritage: Stonehenge (~3000 f.Kr., ~5000 år), Colosseum (~80 e.Kr.);2026
Är Colosseum äldre eller yngre än Taj Mahal?;Wikipedia: Colosseum (~80 e.Kr.), Taj Mahal (färdigt 1653);2026
Är Parthenon på Akropolis äldre eller yngre än tempelanläggningen Angkor Wat?;Wikipedia: Parthenon (438 f.Kr.), Angkor Wat (~1150);2026
Är Machu Picchu äldre eller yngre än Sagrada Família?;Wikipedia: Machu Picchu (~1450), Sagrada Família (byggstart 1882);2026
Är Akashi Kaikyō-bron i Japan längre eller kortare i huvudspann än Golden Gate-bron?;Britannica/Wikipedia: Akashi Kaikyō huvudspann (1991 m), Golden Gate huvudspann (1280 m);2026
Är Millau-viadukten i Frankrike högre eller lägre än Petronastornen?;Wikipedia: Millauviadukten (343 m), Petronastornen (452 m);2026
Är Kinesiska muren längre eller kortare än floden Donau?;Kinas kulturarvsmyndighet 2012 (21 196 km), Wikipedia Donau (2850 km);2026
Är Cheopspyramidens bassida (en sida) längre eller kortare än Golden Gate-brons huvudspann?;Wikipedia: Stora pyramiden bassida (~230 m), Golden Gate huvudspann (1280 m);2026
Är moai-statyerna på Påskön högre eller lägre än skyskrapan Shanghai Tower?;Wikipedia: Moai (medelhöjd ~4 m), Shanghai Tower (632 m);2026
Är operahuset i Sydney äldre eller yngre än Atomium i Bryssel?;Wikipedia: Operahuset i Sydney (invigt 1973), Atomium (byggt 1958);2026
Är Petronastornen högre eller lägre än Shanghai Tower?;Britannica/Wikipedia: Petronastornen (452 m), Shanghai Tower (632 m);2026
Har Sagrada Família byggts under fler eller färre år än Kölnerdomen?;colognecathedral.de: Kölnerdomen (1248-1880, 632 år), Sagrada Família (byggstart 1882, ~144 år);2026
Är Angkor Wat-templet äldre eller yngre än Kölnerdomen?;Wikipedia: Angkor Wat (~1150, ~900 år), Kölnerdomen (byggstart 1248);2026
Är Christ the Redeemer-statyn (utan sockel) högre eller lägre än Frihetsgudinnan (utan sockel)?;Wikipedia: Christ the Redeemer (30 m), Frihetsgudinnan utan sockel (46 m);2026
Är CN-tornet i Toronto högre eller lägre än Tokyotornet?;Britannica: CN Tower (553 m), Tokyotornet (333 m);2026
