fråga;källa;år
Vilket av märkena är äldst? (Holmen/Bahco);Holmen grundat 1609 (en.wikipedia.org/wiki/Holmen_(company)) / Bahco grundat 1886 (en.wikipedia.org/wiki/Bahco) — ålder = 2026 − grundår;2026
Vilket av märkena är äldst? (Securitas/Atlas Copco);Securitas grundat 1934 (securitas.com/about-us/our-history) / Atlas Copco grundat 1873 (atlascopcogroup.com/about-us/history);2026
Vilket av märkena är äldst? (Epiroc/Tetra Pak);Epiroc avknoppat 2018 (en.wikipedia.org/wiki/Epiroc) / Tetra Pak grundat 1951 (en.wikipedia.org/wiki/Tetra_Pak);2026
Vilket av märkena är äldst? (SCA/Dometic);SCA grundat 1929 (en.wikipedia.org/wiki/SCA_(company)) / Dometic Group AB bildat 2001 (en.wikipedia.org/wiki/Dometic_Group);2026
Vilket av märkena är äldst? (Bahco/Sweco);Bahco grundat 1886 (bahco.com/who-is-bahco) / Sweco AB bildat 1997 (en.wikipedia.org/wiki/Sweco);2026
Vilket av märkena är äldst? (Stiga/Trelleborg);Stiga grundat 1934 (en.wikipedia.org/wiki/Stiga) / Trelleborg grundat 1905 (trelleborg.com);2026
Vilket märke har flest anställda? (Atlas Copco/Securitas);Atlas Copco Årsredovisning 2024 (~55 000) / Securitas Full Year Report 2024 (~336 000);2024
Vilket märke har flest anställda? (Assa Abloy/Sandvik);Assa Abloy Annual Report 2024 (63 000) / Sandvik Annual Report 2024 (41 447 FTE);2024
Vilket märke har flest anställda? (Thule/Electrolux);Thule Group Year-end report 2024 (~2 800) / Electrolux Year-end report 2024 (~41 000);2024
Vilket märke har flest anställda? (Alfa Laval/Peab);Alfa Laval 2024 (22 323) / Peab Year-end report 2024 (~13 093);2024
Vilket märke har flest anställda? (JM/Epiroc);JM koncern (~2 200) / Epiroc Annual Report 2024 (18 874);2024
Vilket märke har flest anställda? (Dometic/Sweco);Dometic 2024 (7 000) / Sweco Annual Report 2024 (~20 500-22 000);2024
Vilket märke har flest anställda? (Munters/Stiga);Munters Annual Report 2024 (~5 400) / Stiga Group 2024 (~1 270, PitchBook);2024
Vilket märke har flest anställda? (Tetra Pak/Holmen);Tetra Pak (~24 546, GlobalData) / Holmen 2024 (~3 498);2024
Vilket märke har flest anställda? (Essity/JM);Essity 2024 (36 000) / JM koncern (~2 200);2024
Vilket märke har störst omsättning? (2024) (Atlas Copco/Skanska);Atlas Copco 2024 (176,7 mdr) / Skanska Year-end report 2024 (177,2 mdr);2024
Vilket märke har störst omsättning? (2024) (Securitas/Husqvarna);Securitas Helårsrapport 2024 (~161,9 mdr) / Husqvarna Annual Report 2024 (48,4 mdr);2024
Vilket märke har störst omsättning? (2024) (Dometic/Sandvik);Dometic 2024 (~25 mdr) / Sandvik 2024 (~123 mdr);2024
Vilket märke har störst omsättning? (2024) (Peab/SKF);Peab Year-end report 2024 (~58,7 mdr) / SKF Year-end report 2024 (98,7 mdr);2024
Vilket märke har störst omsättning? (2024) (Epiroc/Hexagon);Epiroc 2024 (63,6 mdr) / Hexagon 2024 (~5,4 mdr EUR ≈ 62 mdr SEK);2024
Vilket märke har störst omsättning? (2024) (Munters/Trelleborg);Munters 2024 (~15,5 mdr) / Trelleborg Annual Report 2024 (~34 mdr);2024
Vilket märke har störst omsättning? (2024) (Electrolux/SSAB);Electrolux Year-end report 2024 (136,2 mdr) / SSAB Year-end report 2024 (~103,4 mdr);2024
Vilket märke har störst omsättning? (2024) (NIBE/Thule);NIBE Year-end Report 2024 (40,5 mdr) / Thule 2024 (9,5 mdr);2024
Vilket märke har störst omsättning? (2024) (SCA/Boliden);SCA 2024 (20,2 mdr) / Boliden 2024 (~90-93 mdr);2024
Vilket märke har störst börsvärde? (2024) (Atlas Copco/Assa Abloy);Atlas Copco börsvärde ult. 2024 (~800 mdr, årsredovisning) / Assa Abloy ult. 2024 (~$33 mdr ≈ 360 mdr SEK, companiesmarketcap.com);2024
Vilket märke har störst börsvärde? (2024) (Essity/Sandvik);Essity börsvärde 31 dec 2024 (~208 mdr) / Sandvik börsvärde ult. 2024 (~249 mdr, årsredovisning);2024
Vilket märke har störst börsvärde? (2024) (Hexagon/Alfa Laval);Hexagon ult. 2024 (~$25,9 mdr ≈ 272 mdr SEK, companiesmarketcap.com) / Alfa Laval börsvärde ult. 2024 (~191 mdr, årsredovisning);2024
Vilket märke har störst börsvärde? (2024) (Boliden/SKF);Boliden ult. 2024 (~$7,8 mdr ≈ 85 mdr SEK, companiesmarketcap.com) / SKF börsvärde ult. 2024 (~98 mdr);2024
