fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är floden Nilen längre eller kortare än Yangtze?;Nilen;Yangtze;6650;6300;km;Hur många km skiljer det?
Är Kaspiska havet större eller mindre till ytan än Övre sjön?;Kaspiska havet;Övre sjön;374000;82680;km²;Hur många km² skiljer det?
Är ön Grönland större eller mindre till ytan än ön Borneo?;Grönland;Borneo;2166;755;tusen km²;Hur många tusen km² skiljer det?
Är berget Kilimanjaro högre eller lägre än Mont Blanc?;Kilimanjaro;Mont Blanc;5895;4809;meter;Hur många meter skiljer det?
Är öknen Sahara större eller mindre till ytan än Arabiska öknen?;Sahara;Arabiska öknen;9,2;2,33;miljoner km²;Hur många miljoner km² skiljer det?
Ligger staden La Paz högre eller lägre över havet än Mexico City?;La Paz;Mexico City;3640;2240;meter;Hur många meter skiljer det?
Är Marianergraven djupare eller grundare än Puerto Rico-graven?;Marianergraven;Puerto Rico-graven;10994;8376;meter;Hur många meter skiljer det?
Är bergskedjan Anderna längre eller kortare än Klippiga bergen?;Anderna;Klippiga bergen;7000;4830;km;Hur många km skiljer det?
Är berget Aconcagua högre eller lägre än Denali?;Aconcagua;Denali;6961;6190;meter;Hur många meter skiljer det?
Hade Tokyos storstadsområde fler eller färre invånare än Londons 2025?;Tokyo;London;37;9,8;miljoner invånare;Hur många miljoner invånare skiljer det?
Är floden Volga längre eller kortare än Rhen?;Volga;Rhen;3530;1230;km;Hur många km skiljer det?
Är floden Mekong längre eller kortare än Donau?;Mekong;Donau;4350;2850;km;Hur många km skiljer det?
Är Liechtenstein större eller mindre till ytan än Monaco?;Liechtenstein;Monaco;160;2;km²;Hur många km² skiljer det?
Är Vatikanstaten större eller mindre till ytan än Island?;Vatikanstaten;Island;0,49;103000;km²;Hur många km² skiljer det?
Är Monaco större eller mindre till ytan än Singapore?;Monaco;Singapore;2;735;km²;Hur många km² skiljer det?
Är floden Donau längre eller kortare än Yangtze?;Donau;Yangtze;2850;6300;km;Hur många km skiljer det?
Är vulkanen Etna högre eller lägre än Mount Everest?;Etna;Mount Everest;3357;8849;meter;Hur många meter skiljer det?
Är Island större eller mindre till ytan än Storbritannien?;Island;Storbritannien;103;242;tusen km²;Hur många tusen km² skiljer det?
Är floden Seine längre eller kortare än Donau?;Seine;Donau;777;2850;km;Hur många km skiljer det?
Har staden Oslo fler eller färre invånare än Madrid?;Oslo;Madrid;0,7;3,3;miljoner invånare;Hur många miljoner invånare skiljer det?
Är Atacamaöknen större eller mindre till ytan än Sahara?;Atacamaöknen;Sahara;0,105;9,2;miljoner km²;Hur många miljoner km² skiljer det?
Är Grekland större eller mindre till ytan än Sverige?;Grekland;Sverige;131,9;450;tusen km²;Hur många tusen km² skiljer det?
Är Österrike större eller mindre till ytan än Italien?;Österrike;Italien;83,9;301;tusen km²;Hur många tusen km² skiljer det?
Är floden Eufrat längre eller kortare än Volga?;Eufrat;Volga;2800;3530;km;Hur många km skiljer det?
Har staden Wien fler eller färre invånare än Madrid?;Wien;Madrid;2;3,3;miljoner invånare;Hur många miljoner invånare skiljer det?
Är Rumänien större eller mindre till ytan än Spanien?;Rumänien;Spanien;238;506;tusen km²;Hur många tusen km² skiljer det?
