fråga;källa;år
Hade Quetzalcoatlus större eller mindre vingspann än Pteranodon?;Wikipedia/Britannica (Quetzalcoatlus vingspann upp till 11 m; Pteranodon 6-7 m);2025
Var Plesiosaurus längre eller kortare än Megalodon?;Wikipedia (Plesiosaurus ~3,5 m); Wikipedia/Britannica (Megalodon maxlängd ~15-18 m);2025
Var den ullhåriga mammuten högre eller lägre än sabeltandade tigern Smilodon?;Wikipedia (mammut mankhöjd hane upp till ~3,5 m; Smilodon populator mankhöjd ~1,2 m);2025
Hade Deinonychus längre eller kortare klor än Therizinosaurus?;Wikipedia (Deinonychus skäraklo ~12 cm; Therizinosaurus klo ~50 cm);2025
Var Apatosaurus längre eller kortare än Compsognathus?;Britannica/Wikipedia (Apatosaurus 21-23 m; Compsognathus ~1 m);2025
Var Microraptor längre eller kortare än Giganotosaurus?;Wikipedia (Microraptor ~0,8 m; Giganotosaurus 12-13 m);2025
Vägde Quetzalcoatlus mer eller mindre än Compsognathus?;Wikipedia (Quetzalcoatlus ~200-250 kg; Compsognathus ~2,5-3,5 kg);2025
Vägde Smilodon mer eller mindre än den ullhåriga mammuten?;Wikipedia (Smilodon ~280 kg; mammut hane ~4-8 t, ~6 t);2025
Var Pachycephalosaurus längre eller kortare än Apatosaurus?;Wikipedia (Pachycephalosaurus ~4,5 m; Apatosaurus ~21-23 m);2025
Var Styracosaurus längre eller kortare än Edmontosaurus?;Wikipedia (Styracosaurus 5-5,5 m; Edmontosaurus ~12 m);2025
Var Utahraptor längre eller kortare än Microraptor?;Wikipedia (Utahraptor 6-7 m; Microraptor ~0,8 m);2025
Var Baryonyx längre eller kortare än Protoceratops?;Wikipedia (Baryonyx 8-10 m; Protoceratops ~1,8 m);2025
Vägde en grottbjörn mer eller mindre än Megalodon?;Britannica/Wikipedia (grottbjörn ~450 kg) + Megalodon ~50 ton;2025
Hade Pteranodon större eller mindre vingspann än Quetzalcoatlus?;Wikipedia/Britannica (Pteranodon 6-7 m; Quetzalcoatlus upp till 11 m);2025
Var Edmontosaurus längre eller kortare än Pachycephalosaurus?;Wikipedia (Edmontosaurus ~12 m; Pachycephalosaurus ~4,5 m);2025
Var Plesiosaurus längre eller kortare än Protoceratops?;Wikipedia (Plesiosaurus ~3,5 m; Protoceratops ~1,8 m);2025
Var sabeltandade tigern Smilodon högre eller lägre än Pachycephalosaurus?;Wikipedia (Smilodon mankhöjd ~1,2 m; Pachycephalosaurus höjd ~1,55 m);2025
Var Deinonychus längre eller kortare än Therizinosaurus?;Wikipedia (Deinonychus 3-3,4 m; Therizinosaurus ~10 m);2025
Vägde Baryonyx mer eller mindre än Giganotosaurus?;Wikipedia (Baryonyx ~1,7 t; Giganotosaurus upp till ~8-14 t);2025
Var Megalodon längre eller kortare än Utahraptor?;Wikipedia/Britannica (Megalodon ~18 m; Utahraptor 6-7 m);2025
Vägde Microraptor mer eller mindre än Pteranodon?;Wikipedia (Microraptor ~1 kg; Pteranodon stort exemplar USNM 50130 ~50 kg);2025
Var den ullhåriga mammutens bete längre eller kortare än Therizinosaurus klor?;Wikipedia (mammutbete ~2,4-2,7 m; Therizinosaurus klo ~50 cm);2025
Vägde Pachycephalosaurus mer eller mindre än Apatosaurus?;Wikipedia (Pachycephalosaurus ~370-450 kg; Apatosaurus ~16-22 t, ~20 t);2025
Hade Styracosaurus längre eller kortare noshorn än Deinonychus klor?;Wikipedia (Styracosaurus noshorn ~57 cm; Deinonychus skäraklo ~12 cm);2025
Hade Quetzalcoatlus större eller mindre vingspann än Megalodon var lång?;Wikipedia/Britannica (Quetzalcoatlus vingspann upp till 11 m; Megalodon längd ~18 m);2025
Vägde Baryonyx mer eller mindre än Protoceratops?;Wikipedia (Baryonyx ~1,7 t; Protoceratops ~180 kg);2025
Vägde Edmontosaurus mer eller mindre än Smilodon?;Wikipedia (Edmontosaurus ~5,6 t; Smilodon ~280 kg);2025
