fråga;källa;år
Express vs Urban Outfitters;https://en.wikipedia.org/wiki/Express,_Inc. (grundat 1980) ; https://en.wikipedia.org/wiki/Urban_Outfitters (grundat 1970);2026
Seagate vs SanDisk;https://en.wikipedia.org/wiki/Seagate_Technology (grundat 1978) ; https://en.wikipedia.org/wiki/SanDisk (grundat 1988);2026
Canada Goose vs Tyson Foods;https://en.wikipedia.org/wiki/Canada_Goose_(clothing) (grundat 1957) ; https://en.wikipedia.org/wiki/Tyson_Foods (grundat 1935);2026
SEAT vs MG;https://en.wikipedia.org/wiki/SEAT (grundat 1950) ; https://en.wikipedia.org/wiki/MG_(car_brand) (grundat 1924);2026
TJ Maxx vs Marshalls;https://en.wikipedia.org/wiki/TJ_Maxx (grundat 1976) ; https://en.wikipedia.org/wiki/Marshalls (grundat 1956);2026
Kingston vs Western Digital;https://en.wikipedia.org/wiki/Kingston_Technology (grundat 1987) ; https://en.wikipedia.org/wiki/Western_Digital (grundat 1970);2026
Wyndham vs Four Seasons;https://en.wikipedia.org/wiki/Wyndham_Hotels_%26_Resorts (grundat 1981) ; https://en.wikipedia.org/wiki/Four_Seasons_Hotels_and_Resorts (grundat 1960);2026
Hardee's vs Panda Express;https://en.wikipedia.org/wiki/Hardee%27s (grundat 1960) ; https://en.wikipedia.org/wiki/Panda_Express (grundat 1983);2026
Holiday Inn vs Radisson;https://en.wikipedia.org/wiki/Holiday_Inn (grundat 1952) ; https://en.wikipedia.org/wiki/Radisson_Hotels (grundat 1909);2026
Tod's vs Celine;https://en.wikipedia.org/wiki/Tod%27s (grundat 1978) ; https://en.wikipedia.org/wiki/Celine_(brand) (grundat 1945);2026
Salvatore Ferragamo vs SteelSeries;https://en.wikipedia.org/wiki/Salvatore_Ferragamo_(company) (grundat 1927) ; https://en.wikipedia.org/wiki/SteelSeries (grundat 2001);2026
Montblanc vs Belvedere;https://en.wikipedia.org/wiki/Montblanc_(company) (grundat 1906) ; https://en.wikipedia.org/wiki/Belvedere_(vodka) (grundat 1993);2026
Dickies vs Corsair;https://en.wikipedia.org/wiki/Dickies (grundat 1922) ; https://en.wikipedia.org/wiki/Corsair_Gaming (grundat 1994);2026
Lancôme vs Smart;https://en.wikipedia.org/wiki/Lanc%C3%B4me (grundat 1935) ; https://en.wikipedia.org/wiki/Smart_(marque) (grundat 1994);2026
Smart vs Isuzu;https://en.wikipedia.org/wiki/Smart_(marque) (grundat 1994) ; https://en.wikipedia.org/wiki/Isuzu (grundat 1916);2026
Ross vs JCPenney;https://en.wikipedia.org/wiki/Ross_Stores (grundat 1982) ; https://en.wikipedia.org/wiki/JCPenney (grundat 1902);2026
Corsair vs Sheraton;https://en.wikipedia.org/wiki/Corsair_Gaming (grundat 1994) ; https://en.wikipedia.org/wiki/Sheraton_Hotels_and_Resorts (grundat 1937);2026
Ferrero vs OPI;https://en.wikipedia.org/wiki/Ferrero_SpA (grundat 1946) ; https://en.wikipedia.org/wiki/OPI_Products (grundat 1981);2026
Westin vs Belvedere;https://en.wikipedia.org/wiki/Westin_Hotels_%26_Resorts (grundat 1930) ; https://en.wikipedia.org/wiki/Belvedere_(vodka) (grundat 1993);2026
Danone vs Mondelez;https://en.wikipedia.org/wiki/Danone (grundat 1919) ; https://en.wikipedia.org/wiki/Mondelez_International (grundat 2012);2026
White Castle vs Mondelez;https://en.wikipedia.org/wiki/White_Castle_(restaurant) (grundat 1921) ; https://en.wikipedia.org/wiki/Mondelez_International (grundat 2012);2026
Ram Trucks vs JCPenney;https://en.wikipedia.org/wiki/Ram_Trucks (grundat 2010) ; https://en.wikipedia.org/wiki/JCPenney (grundat 1902);2026
Ram Trucks vs Radisson;https://en.wikipedia.org/wiki/Ram_Trucks (grundat 2010) ; https://en.wikipedia.org/wiki/Radisson_Hotels (grundat 1909);2026
Marriott vs PacSun;https://en.wikipedia.org/wiki/Marriott_International (grundat 1927) ; https://en.wikipedia.org/wiki/Pacific_Sunwear (grundat 1980);2026
