fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Vilket av märkena är äldst?;KPN;Telenor;174;171;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Japan Airlines;NTT;75;74;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Telefónica;Cupra;102;8;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Brave;H-E-B;10;121;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Rexona;DS Automobiles;118;12;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;edX;Triscuit;14;126;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Cheez-It;WeChat;105;15;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Trello;Saudia;15;81;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Air Canada;Udemy;89;16;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Bing;Egyptair;17;94;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Abarth;Weibo;77;17;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Evernote;Aeroméxico;19;92;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Air New Zealand;DuckDuckGo;86;18;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;VK;Special K;20;71;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;American Airlines;Box;96;21;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Baidu;Malaysia Airlines;26;79;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Korean Air;SWISS;57;24;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Swisscom;Telstra;28;51;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Audible;Ubiquiti;31;21;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Opera;Carnival;31;54;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;ANA;EVA Air;74;37;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;China Eastern;Austrian Airlines;38;69;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Asda;TAP Air Portugal;61;81;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Mitsubishi Electric;Pop-Tarts;105;62;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Rogers;BT;66;180;år;Hur många år skiljer dem åt?
