fråga;källa;år
Vilket av märkena är äldst? (Spendrups/Carlsberg);Spendrups grundat 1897 (129 år, spendrupsinternational.com/Wikipedia), Carlsberg 1847 (179 år, Carlsberg Group);2026
Vilket av märkena är äldst? (Findus/Heineken);Findus grundat 1941 (85 år, findus.se/vi-paa-findus/findus-historia), Heineken 1864 (162 år, heineken.com/history);2026
Vilket av märkena är äldst? (Zoégas/Löfbergs);Zoégas grundat 1886 (140 år, zoegas.se/zoegas-historia), Löfbergs 1906 (120 år, en.wikipedia.org/wiki/Löfbergs);2026
Vilket av märkena är äldst? (Wasa/Läkerol);Wasa grundat 1919 (107 år, wasa.com/about-us), Läkerol 1909 (117 år, cloetta.com/the-history-of-lakerol);2026
Vilket av märkena är äldst? (Estrella/Carlsberg);Estrella grundat 1957 (69 år, estrella.se/om-estrella), Carlsberg 1847 (179 år, Carlsberg Group);2026
Vilket av märkena är äldst? (Oatly/Zoégas);Oatly grundat 1994 (32 år, en.wikipedia.org/wiki/Oatly), Zoégas 1886 (140 år, zoegas.se/zoegas-historia);2026
Vilket av märkena är äldst? (GB Glace/Cloetta);GB Glace grundat 1942 (84 år, en.wikipedia.org/wiki/GB_Glace), Cloetta 1862 (164 år, cloetta.com/history);2026
Vilket av märkena är äldst? (Arla/Findus);Arla (Arla Mejeriförening) grundat 1881 (145 år, arla.com/company/farmer-owned/history), Findus 1941 (85 år, findus.se);2026
Vilket av märkena är äldst? (Spendrups/OLW);Spendrups grundat 1897 (129 år, en.wikipedia.org/wiki/Spendrups), OLW (Old London Wasa) grundat 1967 (59 år, sv.wikipedia.org/wiki/OLW);2026
Vilket av märkena är äldst? (Pepsi/Scan);Pepsi (Pepsi-Cola) 1898 (128 år, en.wikipedia.org/wiki/Pepsi), Scan (slakteriförening) 1899 (127 år, en.wikipedia.org/wiki/Swedish_Meats);2026
Vilket märke har störst omsättning? (Arla/Lantmännen);Arla 2024 EUR 13,8 mdr ≈ 159 mdr kr (arla.com/news 2024), Lantmännen 68,0 mdr kr 2024 (lantmannen.com);2024
Vilket märke har störst omsättning? (Coca-Cola/Carlsberg);Coca-Cola Company 2024 ca USD 47 mdr ≈ 490 mdr kr (SEC 10-K 2024), Carlsberg 2024 DKK 75 mdr ≈ 110 mdr kr (carlsberggroup.com);2024
Vilket märke har störst omsättning? (Cloetta/Kopparbergs);Cloetta 2024 8,6 mdr kr (cloetta.com årsredovisning 2024), Kopparbergs 2,4 mdr kr 2024 (allabolag.se);2024
Vilket märke har störst omsättning? (Oatly/Nestlé);Oatly 2024 8,6 mdr kr (oatly.com annual report 2024), Nestlé 2024 CHF 91,4 mdr ≈ 1090 mdr kr (nestle.com full-year-results-2024);2024
Vilket märke har störst omsättning? (Spendrups/Lantmännen);Spendrups passerade 5 mdr kr 2023 (dagligvarunytt.se/Wikipedia), Lantmännen 68,0 mdr kr 2024 (lantmannen.se pressmeddelande 2024);2024
Vilket märke har störst omsättning? (Kopparbergs/Lantmännen);Kopparbergs 2,4 mdr kr 2024 (allabolag.se), Lantmännen 68,0 mdr kr 2024 (lantmannen.com);2024
Vilket märke finns i flest länder? (Carlsberg/Coca-Cola);Carlsberg ca 150 länder (carlsberggroup.com), Coca-Cola ca 200 länder (coca-colacompany.com);2026
Vilket märke finns i flest länder? (Nestlé/Absolut Vodka);Nestlé 185 länder (nestle.com), Absolut Vodka 126 länder (absolut.com/Pernod Ricard);2026
Vilket märke finns i flest länder? (Heineken/Oatly);Heineken ca 190 länder (theheinekencompany.com), Oatly ca 20 länder (oatly.com);2026
Vilket märke finns i flest länder? (Coca-Cola/Findus);Coca-Cola ca 200 länder (coca-colacompany.com), Findus ca 40 länder (findus.com/Nomad Foods);2026
Vilket märke finns i flest länder? (Arla/Findus);Arla ca 120 länder (arla.com), Findus ca 40 länder (findus.com/Nomad Foods);2026
Vilket märke har flest anställda? (Coca-Cola/Pepsi);Coca-Cola Company 69 700 anställda 2024 (SEC 10-K 2024), PepsiCo 319 000 anställda 2024 (statista.com/PepsiCo 10-K);2024
Vilket märke har flest anställda? (Nestlé/Heineken);Nestlé 259 871 anställda 2024 (stockanalysis.com/nestle, bokslut), Heineken ca 88 500 FTE 2024 (theheinekencompany.com FY2024);2024
Vilket märke har flest anställda? (Arla/Pepsi);Arla ca 21 800 anställda 2024 (arla.com), PepsiCo 319 000 anställda 2024 (PepsiCo 10-K 2024);2024
Vilket märke är värt mest som varumärke? (Coca-Cola/Nestlé);Coca-Cola varumärkesvärde 61,2 mdr USD 2024 (Brand Finance/Interbrand 2024), Nestlé 20,8 mdr USD 2024 (Brand Finance Food & Drink 2024);2024
Vilket märke är värt mest som varumärke? (Heineken/Pepsi);Heineken 9,0 mdr USD 2024 (Brand Finance, brandfinance.com beer brands 2024), Pepsi 20,2 mdr USD 2024 (Brand Finance 2024);2024
