fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Vilket av märkena är äldst?;Holmen;Bahco;417;140;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Securitas;Atlas Copco;92;153;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Epiroc;Tetra Pak;8;75;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;SCA;Dometic;97;25;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Bahco;Sweco;140;29;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Stiga;Trelleborg;92;121;år;Hur många år skiljer dem åt?
Vilket märke har flest anställda?;Atlas Copco;Securitas;55267;333869;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Assa Abloy;Sandvik;63000;41447;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Thule;Electrolux;2800;41000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Alfa Laval;Peab;22300;13000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;JM;Epiroc;2200;19000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Dometic;Sweco;7000;22000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Munters;Stiga;5400;1270;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Tetra Pak;Holmen;24546;3500;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Essity;JM;36000;2200;anställda;Hur många anställda skiljer det?
Vilket märke har störst omsättning? (2024);Electrolux;Skanska;136,2;177,2;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Securitas;Husqvarna;161,9;48,4;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Dometic;Sandvik;25,0;122,9;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Peab;SKF;59,0;98,7;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Epiroc;Hexagon;63,6;62,0;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Munters;Trelleborg;15,0;34,2;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Electrolux;SSAB;136,2;103,4;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);NIBE;Thule;40,5;9,5;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);SCA;Boliden;20,2;93,5;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Atlas Copco;Assa Abloy;800;360;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Essity;Sandvik;208;249;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Hexagon;Alfa Laval;272;191;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst börsvärde? (2024);Boliden;SKF;85;98;miljarder kr;Hur många miljarder kronor skiljer det?
