fråga;källa;år
Är en vuxen man i snitt längre eller kortare än en vuxen kvinna?;SCB/folkhälsodata, medellängd vuxna i Sverige (man ca 180, kvinna ca 167 cm);2023
Är den normala kroppstemperaturen högre eller lägre än vid lätt feber?;1177 Vårdguiden, Kroppstemperaturen/Feber (normal ca 37, feber från 38);2024
Slår en kvinnas hjärta i vila fler eller färre slag per minut än en mans?;Cleveland Clinic / American Heart Association, resting heart rate (kvinna ca 78, man ca 70);2023
Har ett barn med mjölktänder fler eller färre tänder än en vuxen?;1177 Vårdguiden, Tänder och tandutveckling (20 mjölktänder, 32 permanenta);2023
Har människan fler eller färre revben än ryggkotor?;StatPearls/Wikipedia, Vertebral column & rib cage (24 revben, 33 kotor);2023
Har en vuxen man mer eller mindre blod i kroppen än en vuxen kvinna?;StatPearls, Physiology Blood Volume (man ca 5,5 L, kvinna ca 4,5 L);2023
Sover en vuxen fler eller färre timmar per dygn än hen är vaken?;Sleep Foundation, rekommenderad sömn vuxna ca 7-9 h (8 h sömn, 16 h vaken);2023
Föds ett spädbarn med fler eller färre ben i kroppen än en vuxen har?;Cleveland Clinic, How many bones does a baby have (ca 300 vid födsel, 206 vuxen);2024
Slår ett litet barns hjärta i vila fler eller färre slag per minut än en vuxens?;Cleveland Clinic / UCSF Benioff, pulse by age (vuxen ca 70, litet barn ca 100);2023
Tar en vuxen i vila fler eller färre andetag per minut än ett litet barn?;American Lung Association, normal respiratory rate by age (vuxen 12-16, barn ca 30);2023
Väger en njure mer eller mindre än hjärtat?;Duke Pathology, typical organ weights (njure ca 150 g, hjärta ca 300 g);2023
Växer en tånagel snabbare eller långsammare än en fingernagel?;Yaemsiri et al., J Eur Acad Dermatol Venereol (tånagel 1,6 mm/mån, fingernagel 3,5);2010
Väger hjärnan hos en vuxen mer eller mindre än hos en nyfödd?;NIH/The Conversation, brain weight (nyfödd ca 0,4 kg, vuxen ca 1,4 kg);2023
Är tjocktarmen längre eller kortare än tunntarmen?;CHP Pittsburgh, small/large intestine (tunntarm ca 7 m, tjocktarm ca 1,5 m);2023
Väger levern mer eller mindre än hjärtat?;CAP organ weight tables (lever ca 1500 g, hjärta ca 300 g);2023
Har huden större eller mindre yta än lungorna invändigt?;BioNumbers/Neuroscience NCBI, lung & skin surface area (hud ca 1,8, lunga ca 75 m2);2023
Slår hjärtat fler eller färre gånger per dygn än vi tar andetag?;American Heart Association (ca 100 000 hjärtslag/dygn) + 16 andetag/min (ca 23 000);2023
Består en vuxen mans kropp till större eller mindre andel av vatten än av fett?;Medical News Today / USGS, body water (man ca 60% vatten, ca 18% fett);2023
Är den högsta tonen vi kan höra högre eller lägre än den lägsta?;Neuroscience (NCBI), the audible spectrum (20-20000 Hz);2023
Växer naglarna snabbare eller långsammare än håret på huvudet?;Medical News Today, hår ca 1 cm/mån vs fingernagel ca 3,5 mm/mån;2023
Utgör hjärnan en större eller mindre andel av kroppens syreförbrukning än av kroppsvikten?;NIH Curriculum Supplement, brain energy budget (2% vikt, 20% syre);2023
Är lårbenet, kroppens längsta ben, längre eller kortare än stigbygeln, kroppens minsta ben?;Metropolis/anatomikällor, longest & smallest bone (lårben ca 50 cm, stigbygel ca 0,3 cm);2023
Finns det fler eller färre framtänder än mjölktänder i en mun?;1177 / Johns Hopkins, tandantal (20 mjölktänder, 8 framtänder/incisiver);2023
Slår hjärtat fler eller färre slag per minut i vila än under hård träning?;Mayo Clinic, exercise heart rate (vilopuls ca 70, träningspuls ca 170);2023
Är en vuxen man längre eller kortare än en nyfödd?;WHO/Stanford Children's, newborn length ca 50 cm; vuxen man ca 180 cm;2023
Har människokroppen fler eller färre ben än muskler?;Kenhub/Cleveland Clinic, ca 600 muskler vs 206 ben;2023
