fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Springer en zebra fortare eller långsammare än en flodhäst?;Zebra;Flodhäst;64;30;km/h;Hur många km/h skiljer det?
Lever en guldfisk längre eller kortare än en grå jako?;Guldfisk;Grå jako;15;60;år;Hur många år skiljer det?
Väger en koala mer eller mindre än en jättepanda?;Koala;Jättepanda;12;100;kilo;Hur många kilo skiljer det?
Är en kungskobra längre eller kortare än en nätpyton?;Kungskobra;Nätpyton;5,5;6,5;meter;Hur många meter skiljer det?
Väger en dromedar mer eller mindre än en giraff?;Dromedar;Giraff;600;1200;kilo;Hur många kilo skiljer det?
Väger en gepard mer eller mindre än en tiger?;Gepard;Tiger;60;250;kilo;Hur många kilo skiljer det?
Väger en kejsarpingvin mer eller mindre än en vandringsalbatross?;Kejsarpingvin;Vandringsalbatross;35;9;kilo;Hur många kilo skiljer det?
Lever en galapagossköldpadda längre eller kortare än en grå jako?;Galapagossköldpadda;Grå jako;150;45;år;Hur många år skiljer det?
Väger en späckhuggare mer eller mindre än en blåval?;Späckhuggare;Blåval;5000;150000;kilo;Hur många kilo skiljer det?
Väger en komodovaran mer eller mindre än en grön leguan?;Komodovaran;Grön leguan;70;15;kilo;Hur många kilo skiljer det?
Lägger en nilkrokodil fler eller färre ägg per kull än en havssköldpadda?;Nilkrokodil;Havssköldpadda;50;110;ägg;Hur många ägg skiljer det?
Slår en mus fler eller färre hjärtslag per minut än en kolibri?;Mus;Kolibri;600;1200;slag/min;Hur många slag per minut skiljer det?
Springer en rödräv fortare eller långsammare än en kronhjort?;Rödräv;Kronhjort;50;65;km/h;Hur många km/h skiljer det?
Är en flasknosdelfin längre eller kortare än en späckhuggare?;Flasknosdelfin;Späckhuggare;3;8;meter;Hur många meter skiljer det?
Väger ett honungsbi mer eller mindre än en myra?;Honungsbi;Myra;0,1;0,005;gram;Hur många gram skiljer det?
Lever en mygga längre eller kortare än en dagslända?;Mygga;Dagslända;30;1;dygn;Hur många dygn skiljer det?
Lever en tamduva längre eller kortare än en flamingo?;Tamduva;Flamingo;15;30;år;Hur många år skiljer det?
Lever en blåval längre eller kortare än en galapagossköldpadda?;Blåval;Galapagossköldpadda;90;150;år;Hur många år skiljer det?
Väger en anakonda mer eller mindre än en boaorm?;Anakonda;Boaorm;250;27;kilo;Hur många kilo skiljer det?
Väger en hammarhaj mer eller mindre än en mantarocka?;Hammarhaj;Mantarocka;230;1500;kilo;Hur många kilo skiljer det?
Simmar en svärdfisk fortare eller långsammare än en tonfisk?;Svärdfisk;Tonfisk;100;75;km/h;Hur många km/h skiljer det?
Är en anakonda längre eller kortare än en jättebläckfisk?;Anakonda;Jättebläckfisk;4;13;meter;Hur många meter skiljer det?
Väger en kungsörn mer eller mindre än en andeskondor?;Kungsörn;Andeskondor;5;12;kilo;Hur många kilo skiljer det?
Lever en ara längre eller kortare än en berguv?;Ara;Berguv;70;20;år;Hur många år skiljer det?
Är en flamingo högre eller lägre än en trana?;Flamingo;Trana;1,4;1,2;meter;Hur många meter skiljer det?
Är vingbredden på en vit stork större eller mindre än på en pelikan?;Vit stork;Pelikan;2,2;3;meter;Hur många meter skiljer det?
Väger en kasuar mer eller mindre än en emu?;Kasuar;Emu;60;40;kilo;Hur många kilo skiljer det?
Springer en leopard fortare eller långsammare än ett lejon?;Leopard;Lejon;58;80;km/h;Hur många km/h skiljer det?
Väger en puma mer eller mindre än ett lodjur?;Puma;Lodjur;100;25;kilo;Hur många kilo skiljer det?
Väger en jaguar mer eller mindre än en leopard?;Jaguar;Leopard;96;60;kilo;Hur många kilo skiljer det?
Är ett jättebältdjur kortare eller längre än en jättemyrslok?;Jättebältdjur;Jättemyrslok;0,9;2;meter;Hur många meter skiljer det?
Väger ett piggsvin mer eller mindre än en igelkott?;Piggsvin;Igelkott;15;1,2;kilo;Hur många kilo skiljer det?
Väger en vombat mer eller mindre än en röd känguru?;Vombat;Röd känguru;26;85;kilo;Hur många kilo skiljer det?
Lever ett näbbdjur längre eller kortare än en kattlemur?;Näbbdjur;Kattlemur;17;27;år;Hur många år skiljer det?
Är en amerikansk alligator längre eller kortare än en anakonda?;Amerikansk alligator;Anakonda;4;6;meter;Hur många meter skiljer det?
Är en kinesisk jättesalamander längre eller kortare än en eldsalamander?;Kinesisk jättesalamander;Eldsalamander;1,8;0,2;meter;Hur många meter skiljer det?
Väger en oxgroda mer eller mindre än en agapadda?;Oxgroda;Agapadda;0,5;1,3;kilo;Hur många kilo skiljer det?
Simmar en marlin fortare eller långsammare än en svärdfisk?;Marlin;Svärdfisk;110;100;km/h;Hur många km/h skiljer det?
Är vingspannet på en mantarocka större eller mindre än längden på en hammarhaj?;Mantarocka;Hammarhaj;7;4,6;meter;Hur många meter skiljer det?
Väger en valhaj mer eller mindre än en piraja?;Valhaj;Piraja;19000;1,5;kilo;Hur många kilo skiljer det?
Flyger en gräshoppa fortare eller långsammare än en trollslända?;Gräshoppa;Trollslända;13;50;km/h;Hur många km/h skiljer det?
Väger en snöleopard mer eller mindre än en leopard?;Snöleopard;Leopard;40;60;kilo;Hur många kilo skiljer det?
Väger en vattenbuffel mer eller mindre än en bisonoxe?;Vattenbuffel;Bisonoxe;800;1000;kilo;Hur många kilo skiljer det?
Väger en myskoxe mer eller mindre än en yak?;Myskoxe;Yak;350;500;kilo;Hur många kilo skiljer det?
Väger en lama mer eller mindre än en alpacka?;Lama;Alpacka;130;65;kilo;Hur många kilo skiljer det?
Väger en kapybara mer eller mindre än ett vårtsvin?;Kapybara;Vårtsvin;60;100;kilo;Hur många kilo skiljer det?
Väger en ekorre mer eller mindre än ett murmeldjur?;Ekorre;Murmeldjur;0,3;5;kilo;Hur många kilo skiljer det?
Väger en tvättbjörn mer eller mindre än en surikat?;Tvättbjörn;Surikat;8;0,8;kilo;Hur många kilo skiljer det?
Väger en hyena mer eller mindre än en schakal?;Hyena;Schakal;60;10;kilo;Hur många kilo skiljer det?
Väger en manat mer eller mindre än en narval?;Manat;Narval;500;1600;kilo;Hur många kilo skiljer det?
Väger en pottval mer eller mindre än en knölval?;Pottval;Knölval;40;30;ton;Hur många ton skiljer det?
Väger ett sjölejon mer eller mindre än en vikare?;Sjölejon;Vikare;300;70;kilo;Hur många kilo skiljer det?
Väger en lax mer eller mindre än en makrill?;Lax;Makrill;5;0,5;kilo;Hur många kilo skiljer det?
Är en barracuda längre eller kortare än en tigerhaj?;Barracuda;Tigerhaj;1,5;5;meter;Hur många meter skiljer det?
Är vingspannet på en monarkfjäril större eller mindre än på en nyckelpiga?;Monarkfjäril;Nyckelpiga;10;0,8;centimeter;Hur många centimeter skiljer det?
Är en humla längre eller kortare än en bålgeting?;Humla;Bålgeting;22;35;millimeter;Hur många millimeter skiljer det?
Är en huggorm längre eller kortare än en skallerorm?;Huggorm;Skallerorm;70;150;centimeter;Hur många centimeter skiljer det?
Är en kungsfiskare längre eller kortare än en tukan?;Kungsfiskare;Tukan;17;60;centimeter;Hur många centimeter skiljer det?
Väger en tornuggla mer eller mindre än en ormvråk?;Tornuggla;Ormvråk;500;900;gram;Hur många gram skiljer det?
Väger en påfågel mer eller mindre än en undulat?;Påfågel;Undulat;5;0,035;kilo;Hur många kilo skiljer det?
Väger ett rådjur mer eller mindre än en dovhjort?;Rådjur;Dovhjort;25;70;kilo;Hur många kilo skiljer det?
Väger en järv mer eller mindre än en grävling?;Järv;Grävling;14;12;kilo;Hur många kilo skiljer det?
Väger en lama mer eller mindre än en antilop?;Lama;Antilop;130;50;kilo;Hur många kilo skiljer det?
Väger en pygmémus mer eller mindre än ett vildsvin?;Pygmémus;Vildsvin;0,007;90;kilo;Hur många kilo skiljer det?
Väger en näbbmus mer eller mindre än ett jordsvin?;Näbbmus;Jordsvin;0,01;65;kilo;Hur många kilo skiljer det?
Väger en tukan mer eller mindre än en marabustork?;Tukan;Marabustork;0,6;6;kilo;Hur många kilo skiljer det?
Är en eldsalamander tyngre eller lättare än en lövgroda?;Eldsalamander;Lövgroda;40;5;gram;Hur många gram skiljer det?
Simmar en segelfisk fortare eller långsammare än en flygfisk?;Segelfisk;Flygfisk;109;70;km/h;Hur många km/h skiljer det?
Simmar en makohaj fortare eller långsammare än en segelfisk?;Makohaj;Segelfisk;74;109;km/h;Hur många km/h skiljer det?
Väger en mandrill mer eller mindre än ett jordsvin?;Mandrill;Jordsvin;30;65;kilo;Hur många kilo skiljer det?
Är näbben på en tukan längre eller kortare än på en pelikan?;Tukan;Pelikan;20;35;centimeter;Hur många centimeter skiljer det?
Väger en kapybara mer eller mindre än en utter?;Kapybara;Utter;60;12;kilo;Hur många kilo skiljer det?
Är dräktighetstiden för ett vildsvin längre eller kortare än för ett får?;Vildsvin;Får;115;147;dygn;Hur många dygn skiljer det?
Ruvas ett strutsägg längre eller kortare än ett hönsägg?;Strutsägg;Hönsägg;42;21;dygn;Hur många dygn skiljer det?
Har en okapi högre eller lägre mankhöjd än en halsbandspekari?;Okapi;Halsbandspekari;1,5;0,5;meter;Hur många meter skiljer det?
