fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har en Polestar 2 Long Range fler eller färre hästkrafter än en Tesla Model 3 Long Range?;Polestar 2 Long Range;Tesla Model 3 Long Range;299;283;hk;Hur många hästkrafter skiljer det?
Har en BYD Seal U fler eller färre hästkrafter än en Renault Mégane E-Tech?;BYD Seal U;Renault Mégane E-Tech;218;220;hk;Hur många hästkrafter skiljer det?
Har en Kia EV3 längre eller kortare räckvidd än en Polestar 4?;Kia EV3 Long Range;Polestar 4 Long Range Single Motor;605;610;km;Hur många km skiljer WLTP-räckvidden?
Har en Hyundai Kona Electric längre eller kortare räckvidd än en BYD Han?;Hyundai Kona Electric Long Range;BYD Han;514;521;km;Hur många km skiljer WLTP-räckvidden?
Har en Smart #3 längre eller kortare räckvidd än en Volvo C40?;Smart #3;Volvo C40;455;476;km;Hur många km skiljer WLTP-räckvidden?
Har en Audi Q8 e-tron 55 längre eller kortare räckvidd än en Polestar 3?;Audi Q8 e-tron 55;Polestar 3 Long Range Dual Motor;582;560;km;Hur många km skiljer WLTP-räckvidden?
Har en Volvo EX30 större eller mindre användbar batterikapacitet än en Hyundai Kona Electric?;Volvo EX30 Single Motor;Hyundai Kona Electric Long Range;64;65;kWh;Hur många kWh skiljer batterikapaciteten?
Har en Genesis GV60 Performance fler eller färre hästkrafter än en Tesla Model 3 Performance?;Genesis GV60 Performance;Tesla Model 3 Performance;490;460;hk;Hur många hästkrafter skiljer det?
Har en XPeng G6 längre eller kortare räckvidd än en BMW i4 eDrive40?;XPeng G6 Long Range;BMW i4 eDrive40;570;590;km;Hur många km skiljer WLTP-räckvidden?
Har en Cupra Tavascan fler eller färre hästkrafter än en Hyundai Ioniq 5?;Cupra Tavascan;Hyundai Ioniq 5 Long Range;340;229;hk;Hur många hästkrafter skiljer det?
Har en Hyundai Ioniq 5 fler eller färre hästkrafter än en Polestar 3?;Hyundai Ioniq 5 Long Range;Polestar 3 Long Range Dual Motor;229;489;hk;Hur många hästkrafter skiljer det?
Har en Cadillac Lyriq fler eller färre hästkrafter än en Audi Q4 e-tron?;Cadillac Lyriq AWD;Audi Q4 e-tron;515;286;hk;Hur många hästkrafter skiljer det?
Har en Lexus RZ 450e längre eller kortare räckvidd än en XPeng G6?;Lexus RZ 450e;XPeng G6 Long Range;440;570;km;Hur många km skiljer WLTP-räckvidden?
Har en Ford Mustang Mach-E AWD fler eller färre hästkrafter än en Smart #3?;Ford Mustang Mach-E AWD;Smart #3;351;272;hk;Hur många hästkrafter skiljer det?
Har en Mercedes-Benz EQB 350 fler eller färre hästkrafter än en Audi Q8 e-tron 55?;Mercedes-Benz EQB 350;Audi Q8 e-tron 55;292;408;hk;Hur många hästkrafter skiljer det?
Har en Renault Scénic E-Tech längre eller kortare räckvidd än en Mercedes-Benz EQB 350?;Renault Scénic E-Tech;Mercedes-Benz EQB 350;625;423;km;Hur många km skiljer WLTP-räckvidden?
Har en Volkswagen ID.Buzz Pro längre eller kortare räckvidd än en Ford Explorer EV?;Volkswagen ID.Buzz Pro;Ford Explorer EV Extended Range;423;602;km;Hur många km skiljer WLTP-räckvidden?
Har en BYD Han fler eller färre hästkrafter än en Tesla Model Y?;BYD Han;Tesla Model Y;517;295;hk;Hur många hästkrafter skiljer det?
Har en Genesis GV60 fler eller färre hästkrafter än en XPeng G9?;Genesis GV60;XPeng G9 RWD Long Range;234;313;hk;Hur många hästkrafter skiljer det?
Har en Renault Scénic E-Tech längre eller kortare räckvidd än en Volvo EX30?;Renault Scénic E-Tech;Volvo EX30 Single Motor;625;480;km;Hur många km skiljer WLTP-räckvidden?
Har en BMW iX2 xDrive30 fler eller färre hästkrafter än en Mercedes-Benz EQA 250?;BMW iX2 xDrive30;Mercedes-Benz EQA 250;313;190;hk;Hur många hästkrafter skiljer det?
Har en Jaguar I-Pace längre eller kortare räckvidd än en Polestar 4?;Jaguar I-Pace;Polestar 4 Long Range Single Motor;470;610;km;Hur många km skiljer WLTP-räckvidden?
Har en Renault Mégane E-Tech fler eller färre hästkrafter än en Nio ET7?;Renault Mégane E-Tech;Nio ET7;220;653;hk;Hur många hästkrafter skiljer det?
Har en BMW i7 fler eller färre hästkrafter än en Volkswagen ID.3?;BMW i7 xDrive60;Volkswagen ID.3 Pro;544;204;hk;Hur många hästkrafter skiljer det?
Har en Mercedes-Benz EQA 250 fler eller färre hästkrafter än en Fisker Ocean Extreme?;Mercedes-Benz EQA 250;Fisker Ocean Extreme;190;564;hk;Hur många hästkrafter skiljer det?
Har en BMW i7 fler eller färre hästkrafter än en Hyundai Kona Electric?;BMW i7 xDrive60;Hyundai Kona Electric;544;156;hk;Hur många hästkrafter skiljer det?
Har en Nio ET7 fler eller färre hästkrafter än en BYD Seal U?;Nio ET7;BYD Seal U;653;218;hk;Hur många hästkrafter skiljer det?
