fråga;källa;år
Har en schäfer högre eller lägre mankhöjd än en rottweiler?;SKK/FCI rasstandard — schäfer 60-65 cm, rottweiler 61-68 cm;2025
Har en border collie högre eller lägre mankhöjd än en eurasier?;SKK/FCI rasstandard — border collie ~53 cm, eurasier ~52-59 cm;2025
Väger en golden retriever mer eller mindre än en labrador?;SKK/Agria — golden retriever ~29-34 kg, labrador ~25-36 kg;2025
Väger en schnauzer mer eller mindre än en engelsk springer spaniel?;SKK/FCI — schnauzer (mellan) ~14-20 kg, engelsk springer spaniel ~20-25 kg;2025
Har en tax högre eller lägre mankhöjd än en cocker spaniel?;SKK/FCI rasstandard — tax (normal) ~20-22 cm, cocker spaniel ~38-41 cm;2025
Har en beagle högre eller lägre mankhöjd än en jack russell-terrier?;SKK/FCI rasstandard — beagle 33-40 cm, jack russell 25-30 cm;2025
Har en shetland sheepdog högre eller lägre mankhöjd än en weimaraner?;SKK/FCI rasstandard — shetland sheepdog ~35-37 cm, weimaraner ~59-70 cm;2025
Har en welsh corgi högre eller lägre mankhöjd än en akita?;SKK/FCI rasstandard — welsh corgi ~25-30 cm, akita ~61-67 cm;2025
Har en dobermann högre eller lägre mankhöjd än en pomeranian?;SKK/FCI rasstandard — dobermann 63-72 cm, pomeranian ~18-22 cm;2025
Har en border terrier högre eller lägre mankhöjd än en engelsk springer spaniel?;SKK/FCI rasstandard — border terrier ~33-40 cm (mått varierar), engelsk springer spaniel ~48-51 cm;2025
Väger en schäfer mer eller mindre än en border collie?;SKK/FCI — schäfer ~30-40 kg, border collie ~14-20 kg;2025
Väger en springer spaniel mer eller mindre än en riesenschnauzer?;SKK/FCI — engelsk springer spaniel ~20-25 kg, riesenschnauzer ~30-40 kg;2025
Väger en welsh corgi mer eller mindre än en greyhound?;SKK/FCI — welsh corgi ~10-14 kg, greyhound ~27-32 kg;2025
Väger en shiba inu mer eller mindre än en engelsk springer spaniel?;SKK/FCI — shiba inu ~8-11 kg, engelsk springer spaniel ~20-25 kg;2025
Har en grand danois högre eller lägre mankhöjd än en chihuahua?;SKK/FCI rasstandard — grand danois ~80 cm, chihuahua ~16-20 cm;2025
Har en irländsk varghund högre eller lägre mankhöjd än en mops?;SKK/FCI rasstandard — irländsk varghund minst 79-81 cm, mops ~30 cm;2025
Har en shih tzu högre eller lägre mankhöjd än en afghanhund?;SKK/FCI rasstandard — shih tzu ~25 cm, afghanhund ~63-74 cm;2025
Väger en bernhardshund mer eller mindre än en beagle?;SKK/FCI — bernhardshund ~64-82 kg, beagle ~10-13 kg;2025
Väger en boxer mer eller mindre än en mastiff?;SKK/FCI — boxer ~25-32 kg, mastiff ~70-90 kg;2025
Väger en pekingese mer eller mindre än en greyhound?;SKK/FCI — pekingese ~3,5-5,5 kg, greyhound ~27-32 kg;2025
Väger en akita mer eller mindre än en border terrier?;SKK/FCI — akita ~32-45 kg, border terrier ~5-7 kg;2025
Väger en leonberger mer eller mindre än en papillon?;SKK/FCI — leonberger ~45-77 kg, papillon ~2-5 kg;2025
Väger en yorkshireterrier mer eller mindre än en rottweiler?;SKK/FCI — yorkshireterrier ~2-3,2 kg, rottweiler ~35-60 kg;2025
Väger en dvärgpinscher mer eller mindre än en alaskan malamute?;SKK/FCI — dvärgpinscher ~4-6 kg, alaskan malamute ~34-38 kg;2025
Väger en newfoundlandshund mer eller mindre än en tax?;SKK/FCI — newfoundlandshund ~54-68 kg, normalstor tax ~7-9 kg;2025
