fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Har en mops högre eller lägre andel höftledsdysplasi än en whippet?;Mops;Whippet;71,7;1,4;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en sibirisk husky högre eller lägre andel höftledsdysplasi än en engelsk bulldogg?;Sibirisk husky;Engelsk bulldogg;2;70,1;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en flatcoated retriever högre eller lägre andel höftledsdysplasi än en clumber spaniel?;Flatcoated retriever;Clumber spaniel;3;44,8;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en otterhound högre eller lägre andel höftledsdysplasi än en standardpudel?;Otterhound;Standardpudel;47,2;12,2;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en samojed högre eller lägre andel höftledsdysplasi än en mastino napoletano?;Samojed;Mastino napoletano;11,1;47;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en basset hound högre eller lägre andel höftledsdysplasi än en mellanschnauzer?;Basset hound;Mellanschnauzer;37,4;8,6;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en clumber spaniel högre eller lägre andel höftledsdysplasi än en mastino napoletano?;Clumber spaniel;Mastino napoletano;44,8;47;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en mastino napoletano högre eller lägre andel höftledsdysplasi än en newfoundlandshund?;Mastino napoletano;Newfoundlandshund;47;25,2;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en otterhound högre eller lägre andel höftledsdysplasi än en basset hound?;Otterhound;Basset hound;47,2;37,4;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en mellanschnauzer högre eller lägre andel höftledsdysplasi än en samojed?;Mellanschnauzer;Samojed;8,6;11,1;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en grand danois högre eller lägre andel höftledsdysplasi än en mellanschnauzer?;Grand danois;Mellanschnauzer;12;8,6;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en standardpudel högre eller lägre andel höftledsdysplasi än en samojed?;Standardpudel;Samojed;12,2;11,1;%;Hur många procentenheter skiljer det i höftledsdysplasi?
Har en flatcoated retriever högre eller lägre andel höftledsdysplasi än en sibirisk husky?;Flatcoated retriever;Sibirisk husky;3;2;%;Hur många procentenheter skiljer det i höftledsdysplasi?
