fråga;källa;år
Har en Bugatti Chiron högre eller lägre toppfart än en Koenigsegg Jesko Absolut?;Bugatti/Koenigsegg tillverkarspecifikationer (Chiron SS 300+ 490 km/h, Jesko Absolut teoretisk ca 500 km/h);2024
Har en Tesla Model S Plaid mer eller mindre effekt än en Ferrari SF90?;Tillverkarspecifikationer (Plaid 1020 hk, SF90 Stradale 986/990 hk);2026
Är Eiffeltornet högre eller lägre än Empire State Building?;Wikipedia (Eiffeltornet 330 m m. antenn, Empire State 381 m takhöjd);2024
Lanserades första iPhone tidigare eller senare än första Android-telefonen?;Apple/Google lanseringshistorik (iPhone juni 2007, HTC Dream sep 2008);2008
Är Kanaltunneln längre eller kortare än Gotthardtunneln?;Wikipedia (Kanaltunneln 50,5 km, Gotthards bastunnel 57,1 km);2024
Väger en Airbus A380 mer eller mindre vid start än en Boeing 747-8?;Tillverkarspecifikationer MTOW (A380 575 t, 747-8 448 t);2024
Vägde Saturn V-raketen mer eller mindre vid start än rymdfärjan?;NASA / Wikipedia (Saturn V ca 2800 t, rymdfärjan hela stacken ca 2030 t);2024
Hade SR-71 Blackbird högre eller lägre toppfart än Concorde?;Smithsonian / Wikipedia (SR-71 absolut hastighetsrekord 3529,6 km/h, Concorde 2179 km/h);2026
Har en Bugatti Chiron mer eller mindre effekt än en Bugatti Veyron?;Bugatti tillverkarspecifikationer (Chiron 1500 hk, Veyron 1001 hk);2024
Är Queen Mary 2 längre eller kortare än Titanic?;Cunard / Wikipedia (QM2 345 m, Titanic 269 m);2024
Är Suezkanalen längre eller kortare än Panamakanalen?;Wikipedia (Suez 193 km, Panama 82 km);2024
Har Shanghais maglevtåg högre eller lägre marschfart än ett TGV?;Transrapid / SNCF (Maglev 431 km/h drift, TGV ca 320 km/h);2024
Väger Ariane 5 mer eller mindre vid start än en Falcon 9?;Wikipedia (Ariane 5 ca 777 t, Falcon 9 ca 549 t);2024
Är Burj Khalifa högre eller lägre än CN Tower?;Wikipedia (Burj Khalifa 828 m, CN Tower 553 m);2024
Har en F1-bil mer eller mindre effekt än en Volvo-lastbil?;FIA / Volvo Trucks (F1 ca 1000 hk inkl ERS, Volvo FH16 D16K 750 hk);2026
Väger Apollos månlandare mer eller mindre än kommandomodulen?;NASA Apollo-data (LM ca 15 t, CSM ca 30 t);2024
