fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Vilket av märkena är äldst?;Åhléns;Stadium;127;39;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Lindex;Gina Tricot;72;29;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;KappAhl;Mio;73;64;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Hemköp;Willys;68;51;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Clas Ohlson;Elgiganten;108;32;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Apoteket;Max Burgers;55;58;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Kicks;Coop;35;127;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;City Gross;ICA;33;88;år;Hur många år skiljer dem åt?
Vilket av märkena är äldst?;Axfood;Coop;26;127;år;Hur många år skiljer dem åt?
Vilket märke har flest anställda?;Dustin;Stadium;2300;3000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Stadium;Systembolaget;3000;5900;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Max Burgers;Lindex;6500;4300;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;IKEA;Kicks;166000;1200;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Apoteket;Clas Ohlson;3500;5000;anställda;Hur många anställda skiljer det?
Vilket märke har flest anställda?;Mio;McDonald's;1500;150000;anställda;Hur många anställda skiljer det?
Vilket märke har störst omsättning? (2024);H&M;ICA;234,5;157,2;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Coop;Axfood;48;84,1;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Elgiganten;Stadium;15,5;7,5;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Clas Ohlson;H&M;11;234,5;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke har störst omsättning? (2024);Systembolaget;Mio;39,4;3,9;miljarder kr;Hur många miljarder kronor skiljer det?
Vilket märke är värt mest som varumärke? (2024);H&M;IKEA;13,6;24,3;miljarder USD;Hur många miljarder dollar skiljer det?
Vilket märke är värt mest som varumärke? (2024);McDonald's;H&M;53,0;13,6;miljarder USD;Hur många miljarder dollar skiljer det?
Vilket märke har flest butiker?;McDonald's;Systembolaget;40000;450;butiker;Hur många butiker skiljer det?
Vilket märke har flest butiker?;Willys;Coop;250;800;butiker;Hur många butiker skiljer det?
Vilket märke har flest butiker?;Apoteket;Lindex;390;440;butiker;Hur många butiker skiljer det?
Vilket märke har flest butiker?;Rusta;Jula;210;150;butiker;Hur många butiker skiljer det?
